time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,panel_mx_center,PANEL_MX,-34.0567,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
0.0,panel_mx_center,PANEL_MX,-34.0567,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
60.0,panel_mx_center,PANEL_MX,-34.0643,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
120.0,panel_mx_center,PANEL_MX,-34.0727,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
180.0,panel_mx_center,PANEL_MX,-34.0822,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
240.0,panel_mx_center,PANEL_MX,-34.0921,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
300.0,panel_mx_center,PANEL_MX,-34.1024,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
360.0,panel_mx_center,PANEL_MX,-34.1131,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
420.0,panel_mx_center,PANEL_MX,-34.1238,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
480.0,panel_mx_center,PANEL_MX,-34.1346,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
540.0,panel_mx_center,PANEL_MX,-34.1455,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
600.0,panel_mx_center,PANEL_MX,-34.1566,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
660.0,panel_mx_center,PANEL_MX,-34.1677,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
720.0,panel_mx_center,PANEL_MX,-34.179,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
780.0,panel_mx_center,PANEL_MX,-34.1904,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
840.0,panel_mx_center,PANEL_MX,-34.2019,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
900.0,panel_mx_center,PANEL_MX,-34.2135,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
960.0,panel_mx_center,PANEL_MX,-34.2252,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1020.0,panel_mx_center,PANEL_MX,-34.2368,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1080.0,panel_mx_center,PANEL_MX,-34.2486,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1140.0,panel_mx_center,PANEL_MX,-34.2606,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1200.0,panel_mx_center,PANEL_MX,-34.273,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1260.0,panel_mx_center,PANEL_MX,-34.2857,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1320.0,panel_mx_center,PANEL_MX,-34.2989,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1380.0,panel_mx_center,PANEL_MX,-34.3127,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1440.0,panel_mx_center,PANEL_MX,-34.327,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1500.0,panel_mx_center,PANEL_MX,-34.3421,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1560.0,panel_mx_center,PANEL_MX,-34.3579,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1620.0,panel_mx_center,PANEL_MX,-34.3744,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1680.0,panel_mx_center,PANEL_MX,-34.3918,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1740.0,panel_mx_center,PANEL_MX,-34.41,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1800.0,panel_mx_center,PANEL_MX,-34.429,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1860.0,panel_mx_center,PANEL_MX,-34.4488,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1920.0,panel_mx_center,PANEL_MX,-34.4694,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1980.0,panel_mx_center,PANEL_MX,-34.4907,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2040.0,panel_mx_center,PANEL_MX,-34.5129,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2100.0,panel_mx_center,PANEL_MX,-34.5355,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2160.0,panel_mx_center,PANEL_MX,-34.5583,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2220.0,panel_mx_center,PANEL_MX,-34.5813,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2280.0,panel_mx_center,PANEL_MX,-34.6042,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2340.0,panel_mx_center,PANEL_MX,-34.6269,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2400.0,panel_mx_center,PANEL_MX,-34.6493,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2460.0,panel_mx_center,PANEL_MX,-34.6714,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2520.0,panel_mx_center,PANEL_MX,-34.693,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2580.0,panel_mx_center,PANEL_MX,-34.714,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2640.0,panel_mx_center,PANEL_MX,-34.7343,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2700.0,panel_mx_center,PANEL_MX,-34.754,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2760.0,panel_mx_center,PANEL_MX,-34.7728,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2820.0,panel_mx_center,PANEL_MX,-34.7907,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2880.0,panel_mx_center,PANEL_MX,-34.8077,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2940.0,panel_mx_center,PANEL_MX,-34.8234,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3000.0,panel_mx_center,PANEL_MX,-34.8378,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3060.0,panel_mx_center,PANEL_MX,-34.8509,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3120.0,panel_mx_center,PANEL_MX,-34.8617,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3180.0,panel_mx_center,PANEL_MX,-34.8705,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3240.0,panel_mx_center,PANEL_MX,-34.8769,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3300.0,panel_mx_center,PANEL_MX,-34.8807,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3360.0,panel_mx_center,PANEL_MX,-34.8819,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3420.0,panel_mx_center,PANEL_MX,-34.8806,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3480.0,panel_mx_center,PANEL_MX,-34.8771,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3540.0,panel_mx_center,PANEL_MX,-34.8713,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3600.0,panel_mx_center,PANEL_MX,-34.8634,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3660.0,panel_mx_center,PANEL_MX,-34.8536,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3720.0,panel_mx_center,PANEL_MX,-34.8418,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3780.0,panel_mx_center,PANEL_MX,-34.8285,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
