time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,25.3072,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,25.3072,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.241,prop_attach,PANEL_PY,25.4775,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1210.48,prop_attach,PANEL_PY,25.6973,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1815.72,prop_attach,PANEL_PY,24.5113,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2420.96,prop_attach,PANEL_PY,23.2867,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3026.2,prop_attach,PANEL_PY,23.3155,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3631.45,prop_attach,PANEL_PY,23.7546,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
4236.69,prop_attach,PANEL_PY,24.2822,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
4841.93,prop_attach,PANEL_PY,24.7443,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
5447.17,prop_attach,PANEL_PY,25.1381,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
6052.41,prop_attach,PANEL_PY,25.5142,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
6657.65,prop_attach,PANEL_PY,25.8898,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
7262.89,prop_attach,PANEL_PY,26.1347,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
7868.13,prop_attach,PANEL_PY,24.9185,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
