case_index,time_s,time_min,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,0.0,0.0,-208.92899010505062,-332.8320603941392,-257.8851585894881,257.8851585894881,392.97392194969404,-51.21546200825833,-80.88159665931016,-19.82971480174456,-753.7862402386963,515.3557285666466,-17.39798972266726,-702.570778230438,596.2373252259567,2.4317250790773026,-232.0768011526419,-369.7074295839785,0.09527161703992704,436.5125715518802,80.88108873645844,-51.21626385617473,0.004582428103638847,95.73325544752029,-515.3622141068267,-753.7816523748457,0.4168925824554748,913.1182788587926,-596.236386617962,-702.5714037463084,0.424552293099012,921.4686137298992,-596.236386617962,-702.5714037463084,0.424552293099012,921.4686137298992,-747.4387175678931,-1123.488634493241,0.910446088742134,1349.4040715645644,-828.3128580039626,-1072.2784064364566,0.9179420070726252,1354.9476638027757
2.0,0.0,0.0,-208.92899010505062,-332.8320603941392,-257.8851585894881,257.8851585894881,392.97392194969404,-51.21546200825833,-80.88159665931016,-19.82971480174456,-753.7862402386963,515.3557285666466,-17.39798972266726,-702.570778230438,596.2373252259567,2.4317250790773026,-232.0768011526419,-369.7074295839785,0.09527161703992704,436.5125715518802,80.88108873645844,-51.21626385617473,0.004582428103638847,95.73325544752029,-515.3622141068267,-753.7816523748457,0.4168925824554748,913.1182788587926,-596.236386617962,-702.5714037463084,0.424552293099012,921.4686137298992,-596.236386617962,-702.5714037463084,0.424552293099012,921.4686137298992,-747.4387175678931,-1123.488634493241,0.910446088742134,1349.4040715645644,-828.3128580039626,-1072.2784064364566,0.9179420070726252,1354.9476638027757
3.0,60.5,1.0083333333333333,-211.51970940991305,-333.31913118672674,-258.6507523574255,258.6507523574255,394.7685786431443,-51.59502688911743,-81.85008482541889,-19.82202957151458,-754.4702384620905,521.6384888626635,-17.38878199830651,-702.8752115729731,603.4885736880824,2.4332475732080705,-234.95435328155062,-370.24814908655236,0.09614362472820659,438.5056898467448,81.84957333328259,-51.59583802263161,0.004680741572116176,96.75475779566626,-521.6449753499716,-754.465597302077,0.4206659973693405,917.2414174143316,-603.4876322306473,-702.8758452524495,0.42911598008288365,926.4079965623667,-603.4876322306473,-702.8758452524495,0.42911598008288365,926.4079965623667,-756.5990245527033,-1124.7132943638726,0.9187114612396741,1355.5154290796315,-838.4416484330932,-1073.1235629106125,0.9272897195655716,1361.82912992092
4.0,121.0,2.0166666666666666,-214.0581200364977,-333.8792521390132,-259.4113511804607,259.4113511804607,396.6058922437568,-51.98126746108755,-82.7856274554506,-19.81396599148866,-755.3153554908931,527.8042517602444,-17.37916500132997,-703.3340880298056,610.589879215695,2.434800990158692,-237.77379782447397,-370.8700131644265,0.09704047765346502,440.54619008278314,82.78511234066177,-51.98208753069877,0.004777756079654694,97.75230048088494,-527.810740417092,-755.3106621675914,0.4245392770663159,921.4544883409512,-610.5889346948884,-703.3347296712318,0.43374938862861256,931.3960431167524,-610.5889346948884,-703.3347296712318,0.43374938862861256,931.3960431167524,-765.5842277040679,-1126.1802185289976,0.9272009768857004,1361.7639642446316,-848.3623880606739,-1074.2043066788792,0.936817255769995,1368.8073765009672
5.0,181.5,3.025,-216.5385449188761,-334.50835235271376,-260.16344952495274,260.16344952495274,398.47807873120377,-52.37020013737492,-83.68724229512736,-19.80522029043641,-756.3153631053865,533.834274392575,-17.36869126034435,-703.9451629680116,617.5215166877024,2.4365290300920606,-240.52882988551298,-371.56850115748307,0.09795863942230199,442.6254274875231,83.68672355203928,-52.37102877102266,0.0048730961488274716,98.7228056398861,-533.8407662206743,-756.3106190403165,0.42849594983351835,925.7384707098562,-617.5205688478972,-703.9458123935602,0.43843577590685356,936.4140962932265,-617.5205688478972,-703.9458123935602,0.43843577590685356,936.4140962932265,-774.3692790598468,-1127.878658415791,0.9358794622604805,1368.122088287983,-858.0490468513152,-1075.5138724875912,0.946489576270082,1375.8554635991766
6.0,242.0,4.033333333333333,-218.96278667554728,-335.1889927216689,-260.9142643450468,260.9142643450468,400.3702821020664,-52.75631338008679,-84.55449278699234,-19.79474291147199,-757.4281771667302,539.732922334224,-17.35592741169967,-704.6718637866434,624.2874151212163,2.4388154997723177,-243.22145008486012,-372.3242387440454,0.09889101104665343,444.72689657554446,84.55397049266,-52.7571501565371,0.004966345334977973,99.66288586386118,-539.7394174285749,-757.4233841492949,0.43250450432186227,930.0585043868518,-624.2864636209672,-704.672520955354,0.44314857339244895,941.43345513634,-624.2864636209672,-704.672520955354,0.44314857339244895,941.43345513634,-782.9605439289599,-1129.7471559877683,0.9446783709732287,1374.5384133635494,-867.5075543785794,-1076.9963136005504,0.9562456654288454,1382.9282036364286
7.0,302.5,5.041666666666667,-221.33163838589098,-335.9128522788524,-261.665767084196,261.665767084196,402.27495382722617,-53.13702058629133,-85.38789552403614,-19.78265390789602,-758.6355204693973,545.5003120005131,-17.3409662238555,-705.498499883106,630.8882075245492,2.44168768404052,-245.8525389958504,-373.1279821374076,0.09983398596702386,446.84221150719384,85.38736977888244,-53.13786509283407,0.0050573177867718755,100.57154480458098,-545.5068103299211,-758.630680286567,0.4365491899083196,934.397233080441,-630.8872520343433,-705.4991647735162,0.4478739984437041,946.4395365133337,-630.8872520343433,-705.4991647735162,0.4478739984437041,946.4395365133337,-791.3590191861997,-1131.7581902764978,0.9535633039847724,1380.987218805908,-876.7394242491753,-1078.626695671038,0.9660542500400382,1390.0027218128018
8.0,363.0,6.05,-223.64498181559617,-336.67767911538255,-262.4166966143094,262.4166966143094,404.1892347723017,-53.51152140065096,-86.18864376330748,-19.76973726414144,-759.9337841384113,551.1334748007357,-17.32468444970436,-706.4222627377603,637.3221185640432,2.44505281443708,-248.42196578181733,-373.97723034834763,0.1007862260316017,448.9681969827301,86.18811465549194,-53.51237326879673,0.005145982528986792,101.44932331330385,-551.1399766316956,-759.9288983790287,0.4406236993048651,938.7476787897534,-637.3211587916796,-706.4229353031496,0.45260591385876126,951.4260995820365,-637.3211587916796,-706.4229353031496,0.45260591385876126,951.4260995820365,-799.5616057090563,-1133.9056512268517,0.9625208569064014,1387.458391162861,-885.7427503377746,-1080.3997091711417,0.9759023518185472,1397.069701680275
9.0,423.5,7.058333333333334,-225.92121968045834,-337.4550319676927,-263.1751028729923,263.1751028729923,406.0988747857133,-53.87616329244338,-86.9576251716353,-19.75344093807507,-761.2746558152139,556.6587788052857,-17.30533767840825,-707.3984925227705,643.616403976921,2.4481032596668193,-250.95016984257853,-374.8403877524314,0.10174065723234094,451.08902007742574,86.95709289451662,-53.87702205113491,0.00523213472547468,102.29501214508981,-556.6652833183715,-761.2697263462026,0.44470401583396324,943.0842135796489,-643.6154399696092,-707.3991725041574,0.4573273164609759,956.3756708672802,-643.6154399696092,-707.3991725041574,0.4573273164609759,956.3756708672802,-807.6151098842753,-1136.1096311954152,0.9714941019423051,1393.9107789985599,-894.565228121655,-1082.239098489906,0.9857446927608038,1404.0970100618379
10.0,484.0,8.066666666666666,-228.15993543190416,-338.2422792128637,-263.940747572633,263.940747572633,408.0009749784963,-54.23040420282632,-87.69625856075436,-19.73453800019342,-762.6517908647656,562.0763986371458,-17.28356619423721,-708.4213866619393,649.7726571979001,2.450971805956211,-253.43668859087887,-375.7145312250679,0.10269578731847417,453.20146082904745,87.69572329368226,-54.23126942579083,0.005315785256421179,103.10950716366945,-562.0829051964301,-762.6468193962497,0.44878378235857497,947.400318476448,-649.7716889648302,-708.4220738437939,0.4620326479187753,961.2830397387389,-649.7716889648302,-708.4220738437939,0.4620326479187753,961.2830397387389,-815.5192439378093,-1138.3608622760319,0.9804690255243997,1400.3346350050501,-903.2079884172114,-1084.1361379792065,0.9955684137086251,1411.0761269375705
