probe_name,panel,femap_node_id,x_mm,y_mm,z_mm,target_x_mm,target_y_mm,target_z_mm,mapped_entity_name
panel_mx_center,PANEL_MX,6837,5.0,300.0,495.0,5.0,300.0,500.0,Rect[PANEL_MX]::7817
panel_mx_corner_min_min,PANEL_MX,3878,5.0,0.0,15.0,5.0,0.0,5.0,Rect[PANEL_MX]::7817
panel_mx_corner_min_max,PANEL_MX,4,5.0,0.0,995.0,5.0,0.0,995.0,Rect[PANEL_MX]::7817
panel_mx_corner_max_min,PANEL_MX,3880,5.0,590.0,15.0,5.0,600.0,5.0,Rect[PANEL_MX]::7817
panel_mx_corner_max_max,PANEL_MX,9858,5.0,590.0,995.0,5.0,600.0,995.0,Rect[PANEL_MX]::7817
panel_mx_edge_min_mid,PANEL_MX,6806,5.0,0.0,495.0,5.0,0.0,500.0,Rect[PANEL_MX]::7817
panel_mx_edge_max_mid,PANEL_MX,6808,5.0,590.0,495.0,5.0,600.0,500.0,Rect[PANEL_MX]::7817
panel_mx_edge_mid_min,PANEL_MX,3909,5.0,300.0,15.0,5.0,300.0,5.0,Rect[PANEL_MX]::7817
panel_mx_edge_mid_max,PANEL_MX,9887,5.0,300.0,995.0,5.0,300.0,995.0,Rect[PANEL_MX]::7817
panel_px_center,PANEL_PX,28360,595.0,300.0,495.0,595.0,300.0,500.0,Rect[PANEL_PX]::7680
panel_px_corner_min_min,PANEL_PX,19462,595.0,0.0,15.0,595.0,0.0,5.0,Rect[PANEL_PX]::7680
panel_px_corner_min_max,PANEL_PX,19397,595.0,0.0,995.0,595.0,0.0,995.0,Rect[PANEL_PX]::7680
panel_px_corner_max_min,PANEL_PX,9918,595.0,600.0,15.0,595.0,600.0,5.0,Rect[PANEL_PX]::7680
panel_px_corner_max_max,PANEL_PX,15798,595.0,600.0,995.0,595.0,600.0,995.0,Rect[PANEL_PX]::7680
panel_px_edge_min_mid,PANEL_PX,22342,595.0,0.0,495.0,595.0,0.0,500.0,Rect[PANEL_PX]::7680
panel_px_edge_max_mid,PANEL_PX,12798,595.0,600.0,495.0,595.0,600.0,500.0,Rect[PANEL_PX]::7680
panel_px_edge_mid_min,PANEL_PX,25432,595.0,300.0,15.0,595.0,300.0,5.0,Rect[PANEL_PX]::7680
panel_px_edge_mid_max,PANEL_PX,19428,595.0,300.0,995.0,595.0,300.0,995.0,Rect[PANEL_PX]::7680
panel_my_center,PANEL_MY,22371,295.0,0.0,495.0,300.0,0.0,500.0,Rect[PANEL_MY]::7A7E
panel_my_corner_min_min,PANEL_MY,19463,15.0,0.0,15.0,5.0,0.0,5.0,Rect[PANEL_MY]::7A7E
panel_my_corner_min_max,PANEL_MY,25283,15.0,0.0,985.0,5.0,0.0,995.0,Rect[PANEL_MY]::7A7E
panel_my_corner_max_min,PANEL_MY,19520,585.0,0.0,15.0,595.0,0.0,5.0,Rect[PANEL_MY]::7A7E
panel_my_corner_max_max,PANEL_MY,19336,585.0,0.0,995.0,595.0,0.0,995.0,Rect[PANEL_MY]::7A7E
panel_my_edge_min_mid,PANEL_MY,22343,15.0,0.0,495.0,5.0,0.0,500.0,Rect[PANEL_MY]::7A7E
panel_my_edge_max_mid,PANEL_MY,22400,585.0,0.0,495.0,595.0,0.0,500.0,Rect[PANEL_MY]::7A7E
panel_my_edge_mid_min,PANEL_MY,19491,295.0,0.0,15.0,300.0,0.0,5.0,Rect[PANEL_MY]::7A7E
panel_my_edge_mid_max,PANEL_MY,17567,295.0,0.0,995.0,300.0,0.0,995.0,Rect[PANEL_MY]::7A7E
panel_py_center,PANEL_PY,12827,305.0,600.0,495.0,300.0,600.0,500.0,Rect[PANEL_PY]::794A
panel_py_corner_min_min,PANEL_PY,2,5.0,600.0,5.0,5.0,600.0,5.0,Rect[PANEL_PY]::794A
panel_py_corner_min_max,PANEL_PY,9857,5.0,600.0,995.0,5.0,600.0,995.0,Rect[PANEL_PY]::794A
panel_py_corner_max_min,PANEL_PY,9919,585.0,600.0,15.0,595.0,600.0,5.0,Rect[PANEL_PY]::794A
panel_py_corner_max_max,PANEL_PY,15799,585.0,600.0,995.0,595.0,600.0,995.0,Rect[PANEL_PY]::794A
panel_py_edge_min_mid,PANEL_PY,6807,5.0,600.0,495.0,5.0,600.0,500.0,Rect[PANEL_PY]::794A
panel_py_edge_max_mid,PANEL_PY,12799,585.0,600.0,495.0,595.0,600.0,500.0,Rect[PANEL_PY]::794A
panel_py_edge_mid_min,PANEL_PY,9947,305.0,600.0,15.0,300.0,600.0,5.0,Rect[PANEL_PY]::794A
panel_py_edge_mid_max,PANEL_PY,15827,305.0,600.0,995.0,300.0,600.0,995.0,Rect[PANEL_PY]::794A
panel_mz_center,PANEL_MZ,484,305.0,300.0,5.0,300.0,300.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_corner_min_min,PANEL_MZ,1,5.0,0.0,5.0,5.0,0.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_corner_min_max,PANEL_MZ,222,5.0,590.0,5.0,5.0,600.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_corner_max_min,PANEL_MZ,5,595.0,0.0,5.0,595.0,0.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_corner_max_max,PANEL_MZ,6,595.0,600.0,5.0,595.0,600.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_edge_min_mid,PANEL_MZ,251,5.0,300.0,5.0,5.0,300.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_edge_max_mid,PANEL_MZ,368,595.0,300.0,5.0,595.0,300.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_edge_mid_min,PANEL_MZ,309,295.0,0.0,5.0,300.0,0.0,5.0,Rect[PANEL_MZ]::75B0
panel_mz_edge_mid_max,PANEL_MZ,426,305.0,600.0,5.0,300.0,600.0,5.0,Rect[PANEL_MZ]::75B0
panel_pz_center,PANEL_PZ,17598,295.0,300.0,995.0,300.0,300.0,995.0,Rect[PANEL_PZ]::7B7F
panel_pz_corner_min_min,PANEL_PZ,15859,15.0,0.0,995.0,5.0,0.0,995.0,Rect[PANEL_PZ]::7B7F
panel_pz_corner_min_max,PANEL_PZ,15861,15.0,590.0,995.0,5.0,600.0,995.0,Rect[PANEL_PZ]::7B7F
