time_s,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,46.5043,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
0.0,46.5043,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
60.5242,46.7654,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
121.048,47.0216,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
181.573,47.2723,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
242.097,47.5175,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
302.621,47.7569,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
363.145,47.9902,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
423.669,48.2181,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
484.194,48.4407,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
544.718,48.6582,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
605.242,48.8713,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
665.766,49.08,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
726.29,49.2837,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
786.815,49.4818,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
847.339,49.6747,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
907.863,49.8634,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
968.387,50.0483,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1028.91,50.2292,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1089.44,48.7786,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1149.96,47.3663,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1210.48,45.9955,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1271.01,44.6698,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1331.53,43.3907,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1392.06,42.1587,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1452.58,40.9731,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1513.11,39.833,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1573.63,38.7361,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1634.15,37.6805,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1694.68,36.6648,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1755.2,35.687,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1815.73,34.745,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1876.25,33.8371,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1936.77,32.9613,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
1997.3,32.116,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2057.82,31.2988,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2118.35,32.1408,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2178.87,32.9698,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2239.4,33.7806,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2299.92,34.5678,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2360.44,35.3283,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2420.97,36.0599,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2481.49,36.7609,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2542.02,37.4309,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2602.54,38.0703,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2663.06,38.6794,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2723.59,39.2588,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2784.11,39.8099,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2844.64,40.3333,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2905.16,40.8303,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
2965.69,41.3028,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3026.21,41.7519,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3086.73,42.1778,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3147.26,42.5813,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3207.78,42.9636,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3268.31,43.3262,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3328.83,43.67,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3389.36,43.9958,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3449.88,44.304,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3510.4,44.5957,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3570.93,44.8716,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3631.45,45.1322,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3691.98,45.3784,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3752.5,45.6109,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3813.02,45.8308,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3873.55,46.0385,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3934.07,46.2351,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
3994.6,46.4215,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4055.12,46.5982,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4115.65,46.7657,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4176.17,46.9248,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4236.69,47.076,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4297.22,47.2205,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4357.74,47.3587,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4418.27,47.4909,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4478.79,47.618,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4539.31,47.7403,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4599.84,47.8586,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4660.36,47.9736,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4720.89,48.0853,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
4781.41,48.1945,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
