time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,25.3105,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,25.3105,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
60.5241,prop_attach,PANEL_PY,25.3107,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
121.048,prop_attach,PANEL_PY,25.3164,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
181.572,prop_attach,PANEL_PY,25.3264,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
242.096,prop_attach,PANEL_PY,25.3402,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
302.62,prop_attach,PANEL_PY,25.3573,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
363.145,prop_attach,PANEL_PY,25.3774,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
423.669,prop_attach,PANEL_PY,25.4001,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
484.193,prop_attach,PANEL_PY,25.4251,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
544.717,prop_attach,PANEL_PY,25.4522,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.241,prop_attach,PANEL_PY,25.481,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
665.765,prop_attach,PANEL_PY,25.5115,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
726.289,prop_attach,PANEL_PY,25.5434,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
786.813,prop_attach,PANEL_PY,25.5765,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
847.337,prop_attach,PANEL_PY,25.6107,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
907.861,prop_attach,PANEL_PY,25.6459,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
968.386,prop_attach,PANEL_PY,25.6819,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1028.91,prop_attach,PANEL_PY,25.7187,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1089.43,prop_attach,PANEL_PY,25.7377,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1149.96,prop_attach,PANEL_PY,25.7245,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1210.48,prop_attach,PANEL_PY,25.6851,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1271.01,prop_attach,PANEL_PY,25.6236,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1331.53,prop_attach,PANEL_PY,25.5431,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1392.05,prop_attach,PANEL_PY,25.4462,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1452.58,prop_attach,PANEL_PY,25.3353,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1513.1,prop_attach,PANEL_PY,25.212,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1573.63,prop_attach,PANEL_PY,25.078,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1634.15,prop_attach,PANEL_PY,24.9347,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1694.67,prop_attach,PANEL_PY,24.7833,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1755.2,prop_attach,PANEL_PY,24.6249,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1815.72,prop_attach,PANEL_PY,24.4606,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1876.25,prop_attach,PANEL_PY,24.291,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1936.77,prop_attach,PANEL_PY,24.117,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1997.3,prop_attach,PANEL_PY,23.9393,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2057.82,prop_attach,PANEL_PY,23.7585,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2118.34,prop_attach,PANEL_PY,23.593,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2178.87,prop_attach,PANEL_PY,23.4576,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2239.39,prop_attach,PANEL_PY,23.3468,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2299.92,prop_attach,PANEL_PY,23.2567,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2360.44,prop_attach,PANEL_PY,23.1845,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2420.96,prop_attach,PANEL_PY,23.1281,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2481.49,prop_attach,PANEL_PY,23.0854,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2542.01,prop_attach,PANEL_PY,23.0549,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2602.54,prop_attach,PANEL_PY,23.0352,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2663.06,prop_attach,PANEL_PY,23.025,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2723.58,prop_attach,PANEL_PY,23.0231,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2784.11,prop_attach,PANEL_PY,23.0287,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2844.63,prop_attach,PANEL_PY,23.0408,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2905.16,prop_attach,PANEL_PY,23.0587,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2965.68,prop_attach,PANEL_PY,23.0817,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3026.21,prop_attach,PANEL_PY,23.1091,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3086.73,prop_attach,PANEL_PY,23.1406,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3147.25,prop_attach,PANEL_PY,23.1758,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3207.78,prop_attach,PANEL_PY,23.2142,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3268.3,prop_attach,PANEL_PY,23.2556,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3328.83,prop_attach,PANEL_PY,23.2997,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3389.35,prop_attach,PANEL_PY,23.3459,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3449.87,prop_attach,PANEL_PY,23.3942,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3510.4,prop_attach,PANEL_PY,23.4442,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3570.92,prop_attach,PANEL_PY,23.4957,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3631.45,prop_attach,PANEL_PY,23.5483,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3691.97,prop_attach,PANEL_PY,23.6019,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3752.49,prop_attach,PANEL_PY,23.6561,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
