time_s,probe_name,panel,temperature_c,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,panel_mx_center,PANEL_MX,15.1577,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
0.0,panel_mx_center,PANEL_MX,15.1577,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
60.5241,panel_mx_center,PANEL_MX,15.1502,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
121.048,panel_mx_center,PANEL_MX,15.1422,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
181.572,panel_mx_center,PANEL_MX,15.1336,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
242.096,panel_mx_center,PANEL_MX,15.1249,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
302.62,panel_mx_center,PANEL_MX,15.1164,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
363.145,panel_mx_center,PANEL_MX,15.1081,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
423.669,panel_mx_center,PANEL_MX,15.1002,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
484.193,panel_mx_center,PANEL_MX,15.0927,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
544.717,panel_mx_center,PANEL_MX,15.0856,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
605.241,panel_mx_center,PANEL_MX,15.0791,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
665.765,panel_mx_center,PANEL_MX,15.073,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
726.289,panel_mx_center,PANEL_MX,15.0674,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
786.813,panel_mx_center,PANEL_MX,15.0624,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
847.337,panel_mx_center,PANEL_MX,15.058,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
907.861,panel_mx_center,PANEL_MX,15.0542,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
968.386,panel_mx_center,PANEL_MX,15.0509,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1028.91,panel_mx_center,PANEL_MX,15.0483,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1089.43,panel_mx_center,PANEL_MX,15.045,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1149.96,panel_mx_center,PANEL_MX,15.0397,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1210.48,panel_mx_center,PANEL_MX,15.0321,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1271.01,panel_mx_center,PANEL_MX,15.0221,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1331.53,panel_mx_center,PANEL_MX,15.0094,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1392.05,panel_mx_center,PANEL_MX,14.9937,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1452.58,panel_mx_center,PANEL_MX,14.9748,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1513.1,panel_mx_center,PANEL_MX,14.9526,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1573.63,panel_mx_center,PANEL_MX,14.9268,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1634.15,panel_mx_center,PANEL_MX,14.8975,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1694.67,panel_mx_center,PANEL_MX,14.8645,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1755.2,panel_mx_center,PANEL_MX,14.8278,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1815.72,panel_mx_center,PANEL_MX,14.7875,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1876.25,panel_mx_center,PANEL_MX,14.7435,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1936.77,panel_mx_center,PANEL_MX,14.6961,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1997.3,panel_mx_center,PANEL_MX,14.6454,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2057.82,panel_mx_center,PANEL_MX,14.5913,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2118.34,panel_mx_center,PANEL_MX,14.535,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2178.87,panel_mx_center,PANEL_MX,14.4781,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2239.39,panel_mx_center,PANEL_MX,14.4207,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2299.92,panel_mx_center,PANEL_MX,14.3635,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2360.44,panel_mx_center,PANEL_MX,14.3068,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2420.96,panel_mx_center,PANEL_MX,14.2511,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2481.49,panel_mx_center,PANEL_MX,14.1967,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2542.01,panel_mx_center,PANEL_MX,14.1441,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2602.54,panel_mx_center,PANEL_MX,14.0935,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2663.06,panel_mx_center,PANEL_MX,14.0451,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2723.58,panel_mx_center,PANEL_MX,13.9991,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2784.11,panel_mx_center,PANEL_MX,13.9558,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2844.63,panel_mx_center,PANEL_MX,13.9152,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2905.16,panel_mx_center,PANEL_MX,13.8774,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2965.68,panel_mx_center,PANEL_MX,13.843,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3026.21,panel_mx_center,PANEL_MX,13.8118,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3086.73,panel_mx_center,PANEL_MX,13.7843,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3147.25,panel_mx_center,PANEL_MX,13.7608,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3207.78,panel_mx_center,PANEL_MX,13.7412,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3268.3,panel_mx_center,PANEL_MX,13.7258,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3328.83,panel_mx_center,PANEL_MX,13.7145,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3389.35,panel_mx_center,PANEL_MX,13.7074,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3449.87,panel_mx_center,PANEL_MX,13.7043,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3510.4,panel_mx_center,PANEL_MX,13.7051,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3570.92,panel_mx_center,PANEL_MX,13.7096,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3631.45,panel_mx_center,PANEL_MX,13.7173,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3691.97,panel_mx_center,PANEL_MX,13.728,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3752.49,panel_mx_center,PANEL_MX,13.7417,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3813.02,panel_mx_center,PANEL_MX,13.7578,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3873.54,panel_mx_center,PANEL_MX,13.7764,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3934.07,panel_mx_center,PANEL_MX,13.7971,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3994.59,panel_mx_center,PANEL_MX,13.8196,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4055.11,panel_mx_center,PANEL_MX,13.844,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4115.64,panel_mx_center,PANEL_MX,13.87,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4176.16,panel_mx_center,PANEL_MX,13.8974,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4236.69,panel_mx_center,PANEL_MX,13.9261,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4297.21,panel_mx_center,PANEL_MX,13.956,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4357.74,panel_mx_center,PANEL_MX,13.987,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4418.26,panel_mx_center,PANEL_MX,14.019,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4478.78,panel_mx_center,PANEL_MX,14.0519,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4539.31,panel_mx_center,PANEL_MX,14.0857,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4599.83,panel_mx_center,PANEL_MX,14.1199,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4660.36,panel_mx_center,PANEL_MX,14.1546,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4720.88,panel_mx_center,PANEL_MX,14.1897,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4781.4,panel_mx_center,PANEL_MX,14.2252,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4841.93,panel_mx_center,PANEL_MX,14.2609,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
