case_index,time_s,time_min,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,0.0,0.0,42.01541651127627,-250.8381912775804,143.24537789889297,-143.24537789889297,254.3326432607974,-21.33894668077119,-30.646027880720787,-25.59638232924044,-612.2469203546643,-54.70566611620598,-23.12898686795961,-590.9079736738931,-24.059638235485195,2.46739546128083,46.69122570597392,-278.7534571144015,0.039941780882735145,282.636799463829,30.645754770339682,-21.339338887194653,0.0006972648014524907,37.3434019551826,54.69858234107196,-612.2475143882473,0.18891949471466774,614.686061160256,24.06036583478499,-590.9079095458551,0.17487554460071664,591.397547144014,24.06036583478499,-590.9079095458551,0.17487554460071664,591.397547144014,101.38979048430151,-891.0008171634446,0.40208125384744164,896.750994312455,70.75157980724447,-869.6612224347488,0.3806582863363772,872.5344851935209
2.0,0.0,0.0,42.01541651127627,-250.8381912775804,143.24537789889297,-143.24537789889297,254.3326432607974,-21.33894668077119,-30.646027880720787,-25.59638232924044,-612.2469203546643,-54.70566611620598,-23.12898686795961,-590.9079736738931,-24.059638235485195,2.46739546128083,46.69122570597392,-278.7534571144015,0.039941780882735145,282.636799463829,30.645754770339682,-21.339338887194653,0.0006972648014524907,37.3434019551826,54.69858234107196,-612.2475143882473,0.18891949471466774,614.686061160256,24.06036583478499,-590.9079095458551,0.17487554460071664,591.397547144014,24.06036583478499,-590.9079095458551,0.17487554460071664,591.397547144014,101.38979048430151,-891.0008171634446,0.40208125384744164,896.750994312455,70.75157980724447,-869.6612224347488,0.3806582863363772,872.5344851935209
3.0,60.5,1.0083333333333333,41.90180970908842,-251.04619999183336,142.0209343905299,-142.0209343905299,254.51906841577954,-21.37364208465442,-30.678977054776617,-25.61737164796796,-612.5778891146183,-54.25177732831798,-23.14396806468721,-591.2042470299639,-23.57280027354136,2.473403583280749,46.564912472649794,-278.98423505740686,0.04000024800276947,282.8435866060109,30.678703276017487,-21.374035034699027,0.0006990160672515344,37.39026889930677,54.244685162521954,-612.5784782483049,0.189097456804177,614.9755099850645,23.57353004146034,-591.2041833822244,0.17503906413196546,591.6739792886437,23.57353004146034,-591.2041833822244,0.17503906413196546,591.6739792886437,100.80958015220682,-891.5625586859136,0.4025232648308119,897.2437614723422,70.13843086872208,-870.1882739584959,0.38107358846239947,873.0103273269983
4.0,121.0,2.0166666666666666,41.78777817287482,-251.3398721930571,140.86878115904253,-140.86878115904253,254.79001110453225,-21.42165249097161,-30.72366598644294,-25.64777059888002,-613.08458680287,-53.80655420594849,-23.16969221283216,-591.6629343118984,-23.08288821950555,2.4780783860478586,46.43813131194909,-279.3102313442936,0.04008535348098974,283.144318984769,30.723391267075545,-21.42204648038487,0.0007014153702300518,37.45438353994874,53.79944831407061,-613.0851713858581,0.1893839218780613,615.4411491053595,23.083619964223587,-591.6628711380661,0.17529891860323943,592.1130015410846,23.083619964223587,-591.6628711380661,0.17529891860323943,592.1130015410846,100.23756221081588,-892.3952476860264,0.4032085046956624,898.0071530731655,69.52173971266016,-870.9729576139093,0.3817136554618017,873.7431917831437
5.0,181.5,3.025,41.6730617871508,-251.7163757147501,139.7822569515483,-139.7822569515483,255.1426618221361,-21.48225394194014,-30.77892688452266,-25.68648778833449,-613.7604359537363,-53.36628237273544,-23.20459316251799,-592.2781820117962,-22.58735548821278,2.481894625816498,46.31059279025451,-279.72829627696774,0.04019629618046139,283.5358720560766,30.778650972078665,-21.48264923580641,0.0007044147487533792,37.53437855952504,53.359157961703026,-613.7610162446279,0.18977491034188887,616.0761193229455,22.58808915168324,-592.2781193032253,0.17565181154033382,592.7086909915275,22.58808915168324,-592.2781193032253,0.17565181154033382,592.7086909915275,99.6697333937349,-893.4891569138381,0.40412854618310234,899.0311058452756,68.89867045494401,-872.0062701966826,0.3825710541693894,874.7239347661575
6.0,242.0,4.033333333333333,41.56071463512489,-252.14954439434223,138.74618866793753,-138.74618866793753,255.55172810853117,-21.55092442990281,-30.840750696370378,-25.73031088104472,-614.5592196844518,-52.94079528539442,-23.24474371562246,-593.008295254549,-22.100044589024044,2.48556716542226,46.18569005294073,-280.2093468947473,0.0403251988467801,283.9901337244784,30.84047342969526,-21.55132119349635,0.0007077970431978997,37.6243836700747,52.933649287872036,-614.5597959548604,0.1902428751199281,616.8352405878015,22.100780272875248,-593.0082329839938,0.1760736199063473,593.4199262541398,22.100780272875248,-593.0082329839938,0.1760736199063473,593.4199262541398,99.11932202960647,-894.7689865780534,0.40521817179506314,900.2422892430268,68.28645890919529,-873.2174338879784,0.3835859373468864,875.8833982421764
7.0,302.5,5.041666666666667,41.45215643802658,-252.62848794227466,137.75335060017827,-137.75335060017827,256.00670732104396,-21.62569398933556,-30.907744076102972,-25.77805753389839,-615.4614384286106,-52.53351991996169,-23.28870868950617,-593.835744439275,-21.62577584385872,2.4893488443922216,46.065000409620346,-280.74127863386667,0.040468825734940594,284.49543017721163,30.907465331158217,-21.62609235261379,0.0007114796529705814,37.72213254364774,52.52634992365187,-615.4620109533981,0.1907762703368121,617.6993640624075,21.626513703269143,-593.8356825735318,0.17655427753116015,594.2293530216511,21.626513703269143,-593.8356825735318,0.17655427753116015,594.2293530216511,98.59133305955694,-896.2031325678063,0.40645023546836967,901.6098412167036,67.69150276031998,-874.5768145317647,0.38473344610157056,877.1925353435694
8.0,363.0,6.05,41.34758273721673,-253.15164020867087,136.8012348166303,-136.8012348166303,256.5060925953833,-21.70612424379215,-30.979867005953572,-25.8296186075313,-616.4634833112359,-52.14340490056202,-23.33633892703801,-594.7573590674438,-21.163537894608446,2.4932796804932913,45.94874100211676,-281.32235018758104,0.0406267766095425,285.0500859756818,30.97958666465444,-21.706524335291988,0.000715453918331832,37.82734445651001,52.13620856938692,-616.4640523485107,0.19137307427641304,618.6647816725451,21.164278093485148,-594.7572975745751,0.17709210042848866,595.1337410073722,21.164278093485148,-594.7572975745751,0.17709210042848866,595.1337410073722,98.08493232614208,-897.7862446866843,0.4078204807189678,903.1283381103943,67.11300780108766,-876.0795003258734,0.386009797903597,878.6463718170928
9.0,423.5,7.058333333333334,41.24690894968807,-253.69867580593564,135.87887502808374,-135.87887502808374,257.0298146199952,-21.7894121306017,-31.054059945745387,-25.88260031188838,-617.5233284011483,-51.76471313461661,-23.38550621061586,-595.7339162705466,-20.710653188871227,2.49709410127252,45.83681724697236,-281.92997087127185,0.04079276194612902,285.6317949577892,31.053777951516008,-21.78981400284064,0.000719566517481951,37.935908046868356,51.757489269246776,-617.5238940938541,0.19200731715685038,619.6891135660636,20.711395764139837,-595.7338551315639,0.1776639098061139,596.0937745559955,20.711395764139837,-595.7338551315639,0.1776639098061139,596.0937745559955,97.5942892936686,-899.453706237735,0.40927089117737125,904.7328970295786,66.54820177081707,-877.6636777614334,0.3873611722493564,880.1830459743328
10.0,484.0,8.066666666666666,41.150343349727336,-254.26727006561123,134.98389301958008,-134.98389301958008,257.57561100465034,-21.8747700273525,-31.130126444622867,-25.93698081909679,-618.6349783092737,-51.397160859778516,-23.43599771847948,-596.7602082819212,-20.26703441515565,2.500983100617308,45.7294604495056,-282.56155656465916,0.040966109171591825,286.23804219782875,31.12984275088397,-21.87517373035801,0.0007237951349381433,38.047211927132174,51.389908390347074,-618.6355407925721,0.19267544604240072,620.7663449447678,20.26777945439779,-596.7601474767109,0.1782667441441177,597.1042258269807,20.26777945439779,-596.7601474767109,0.1782667441441177,597.1042258269807,97.11935163490253,-901.196937707809,0.4107941288244987,906.4149651213379,65.9972287141852,-879.3215549538919,0.3887810912095446,881.7947783948841
