time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,38.2627,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,38.2627,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
60.5242,prop_attach,PANEL_PY,38.2601,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
121.048,prop_attach,PANEL_PY,38.2579,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
181.573,prop_attach,PANEL_PY,38.2561,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
242.097,prop_attach,PANEL_PY,38.2549,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
302.621,prop_attach,PANEL_PY,38.2544,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
363.145,prop_attach,PANEL_PY,38.2547,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
423.669,prop_attach,PANEL_PY,38.2558,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
484.194,prop_attach,PANEL_PY,38.2578,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
544.718,prop_attach,PANEL_PY,38.2607,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.242,prop_attach,PANEL_PY,38.2647,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
665.766,prop_attach,PANEL_PY,38.2696,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
726.29,prop_attach,PANEL_PY,38.2755,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
786.815,prop_attach,PANEL_PY,38.2825,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
847.339,prop_attach,PANEL_PY,38.2904,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
907.863,prop_attach,PANEL_PY,38.2994,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
968.387,prop_attach,PANEL_PY,38.3094,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1028.91,prop_attach,PANEL_PY,38.3204,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1089.44,prop_attach,PANEL_PY,38.3308,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1149.96,prop_attach,PANEL_PY,38.3387,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1210.48,prop_attach,PANEL_PY,38.3437,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1271.01,prop_attach,PANEL_PY,38.3456,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1331.53,prop_attach,PANEL_PY,38.3439,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1392.06,prop_attach,PANEL_PY,38.3382,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1452.58,prop_attach,PANEL_PY,38.3283,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1513.11,prop_attach,PANEL_PY,38.3137,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1573.63,prop_attach,PANEL_PY,38.2941,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1634.15,prop_attach,PANEL_PY,38.2692,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1694.68,prop_attach,PANEL_PY,38.2389,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1755.2,prop_attach,PANEL_PY,38.203,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1815.73,prop_attach,PANEL_PY,38.1613,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1876.25,prop_attach,PANEL_PY,38.1139,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1936.77,prop_attach,PANEL_PY,38.0609,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1997.3,prop_attach,PANEL_PY,38.0022,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2057.82,prop_attach,PANEL_PY,37.938,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2118.35,prop_attach,PANEL_PY,37.8698,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2178.87,prop_attach,PANEL_PY,37.7994,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2239.4,prop_attach,PANEL_PY,37.7272,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2299.92,prop_attach,PANEL_PY,37.6538,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2360.44,prop_attach,PANEL_PY,37.5797,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2420.97,prop_attach,PANEL_PY,37.5056,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2481.49,prop_attach,PANEL_PY,37.4321,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2542.02,prop_attach,PANEL_PY,37.3598,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2602.54,prop_attach,PANEL_PY,37.2891,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2663.06,prop_attach,PANEL_PY,37.2207,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2723.59,prop_attach,PANEL_PY,37.1547,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2784.11,prop_attach,PANEL_PY,37.0917,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2844.64,prop_attach,PANEL_PY,37.032,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2905.16,prop_attach,PANEL_PY,36.9757,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2965.69,prop_attach,PANEL_PY,36.9231,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3026.21,prop_attach,PANEL_PY,36.8744,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3086.73,prop_attach,PANEL_PY,36.8296,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3147.26,prop_attach,PANEL_PY,36.7889,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3207.78,prop_attach,PANEL_PY,36.7522,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3268.31,prop_attach,PANEL_PY,36.7197,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3328.83,prop_attach,PANEL_PY,36.6915,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3389.36,prop_attach,PANEL_PY,36.6674,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3449.88,prop_attach,PANEL_PY,36.6473,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3510.4,prop_attach,PANEL_PY,36.6311,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
3570.93,prop_attach,PANEL_PY,36.6186,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
