case_index,time_s,time_min,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,0.0,0.0,371.552501746919,-347.88311859301757,-255.89809854409395,255.89809854409395,508.99305079381764,-67.32973997713998,-81.14639058476314,-53.66121331462637,-770.9569181315601,-741.3908024318516,-51.20062633068301,-703.6271781544201,-660.2444118470885,2.4605869839433647,412.71869825678476,-386.42686343427766,0.1598312351358544,565.3869866511156,81.14458389767947,-67.33191702695875,0.00555901524812441,105.44207199430785,741.3709240084531,-770.9757506293621,0.5720173911205606,1069.5954632587293,660.245175064845,-703.6262566782626,0.4655069084646968,964.8904602510443,660.245175064845,-703.6262566782626,0.4655069084646968,964.8904602510443,1154.0889253071357,-1157.4019151048124,1.3357511122746857,1634.472526720736,1072.9632892051975,-1090.0525266928032,1.1697330496440728,1529.5308859030604
2.0,0.0,0.0,371.552501746919,-347.88311859301757,-255.89809854409395,255.89809854409395,508.99305079381764,-67.32973997713998,-81.14639058476314,-53.66121331462637,-770.9569181315601,-741.3908024318516,-51.20062633068301,-703.6271781544201,-660.2444118470885,2.4605869839433647,412.71869825678476,-386.42686343427766,0.1598312351358544,565.3869866511156,81.14458389767947,-67.33191702695875,0.00555901524812441,105.44207199430785,741.3709240084531,-770.9757506293621,0.5720173911205606,1069.5954632587293,660.245175064845,-703.6262566782626,0.4655069084646968,964.8904602510443,660.245175064845,-703.6262566782626,0.4655069084646968,964.8904602510443,1154.0889253071357,-1157.4019151048124,1.3357511122746857,1634.472526720736,1072.9632892051975,-1090.0525266928032,1.1697330496440728,1529.5308859030604
3.0,60.5,1.0083333333333333,376.2135183933424,-348.62155189330224,-256.6842741771325,256.6842741771325,512.9070070357708,-67.96156230848283,-82.20662857638672,-53.933195886202164,-771.9484274275601,-750.5057146772742,-51.47175033926032,-703.9868651190773,-668.2990861008875,2.4614455469418455,417.8957667365484,-387.24677239539375,0.1622984805438321,569.7340911223213,82.20479568852012,-67.96377897978915,0.005688351789601143,106.66163174921414,750.485702586349,-771.967592870524,0.5795815450904129,1076.64420967599,668.2998475652249,-703.985932075643,0.4711105503485413,970.6806265791621,668.2998475652249,-703.985932075643,0.4711105503485413,970.6806265791621,1168.380753611798,-1159.213655170277,1.354445859136355,1645.8705549780354,1086.1950148352182,-1091.232102224534,1.1853042581888573,1539.677599752057
4.0,121.0,2.0166666666666666,380.7396842603339,-349.4197912914388,-257.46181574959337,257.46181574959337,516.7754809555223,-68.57992411823943,-83.23061774717644,-54.21792229753919,-773.0733486823738,-759.3999616801739,-51.756982429651536,-704.4934245641343,-676.1693439329974,2.4609398678876526,422.92303888646364,-388.1331158508945,0.16475561981366127,574.0306720385986,83.22875841455644,-68.58218024729584,0.005815270820441754,107.84498910334766,759.3798067401236,-773.0928491532463,0.5871652944966499,1083.6651901286448,676.1701033338511,-704.4924805998252,0.47675794556667483,976.4812665198477,676.1701033338511,-704.4924805998252,0.47675794556667483,976.4812665198477,1182.3021111544394,-1161.2252436254082,1.3731421169005387,1657.1911019774193,1099.0925273827906,-1092.6249852311691,1.2009175921479098,1549.7850631942815
5.0,181.5,3.025,385.12818355229683,-350.2745030345977,-258.22867280567147,258.22867280567147,520.5919181493563,-69.18192957527936,-84.21776146860793,-54.51290780911222,-774.3285386823118,-768.0563721805811,-52.05328852753155,-705.1466091070324,-683.8386107119732,2.4596192815806717,427.797388453183,-389.08219143507495,0.16719779261098466,578.2694503942637,84.2158756060971,-69.18422488157206,0.005939385316899859,108.98977326596085,768.0360663957564,-774.3483747506035,0.5947475791856505,1090.639631025559,683.8393679384341,-705.1456547196311,0.4824334540742825,982.2762724979232,683.8393679384341,-705.1456547196311,0.4824334540742825,982.2762724979232,1195.8327016550427,-1163.4298334006926,1.3917933824325601,1668.4078720727618,1111.636126200392,-1094.2272258326605,1.2165347894610434,1559.8295095385438
6.0,242.0,4.033333333333333,389.3928460456664,-351.16093704345985,-258.9936185586339,258.9936185586339,524.347968678038,-69.7642972227186,-85.16674279235303,-54.81422340380959,-775.6698178127408,-776.4847250655293,-52.35473145148717,-705.9055205900222,-691.3179822731763,2.4594919523224235,432.534173784975,-390.06650304982134,0.1696188585142977,582.4411457764356,85.16483053977379,-69.76663122128818,0.006060215551606518,110.0928298883974,776.4642638291106,-775.6899880533466,0.602296036600336,1097.5389335098248,691.3187378767838,-705.9045555903259,0.4881115385213519,988.0398974447969,691.3187378767838,-705.9045555903259,0.4881115385213519,988.0398974447969,1208.9976657683246,-1165.7557468638224,1.410331903040074,1679.4826040121065,1123.852266156285,-1095.9704291491257,1.232098308046048,1569.775492774026
7.0,302.5,5.041666666666667,393.5387994715711,-352.06936354370555,-259.7592485926725,259.7592485926725,528.0394146610605,-70.32616849755868,-86.0779473441653,-55.11931885848753,-777.0800148136914,-784.6886292099953,-52.65824438538402,-706.7538463161327,-698.61068186583,2.4610744731035084,437.13908983933027,-391.07524174608244,0.17201522917176248,586.5410715135939,86.0760089580638,-70.32854059605997,0.006177591438394359,111.15387056022986,784.6680095151016,-777.1005166621558,0.6097947349292809,1104.350079527765,698.6114365655693,-706.7528703223155,0.4937789014336502,993.7593063760661,698.6114365655693,-706.7528703223155,0.4937789014336502,993.7593063760661,1221.8063089511581,-1168.175002699793,1.428722767315982,1690.3974365590816,1135.7498656439898,-1097.8274733701228,1.2475772374065386,1579.6053046873983
8.0,363.0,6.05,397.56703517923603,-352.99927230880706,-260.5245114182253,260.5245114182253,531.6653399571532,-70.86816185619682,-86.95296128280461,-55.426375183742486,-778.5577909089625,-792.6686084829271,-52.96230301610194,-707.6896290527657,-705.7156472001225,2.4640721676405453,441.61323864012076,-392.1078411634867,0.17438542110337352,590.5682108309812,86.95099707326197,-70.87057141501688,0.006291556831072853,112.174479204164,792.6478279193077,-778.5786211352286,0.6172378146374058,1111.069416550573,705.7164016134083,-707.6886417712711,0.4994295512705804,999.4292637291766,705.7164016134083,-707.6886417712711,0.4994295512705804,999.4292637291766,1234.260257711099,-1170.6856951127324,1.446952736960938,1701.1476656970876,1147.328964311686,-1099.795834996767,1.2629581130907397,1589.3126284733164
9.0,423.5,7.058333333333334,401.47484833141795,-353.92767222219845,-261.29567572752416,261.29567572752416,535.2072972291755,-71.38799992389977,-87.78901246841997,-55.73109956458211,-780.0619350746274,-800.4324627108872,-53.26472819433548,-708.6739351507276,-712.6434502424672,2.4663713702466272,445.9536129262303,-393.13876024374696,0.17671637042582233,594.5020686994693,87.78702296978102,-71.39044602370919,0.006401578600545577,113.15103704942784,800.411520792564,-780.0830897049083,0.6245943097171747,1117.6708949690965,712.6442041971476,-708.67293702556,0.5050396741923535,1005.0269118029721,712.6442041971476,-708.67293702556,0.5050396741923535,1005.0269118029721,1246.3643065975411,-1173.2210713672423,1.464936906447889,1711.6867899999897,1158.5971261210261,-1101.8110401349134,1.278168251350742,1598.8542362639193
10.0,484.0,8.066666666666666,405.2676977153169,-354.85526495904196,-262.07235680431035,262.07235680431035,538.668883341729,-71.88692688941956,-88.58872024575248,-56.03320460068062,-781.591166742146,-807.9871186055243,-53.56517067411914,-709.7042398527265,-719.3983983597718,2.4680339265614815,450.16627670168197,-394.1687785509467,0.17900936732928585,598.3466408895437,88.58670597977444,-71.8894086508094,0.00650784570677132,114.0863337675029,807.9660150099254,-781.6126417303001,0.6318639010904903,1124.1563072471895,719.3991517027385,-709.7032313089238,0.5106070383176231,1010.5512436294102,719.3991517027385,-709.7032313089238,0.5106070383176231,1010.5512436294102,1258.1314464910502,-1175.7806303844816,1.4826785129651299,1722.0205653350924,1169.5647224645072,-1103.8713435719553,1.2932076278726612,1608.2330624610456
11.0,544.5,9.075,408.9509984623873,-355.7804625415883,-262.85485944299575,262.85485944299575,542.0522637806155,-72.36596866277978,-89.35433288570493,-56.332060921704404,-783.1390830688179,-815.3405506163836,-53.86241173255257,-710.7731144060381,-725.9862177306786,2.46964918915183,454.2572451218184,-395.1961320304066,0.18126483025682205,602.1043327509432,89.3522943794874,-72.36848522189624,0.006610515024263464,114.9827385488378,815.3192856651737,-783.160873972052,0.639043450156862,1130.5248746039324,725.9869705095823,-710.7720956566487,0.5161271597886596,1015.9990419846986,725.9869705095823,-710.7720956566487,0.5161271597886596,1015.9990419846986,1269.57566764474,-1178.356204877284,1.5001739860354135,1732.150605879403,1180.2434948813286,-1105.9675522957511,1.3080703225032408,1617.4482785983448
