time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,100.37,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,100.37,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
60.5242,prop_attach,PANEL_PY,100.367,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
121.048,prop_attach,PANEL_PY,100.366,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
181.573,prop_attach,PANEL_PY,100.367,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
242.097,prop_attach,PANEL_PY,100.371,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
302.621,prop_attach,PANEL_PY,100.377,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
363.145,prop_attach,PANEL_PY,100.386,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
423.669,prop_attach,PANEL_PY,100.396,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
484.194,prop_attach,PANEL_PY,100.409,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
544.718,prop_attach,PANEL_PY,100.423,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.242,prop_attach,PANEL_PY,100.439,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
665.766,prop_attach,PANEL_PY,100.457,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
726.29,prop_attach,PANEL_PY,100.477,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
786.815,prop_attach,PANEL_PY,100.498,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
847.339,prop_attach,PANEL_PY,100.522,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
907.863,prop_attach,PANEL_PY,100.547,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
968.387,prop_attach,PANEL_PY,100.573,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1028.91,prop_attach,PANEL_PY,100.601,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1089.44,prop_attach,PANEL_PY,100.622,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1149.96,prop_attach,PANEL_PY,100.627,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1210.48,prop_attach,PANEL_PY,100.617,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1271.01,prop_attach,PANEL_PY,100.594,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1331.53,prop_attach,PANEL_PY,100.559,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1392.06,prop_attach,PANEL_PY,100.514,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1452.58,prop_attach,PANEL_PY,100.458,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1513.11,prop_attach,PANEL_PY,100.393,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1573.63,prop_attach,PANEL_PY,100.319,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1634.15,prop_attach,PANEL_PY,100.236,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1694.68,prop_attach,PANEL_PY,100.146,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1755.2,prop_attach,PANEL_PY,100.047,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1815.73,prop_attach,PANEL_PY,99.9418,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1876.25,prop_attach,PANEL_PY,99.829,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1936.77,prop_attach,PANEL_PY,99.7093,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1997.3,prop_attach,PANEL_PY,99.5829,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2057.82,prop_attach,PANEL_PY,99.4501,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2118.35,prop_attach,PANEL_PY,99.3186,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2178.87,prop_attach,PANEL_PY,99.1956,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2239.4,prop_attach,PANEL_PY,99.0805,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2299.92,prop_attach,PANEL_PY,98.9727,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2360.44,prop_attach,PANEL_PY,98.8717,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2420.97,prop_attach,PANEL_PY,98.7771,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2481.49,prop_attach,PANEL_PY,98.6886,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2542.02,prop_attach,PANEL_PY,98.6058,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2602.54,prop_attach,PANEL_PY,98.5285,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2663.06,prop_attach,PANEL_PY,98.4566,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2723.59,prop_attach,PANEL_PY,98.3899,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
