time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,42.7737,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,42.7737,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
60.5242,prop_attach,PANEL_PY,42.7795,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
121.048,prop_attach,PANEL_PY,42.7994,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
181.573,prop_attach,PANEL_PY,42.8283,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
242.097,prop_attach,PANEL_PY,42.8635,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
302.621,prop_attach,PANEL_PY,42.9033,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
363.145,prop_attach,PANEL_PY,42.9465,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
423.669,prop_attach,PANEL_PY,42.9925,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
484.194,prop_attach,PANEL_PY,43.0407,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
544.718,prop_attach,PANEL_PY,43.0908,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.242,prop_attach,PANEL_PY,43.1424,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
665.766,prop_attach,PANEL_PY,43.1953,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
726.29,prop_attach,PANEL_PY,43.2495,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
786.815,prop_attach,PANEL_PY,43.3046,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
847.339,prop_attach,PANEL_PY,43.3606,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
907.863,prop_attach,PANEL_PY,43.4172,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
968.387,prop_attach,PANEL_PY,43.4744,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1028.91,prop_attach,PANEL_PY,43.5321,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1089.44,prop_attach,PANEL_PY,43.5362,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
