case_index,time_s,time_min,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,0.0,0.0,-211.54553905944334,-349.95009536942234,-220.3751417937383,220.3751417937383,408.92124467312567,-53.45042882254347,-84.34560004388914,-21.386766093201,-780.2785839885473,524.4953208602965,-19.12650259328075,-726.8281551660039,608.8409209041856,2.2602634999202498,-234.99303401243404,-388.73821225175203,0.10316956722267179,454.2456644801987,84.34502833138434,-53.45133066944427,0.0049855642947349565,99.8555384270512,-524.5027055584256,-780.273453108848,0.44196497250847955,940.1753824497397,-608.8400082708994,-726.8287343367746,0.44948318334014914,948.1382624537976,-608.8400082708994,-726.8287343367746,0.44948318334014914,948.1382624537976,-759.49541558793,-1169.0111666878565,0.9717106692619382,1394.0661369318123,-843.8326831319255,-1115.5664717819957,0.9782715536532649,1398.764508445133
2.0,0.0,0.0,-211.54553905944334,-349.95009536942234,-220.3751417937383,220.3751417937383,408.92124467312567,-53.45042882254347,-84.34560004388914,-21.386766093201,-780.2785839885473,524.4953208602965,-19.12650259328075,-726.8281551660039,608.8409209041856,2.2602634999202498,-234.99303401243404,-388.73821225175203,0.10316956722267179,454.2456644801987,84.34502833138434,-53.45133066944427,0.0049855642947349565,99.8555384270512,-524.5027055584256,-780.273453108848,0.44196497250847955,940.1753824497397,-608.8400082708994,-726.8287343367746,0.44948318334014914,948.1382624537976,-608.8400082708994,-726.8287343367746,0.44948318334014914,948.1382624537976,-759.49541558793,-1169.0111666878565,0.9717106692619382,1394.0661369318123,-843.8326831319255,-1115.5664717819957,0.9782715536532649,1398.764508445133
3.0,60.5,1.0083333333333333,-214.1366185242077,-350.4373892155854,-221.14081252766485,221.14081252766485,410.68340014324633,-53.83008465287276,-85.3142628329806,-21.37907722499222,-780.962873250246,530.7789542712271,-19.11730578285642,-727.1327885973733,616.0932171042077,2.2617714421357995,-237.87110359102635,-389.2791858149464,0.10406047867839163,456.202747067968,85.31368726301244,-53.83099652758896,0.005088100718531052,100.87716005897661,-530.786340315026,-780.9576836163749,0.44581462066428656,944.2611093677809,-616.0923015341406,-727.1333752527974,0.45414643778940444,953.0438968988574,-616.0923015341406,-727.1333752527974,0.45414643778940444,953.0438968988574,-768.657113176527,-1170.2363659145888,0.9801439351253549,1400.1024640167789,-853.9630382554733,-1116.412081447737,0.987814890995864,1405.5706336961468
4.0,121.0,2.0166666666666666,-216.67608598363583,-350.99797719340125,-221.9015420905635,221.9015420905635,412.4901286467924,-54.2165944352746,-86.25038753962144,-21.37099727406166,-781.8086305633187,536.9472200982273,-19.10769788082689,-727.5920361280441,623.1976076378487,2.263299393234771,-240.69183705291488,-389.9015784276133,0.10497790614572011,458.2093422053409,86.24980805251685,-54.21751596576544,0.00518928422454934,101.87525914859816,-536.9546088459007,-781.8033833925335,0.4497684922277756,948.4391294357624,-623.196688933207,-727.5926300756215,0.45888267952154393,958.0005993931699,-623.196688933207,-727.5926300756215,0.45888267952154393,958.0005993931699,-777.6461083483663,-1171.7044532220066,0.9888128866819557,1406.2804825246067,-863.8881513283485,-1117.4937238598122,0.9975479779988916,1412.4783045666868
5.0,181.5,3.025,-219.15824800089467,-351.6278977713228,-222.65385246100783,222.65385246100783,414.3338221264365,-54.60598185891286,-87.15294097783044,-21.36235343641602,-782.8096859157085,542.9813754744828,-19.09735146909952,-728.2037040567957,630.1343164523132,2.265001967316497,-243.44891105567854,-390.6009907912594,0.10591825871930638,460.25700027409596,87.1523575614159,-54.606912654460196,0.0052887241253074535,102.84672254459416,-542.9887680999954,-782.8043826998471,0.4538098549167202,952.6906653562002,-630.1333943679332,-728.2043051339188,0.46367490980081527,962.9899297049926,-630.1333943679332,-728.2043051339188,0.46367490980081527,962.9899297049926,-786.4373347321841,-1173.4048595935856,0.9976818207135807,1412.573058633961,-873.5819229322618,-1118.804806064812,1.0074352925215635,1419.4610139583792
6.0,242.0,4.033333333333333,-221.5848999185255,-352.3096029312,-223.40495934258794,223.40495934258794,416.19938033284336,-54.99271355802193,-88.02145748632029,-21.35190698027145,-783.9241297915578,548.8857859745622,-19.08469494082965,-728.9314162335359,636.9072434608825,2.2672120394418016,-246.14431819495016,-391.35792664084755,0.10687403173559318,462.32894363675723,88.02087022194915,-54.99365316810469,0.005385987766892697,103.7881278538302,-548.8931826376873,-783.9187724308792,0.4579062886644891,956.9808606840925,-636.9063176765491,-728.9320244009466,0.4684958865297517,967.9832403991112,-636.9063176765491,-728.9320244009466,0.4684958865297517,967.9832403991112,-795.0371495059476,-1175.2761797175178,1.0066795905760983,1418.9285280471126,-883.0502455243044,-1120.2894558243945,1.0174136180207682,1426.4733439331603
7.0,302.5,5.041666666666667,-223.95677660824728,-353.03489516991243,-224.1568188310339,224.1568188310339,418.0792687952698,-55.37419565371238,-88.8564100023359,-21.33982161467429,-785.1336267776787,554.6602187678218,-19.06978286569938,-729.7594311239664,643.5166287701577,2.2700387489749083,-248.77887441703717,-392.1632789167105,0.10784148873899113,464.4168016845575,88.85581899552118,-55.3751436383204,0.005480881526409576,104.69843887245615,-554.6676194721987,-785.128217184127,0.4620413495137754,961.2920916712472,-643.5156989464077,-729.7600463878169,0.4733312020110958,972.9656623408825,-643.5156989464077,-729.7600463878169,0.4733312020110958,972.9656623408825,-803.4461356422515,-1177.29097116093,1.0157703775881544,1425.3209195319885,-892.2941751520464,-1121.9228246148791,1.0274503875473684,1433.4921413813538
8.0,363.0,6.05,-226.2737325509079,-353.80139547669387,-224.9081546779053,224.9081546779053,419.97051025491743,-55.74961687671021,-89.65895540313795,-21.32701411028393,-786.4344515837729,560.3019380941987,-19.0536829904886,-730.6848347070627,649.9608934973367,2.27333111979533,-251.3524185770538,-393.0144053684896,0.10881918643956823,466.5172677958254,89.65836074333595,-55.75057284782395,0.0055733739845464925,105.57816073432369,-560.3093432235372,-786.4289914146598,0.46620866800406446,965.6174804968429,-649.9599593542662,-730.6854570295313,0.47817470727462563,977.9310741960571,-649.9599593542662,-730.6854570295313,0.47817470727462563,977.9310741960571,-811.6613966235927,-1179.442866136494,1.0249403739059915,1431.7400941683616,-901.3119718552439,-1123.699356127784,1.0375322949673915,1440.5080748026319
9.0,423.5,7.058333333333334,-228.55414681544065,-354.58078946248867,-225.66702978110695,225.66702978110695,421.8584291944108,-56.115317420335494,-90.4299522517249,-21.31080145773012,-787.7785246819258,565.8370209857821,-19.03446354845073,-731.6632072615903,656.266973237507,2.2763379092793876,-253.8853646268388,-393.879849815416,0.10979956333034835,468.614035707764,90.42935414297837,-56.116280877532795,0.005663252533594232,106.42605447089707,-565.8444297017478,-787.7730159134288,0.47038323225390144,969.9310507586794,-656.2660348197802,-731.6638364037019,0.4830086556273372,982.8616779379793,-656.2660348197802,-731.6638364037019,0.4830086556273372,982.8616779379793,-819.729422214477,-1181.6523293207417,1.0341298111171682,1438.1441349994147,-910.1509855063712,-1125.5431743176555,1.0476116754087883,1447.4882568336377
10.0,484.0,8.066666666666666,-230.79751736077014,-355.37029930310376,-226.4332056256535,226.4332056256535,423.73994813643964,-56.4707261219155,-91.17079753195867,-21.29200947820209,-789.159326814115,571.265583857894,-19.01286850625183,-732.6886006921995,662.4363813898526,2.279140971950259,-256.3771549908219,-394.7565266100772,0.11078098671735148,470.70368694375077,91.17019616269705,-56.471696614137535,0.005750528608849947,107.24298199334004,-571.2729955478482,-789.1537712342272,0.4745583676024623,974.2261083010528,-662.4354387208699,-732.6892364426317,0.4878272327202282,987.7521084119224,-662.4354387208699,-732.6892364426317,0.4878272327202282,987.7521084119224,-827.6497714875767,-1183.9097556315198,1.0433237711549026,1444.5229156101757,-918.8121719152343,-1127.4452454796672,1.0576748538104752,1454.4237995901665
11.0,544.5,9.075,-233.0022944079246,-356.1664784683672,-227.20680090060344,227.20680090060344,425.6108898793768,-56.81522816303186,-91.88224066747352,-21.27104562532622,-790.5671373009682,576.5883252024651,-18.98925802379381,-733.7519091379363,668.4705658699386,2.281787601532411,-258.8260681381923,-395.64060714012567,0.11176121805789307,472.7815812466507,91.88163622217415,-56.81620526390476,0.0058351581344595616,108.02923796571976,-576.5957392997657,-790.5615366068431,0.47872520936298457,978.4938373545416,-668.4696189685744,-733.75255130363,0.49262234036451247,992.5948005246538,-668.4696189685744,-733.75255130363,0.49262234036451247,992.5948005246538,-835.4214214597263,-1186.2015957026135,1.052502142440126,1450.86290774877,-927.2952574726843,-1129.392635173994,1.0677026794914113,1461.3022339395059
