time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,35.8176,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,35.8176,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
60.5242,prop_attach,PANEL_PY,35.8234,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
121.048,prop_attach,PANEL_PY,35.8432,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
181.573,prop_attach,PANEL_PY,35.872,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
242.097,prop_attach,PANEL_PY,35.9072,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
302.621,prop_attach,PANEL_PY,35.947,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
363.145,prop_attach,PANEL_PY,35.9903,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
423.669,prop_attach,PANEL_PY,36.0363,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
484.194,prop_attach,PANEL_PY,36.0846,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
544.718,prop_attach,PANEL_PY,36.1347,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.242,prop_attach,PANEL_PY,36.1864,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
665.766,prop_attach,PANEL_PY,36.2396,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
726.29,prop_attach,PANEL_PY,36.2939,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
786.815,prop_attach,PANEL_PY,36.3493,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
847.339,prop_attach,PANEL_PY,36.4056,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
907.863,prop_attach,PANEL_PY,36.4625,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
968.387,prop_attach,PANEL_PY,36.5201,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1028.91,prop_attach,PANEL_PY,36.5781,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1089.44,prop_attach,PANEL_PY,36.5828,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1149.96,prop_attach,PANEL_PY,36.5005,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1210.48,prop_attach,PANEL_PY,36.3627,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1271.01,prop_attach,PANEL_PY,36.1874,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1331.53,prop_attach,PANEL_PY,35.9857,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1392.06,prop_attach,PANEL_PY,35.7646,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1452.58,prop_attach,PANEL_PY,35.5287,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1513.11,prop_attach,PANEL_PY,35.2816,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1573.63,prop_attach,PANEL_PY,35.0257,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1634.15,prop_attach,PANEL_PY,34.763,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1694.68,prop_attach,PANEL_PY,34.4949,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1755.2,prop_attach,PANEL_PY,34.2226,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1815.73,prop_attach,PANEL_PY,33.947,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1876.25,prop_attach,PANEL_PY,33.6689,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1936.77,prop_attach,PANEL_PY,33.3892,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1997.3,prop_attach,PANEL_PY,33.1082,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2057.82,prop_attach,PANEL_PY,32.8265,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2118.35,prop_attach,PANEL_PY,32.5977,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2178.87,prop_attach,PANEL_PY,32.4551,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2239.4,prop_attach,PANEL_PY,32.3682,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2299.92,prop_attach,PANEL_PY,32.3192,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2360.44,prop_attach,PANEL_PY,32.2974,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2420.97,prop_attach,PANEL_PY,32.2959,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2481.49,prop_attach,PANEL_PY,32.3102,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2542.02,prop_attach,PANEL_PY,32.3369,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2602.54,prop_attach,PANEL_PY,32.3737,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
2663.06,prop_attach,PANEL_PY,32.4188,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
