time_s,probe_name,panel,temperature_c,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,panel_mx_center,PANEL_MX,25.2717,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
0.0,panel_mx_center,PANEL_MX,25.2717,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
60.5242,panel_mx_center,PANEL_MX,25.2668,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
121.048,panel_mx_center,PANEL_MX,25.263,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
181.573,panel_mx_center,PANEL_MX,25.26,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
242.097,panel_mx_center,PANEL_MX,25.2579,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
302.621,panel_mx_center,PANEL_MX,25.2565,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
363.145,panel_mx_center,PANEL_MX,25.2557,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
423.669,panel_mx_center,PANEL_MX,25.2556,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
484.194,panel_mx_center,PANEL_MX,25.256,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
544.718,panel_mx_center,PANEL_MX,25.257,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
605.242,panel_mx_center,PANEL_MX,25.2585,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
665.766,panel_mx_center,PANEL_MX,25.2604,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
726.29,panel_mx_center,PANEL_MX,25.2627,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
786.815,panel_mx_center,PANEL_MX,25.2655,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
847.339,panel_mx_center,PANEL_MX,25.2687,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
907.863,panel_mx_center,PANEL_MX,25.2724,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
968.387,panel_mx_center,PANEL_MX,25.2767,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1028.91,panel_mx_center,PANEL_MX,25.2815,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1089.44,panel_mx_center,PANEL_MX,25.2823,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1149.96,panel_mx_center,PANEL_MX,25.2753,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1210.48,panel_mx_center,PANEL_MX,25.261,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1271.01,panel_mx_center,PANEL_MX,25.2402,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1331.53,panel_mx_center,PANEL_MX,25.2134,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1392.06,panel_mx_center,PANEL_MX,25.1811,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1452.58,panel_mx_center,PANEL_MX,25.1439,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1513.11,panel_mx_center,PANEL_MX,25.102,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1573.63,panel_mx_center,PANEL_MX,25.056,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1634.15,panel_mx_center,PANEL_MX,25.0061,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1694.68,panel_mx_center,PANEL_MX,24.9527,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1755.2,panel_mx_center,PANEL_MX,24.8959,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1815.73,panel_mx_center,PANEL_MX,24.8361,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1876.25,panel_mx_center,PANEL_MX,24.7734,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1936.77,panel_mx_center,PANEL_MX,24.708,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1997.3,panel_mx_center,PANEL_MX,24.6402,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2057.82,panel_mx_center,PANEL_MX,24.5699,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2118.35,panel_mx_center,PANEL_MX,24.5011,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2178.87,panel_mx_center,PANEL_MX,24.4374,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2239.4,panel_mx_center,PANEL_MX,24.3785,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2299.92,panel_mx_center,PANEL_MX,24.324,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2360.44,panel_mx_center,PANEL_MX,24.2735,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2420.97,panel_mx_center,PANEL_MX,24.2268,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2481.49,panel_mx_center,PANEL_MX,24.1835,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2542.02,panel_mx_center,PANEL_MX,24.1433,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2602.54,panel_mx_center,PANEL_MX,24.1061,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2663.06,panel_mx_center,PANEL_MX,24.0715,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2723.59,panel_mx_center,PANEL_MX,24.0393,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2784.11,panel_mx_center,PANEL_MX,24.0094,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2844.64,panel_mx_center,PANEL_MX,23.9816,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2905.16,panel_mx_center,PANEL_MX,23.9557,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2965.69,panel_mx_center,PANEL_MX,23.9316,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3026.21,panel_mx_center,PANEL_MX,23.9092,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3086.73,panel_mx_center,PANEL_MX,23.8885,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3147.26,panel_mx_center,PANEL_MX,23.8693,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3207.78,panel_mx_center,PANEL_MX,23.8518,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3268.31,panel_mx_center,PANEL_MX,23.8359,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3328.83,panel_mx_center,PANEL_MX,23.8219,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3389.36,panel_mx_center,PANEL_MX,23.8096,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3449.88,panel_mx_center,PANEL_MX,23.7994,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3510.4,panel_mx_center,PANEL_MX,23.7913,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3570.93,panel_mx_center,PANEL_MX,23.7853,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3631.45,panel_mx_center,PANEL_MX,23.7816,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3691.98,panel_mx_center,PANEL_MX,23.7803,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3752.5,panel_mx_center,PANEL_MX,23.7812,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3813.02,panel_mx_center,PANEL_MX,23.7843,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3873.55,panel_mx_center,PANEL_MX,23.7897,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3934.07,panel_mx_center,PANEL_MX,23.7973,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
3994.6,panel_mx_center,PANEL_MX,23.8071,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4055.12,panel_mx_center,PANEL_MX,23.8191,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4115.65,panel_mx_center,PANEL_MX,23.833,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4176.17,panel_mx_center,PANEL_MX,23.8488,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4236.69,panel_mx_center,PANEL_MX,23.8664,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4297.22,panel_mx_center,PANEL_MX,23.8855,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4357.74,panel_mx_center,PANEL_MX,23.9061,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4418.27,panel_mx_center,PANEL_MX,23.928,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4478.79,panel_mx_center,PANEL_MX,23.951,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4539.31,panel_mx_center,PANEL_MX,23.9752,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4599.84,panel_mx_center,PANEL_MX,24.0001,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4660.36,panel_mx_center,PANEL_MX,24.0256,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4720.89,panel_mx_center,PANEL_MX,24.0518,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4781.41,panel_mx_center,PANEL_MX,24.0783,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4841.94,panel_mx_center,PANEL_MX,24.105,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4902.46,panel_mx_center,PANEL_MX,24.132,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
4962.98,panel_mx_center,PANEL_MX,24.1591,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5023.51,panel_mx_center,PANEL_MX,24.1861,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5084.03,panel_mx_center,PANEL_MX,24.2132,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5144.56,panel_mx_center,PANEL_MX,24.2399,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5205.08,panel_mx_center,PANEL_MX,24.2664,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5265.61,panel_mx_center,PANEL_MX,24.2925,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5326.13,panel_mx_center,PANEL_MX,24.3182,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5386.65,panel_mx_center,PANEL_MX,24.3434,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5447.18,panel_mx_center,PANEL_MX,24.3682,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5507.7,panel_mx_center,PANEL_MX,24.3923,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5568.23,panel_mx_center,PANEL_MX,24.4159,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5628.75,panel_mx_center,PANEL_MX,24.4391,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
5689.27,panel_mx_center,PANEL_MX,24.4617,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
