time_s,probe_name,panel,temperature_c,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,panel_mx_center,PANEL_MX,87.6665,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
0.0,panel_mx_center,PANEL_MX,87.6665,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
60.52,panel_mx_center,PANEL_MX,87.6596,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
121.04,panel_mx_center,PANEL_MX,87.6536,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
181.56,panel_mx_center,PANEL_MX,87.6488,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
242.08,panel_mx_center,PANEL_MX,87.6457,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
302.6,panel_mx_center,PANEL_MX,87.6446,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
363.12,panel_mx_center,PANEL_MX,87.6457,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
423.64,panel_mx_center,PANEL_MX,87.6491,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
484.16,panel_mx_center,PANEL_MX,87.655,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
544.68,panel_mx_center,PANEL_MX,87.6631,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
605.2,panel_mx_center,PANEL_MX,87.6733,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
665.72,panel_mx_center,PANEL_MX,87.6854,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
726.24,panel_mx_center,PANEL_MX,87.6995,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
786.76,panel_mx_center,PANEL_MX,87.7154,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
847.28,panel_mx_center,PANEL_MX,87.733,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
907.8,panel_mx_center,PANEL_MX,87.7524,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
968.32,panel_mx_center,PANEL_MX,87.7735,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1028.84,panel_mx_center,PANEL_MX,87.7961,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1089.36,panel_mx_center,PANEL_MX,87.8187,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1149.88,panel_mx_center,PANEL_MX,87.8336,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1210.4,panel_mx_center,PANEL_MX,87.8387,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1270.92,panel_mx_center,PANEL_MX,87.8323,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1331.44,panel_mx_center,PANEL_MX,87.8136,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1391.96,panel_mx_center,PANEL_MX,87.7822,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1452.48,panel_mx_center,PANEL_MX,87.7384,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1513.0,panel_mx_center,PANEL_MX,87.6823,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1573.52,panel_mx_center,PANEL_MX,87.6145,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1634.04,panel_mx_center,PANEL_MX,87.5358,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1694.56,panel_mx_center,PANEL_MX,87.4467,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1755.08,panel_mx_center,PANEL_MX,87.348,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1815.6,panel_mx_center,PANEL_MX,87.2404,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1876.12,panel_mx_center,PANEL_MX,87.1246,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1936.64,panel_mx_center,PANEL_MX,87.0016,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1997.16,panel_mx_center,PANEL_MX,86.8719,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2057.68,panel_mx_center,PANEL_MX,86.7368,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2118.2,panel_mx_center,PANEL_MX,86.6031,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2178.72,panel_mx_center,PANEL_MX,86.4743,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2239.24,panel_mx_center,PANEL_MX,86.3525,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2299.76,panel_mx_center,PANEL_MX,86.2394,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2360.28,panel_mx_center,PANEL_MX,86.1359,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2420.8,panel_mx_center,PANEL_MX,86.0425,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
2481.32,panel_mx_center,PANEL_MX,85.9594,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
