time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,36.4945,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,36.4945,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
60.52,prop_attach,PANEL_PY,36.4921,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
121.04,prop_attach,PANEL_PY,36.4899,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
181.56,prop_attach,PANEL_PY,36.4881,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
242.08,prop_attach,PANEL_PY,36.4868,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
302.6,prop_attach,PANEL_PY,36.4862,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
363.12,prop_attach,PANEL_PY,36.4863,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
423.64,prop_attach,PANEL_PY,36.4874,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
484.16,prop_attach,PANEL_PY,36.4894,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
544.68,prop_attach,PANEL_PY,36.4924,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
605.2,prop_attach,PANEL_PY,36.4963,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
665.72,prop_attach,PANEL_PY,36.5012,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
726.24,prop_attach,PANEL_PY,36.5071,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
786.76,prop_attach,PANEL_PY,36.514,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
847.28,prop_attach,PANEL_PY,36.522,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
907.8,prop_attach,PANEL_PY,36.531,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
