time_s,probe_name,panel,temperature_c,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,panel_mx_center,PANEL_MX,50.3108,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
0.0,panel_mx_center,PANEL_MX,50.3108,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
60.52,panel_mx_center,PANEL_MX,50.5704,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
121.04,panel_mx_center,PANEL_MX,50.8258,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
181.56,panel_mx_center,PANEL_MX,51.0766,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
242.08,panel_mx_center,PANEL_MX,51.322,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
302.6,panel_mx_center,PANEL_MX,51.5614,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
363.12,panel_mx_center,PANEL_MX,51.7946,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
423.64,panel_mx_center,PANEL_MX,52.0219,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
484.16,panel_mx_center,PANEL_MX,52.2437,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
544.68,panel_mx_center,PANEL_MX,52.4602,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
605.2,panel_mx_center,PANEL_MX,52.6711,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
665.72,panel_mx_center,PANEL_MX,52.8763,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
726.24,panel_mx_center,PANEL_MX,53.0762,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
786.76,panel_mx_center,PANEL_MX,53.2717,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
847.28,panel_mx_center,PANEL_MX,53.463,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
907.8,panel_mx_center,PANEL_MX,53.6498,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
968.32,panel_mx_center,PANEL_MX,53.8319,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1028.84,panel_mx_center,PANEL_MX,54.0091,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1089.36,panel_mx_center,PANEL_MX,53.3588,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1149.88,panel_mx_center,PANEL_MX,51.9246,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
1210.4,panel_mx_center,PANEL_MX,50.5381,6837,5.0,300.0,495.0,Rect[PANEL_MX]::7817,5.0,300.0,500.0
