case_index,time_s,time_min,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,0.0,0.0,380.45454493840225,-363.2163973179559,-211.43720391592066,211.43720391592066,525.9960190390436,-69.58963786019012,-84.69451131531969,-55.68960114032961,-790.3929217718542,-754.9491128884256,-53.25155143509619,-720.803283911664,-670.2546015731059,2.4380497052334182,422.6279119210984,-403.4789165124711,0.17070480851089087,584.3026510335765,84.69257339232985,-69.59199598664709,0.006007938924135203,109.61695987948528,754.9279173899993,-790.4128651257206,0.5973345073018166,1093.0089925572672,670.2553720258726,-720.8023504684686,0.4843992633674077,984.2755163928492,670.2553720258726,-720.8023504684686,0.4843992633674077,984.2755163928492,1177.5550780681283,-1193.8910199734069,1.406006853166275,1676.9054026560882,1092.8826565262098,-1124.280621534698,1.2292004638592147,1567.92838385375
2.0,0.0,0.0,380.45454493840225,-363.2163973179559,-211.43720391592066,211.43720391592066,525.9960190390436,-69.58963786019012,-84.69451131531969,-55.68960114032961,-790.3929217718542,-754.9491128884256,-53.25155143509619,-720.803283911664,-670.2546015731059,2.4380497052334182,422.6279119210984,-403.4789165124711,0.17070480851089087,584.3026510335765,84.69257339232985,-69.59199598664709,0.006007938924135203,109.61695987948528,754.9279173899993,-790.4128651257206,0.5973345073018166,1093.0089925572672,670.2553720258726,-720.8023504684686,0.4843992633674077,984.2755163928492,670.2553720258726,-720.8023504684686,0.4843992633674077,984.2755163928492,1177.5550780681283,-1193.8910199734069,1.406006853166275,1676.9054026560882,1092.8826565262098,-1124.280621534698,1.2292004638592147,1567.92838385375
3.0,60.52,1.0086666666666668,385.1319288514788,-363.91620028553007,-212.21761107881326,212.21761107881326,529.8694211323376,-70.20537304924801,-85.76821710448712,-55.9634790988639,-791.3408917374909,-764.0350959263742,-53.51971049094573,-721.1355186882429,-678.2668788218871,2.443768607918173,427.82341163723174,-404.25594112778475,0.1732278838151302,588.6049077964193,85.7662524156479,-70.20777281276395,0.00614249062724781,110.83763538055703,764.0137653194688,-791.3611772430969,0.6049849562428378,1099.9861573879978,678.2676491724121,-721.1345721285743,0.4900411575414765,989.9909469449366,678.2676491724121,-721.1345721285743,0.4900411575414765,989.9909469449366,1191.8364061063173,-1195.6163450757272,1.4249872470895042,1688.1861459959512,1106.0904173950446,-1125.3898586152434,1.2449699475780562,1577.9538476543544
4.0,121.04,2.0173333333333336,389.67206091911066,-364.6759701041446,-212.9930436467476,212.9930436467476,533.6973657723505,-70.81195508362725,-86.79801976541057,-56.24699042527936,-792.4223900772631,-772.9096687398851,-53.7989180884324,-721.6104349936359,-686.1116489744745,2.448072336846956,432.8664387755994,-405.09958069276684,0.1757395275969742,592.8566640392307,86.79602805844625,-70.81439596187614,0.006274114561222177,112.01887859717205,772.8881947916586,-792.4430187160269,0.6126612374091067,1106.942681244191,686.1124188743811,-721.6094759249022,0.49573536642366633,995.7261104732897,686.1124188743811,-721.6094759249022,0.49573536642366633,995.7261104732897,1205.7538431044736,-1197.541814329615,1.4439754061346122,1699.3965773853593,1118.9781982152606,-1126.7083926274015,1.2607927998287138,1587.9496245467278
5.0,181.56,3.0260000000000002,394.0729638998164,-365.49097308125056,-213.7609249075467,213.7609249075467,537.4729316725312,-71.40510570025072,-87.78521441854537,-56.53862899634987,-793.6328765936196,-781.5537974238396,-54.08709694165736,-722.2277708933689,-693.7685830052942,2.4515320546925135,437.754798657525,-406.00457780453246,0.17823450637610705,597.0502331847186,87.78319561102872,-71.40758713766601,0.006402466445898369,113.15888357750572,781.5321727862192,-793.6538480851547,0.6203396761828017,1113.8576963330293,693.7693523201636,-722.2267997710445,0.5014638579936559,1001.4626625722317,693.7693523201636,-722.2267997710445,0.5014638579936559,1001.4626625722317,1219.2861614153185,-1199.6576289014072,1.4629196549709178,1710.5078690261112,1131.5234755394608,-1128.2307041028973,1.2766257636576128,1597.8892005947785
6.0,242.08,4.034666666666667,398.3374408562668,-366.34591583606385,-214.5262570820705,214.5262570820705,541.1857784880201,-71.98283128673211,-88.72948819771409,-56.83513882104307,-794.9434220790863,-789.9624761193991,-54.38027073978446,-722.9605907923542,-701.232987921685,2.45486808125861,442.4916031191335,-406.95394147732105,0.18070518092994092,601.1741256199135,88.72744237977807,-71.98535256776402,0.00652722498273306,114.25607211681192,789.9406957507847,-794.9647344667588,0.6279878130843741,1120.7030078700773,701.23375675226,-722.9596078459638,0.5071998167016645,1007.17395527569,701.23375675226,-722.9596078459638,0.5071998167016645,1007.17395527569,1232.4314693744689,-1201.9178669859953,1.481748040710329,1721.4801438543163,1143.7246684884358,-1129.9128662895785,1.2924054365592852,1607.7341828535318
7.0,302.6,5.043333333333334,402.46976641356014,-367.2326513424196,-215.29074524551103,215.29074524551103,544.8318392760915,-72.54379306687042,-89.63246364146471,-57.13472273782827,-796.3392417877913,-798.1375092640519,-54.6764895261731,-723.7954487209208,-708.5050456225872,2.4582332116551697,447.0816001901725,-407.9386207498167,0.18314795457996524,605.2238226704795,89.63039100930611,-72.54635342962601,0.00664829014063173,115.31079909712408,798.1155692555635,-796.3608923522472,0.6355897683718581,1127.4658011470679,708.5058141130664,-723.7944541329127,0.5129295818084856,1012.8469284475221,708.5058141130664,-723.7944541329127,0.5129295818084856,1012.8469284475221,1245.1963206090593,-1204.2986921448519,1.5004257339912286,1732.2959379852336,1155.586707056982,-1131.7323822358808,1.3081002667725272,1617.4667917852598
8.0,363.12,6.0520000000000005,406.47625246492686,-368.14716713706724,-216.05438143978978,216.05438143978978,548.411597697367,-73.08718340937048,-90.4974658624269,-57.43647125200368,-797.8123612701893,-806.0861728154123,-54.97478559846058,-724.7251778608188,-715.5887069529854,2.4616856535430998,451.5318017934898,-408.954158316819,0.18556225300780937,609.1998618150641,90.49536667362422,-73.08978213189805,0.00676576383806804,116.32509463345397,806.0640698213109,-797.8343470382764,0.6431396717410109,1134.1423764108667,715.5894752623594,-724.7241717907893,0.5186468455820048,1018.4760293124745,715.5894752623594,-724.7241717907893,0.5186468455820048,1018.4760293124745,1257.595003571021,-1206.7876723806246,1.5189419932948311,1742.952001409288,1167.1205540360183,-1133.6776278053449,1.3236985518805255,1627.0818514874095
9.0,423.64000000000004,7.060666666666667,410.37676237465354,-369.0722176088456,-216.82401597900025,216.82401597900025,551.9269778764342,-73.60972813330591,-91.33180719800293,-57.73976590717211,-799.3230246938765,-813.8432749547064,-55.27385656023398,-725.7132965605706,-722.5114677567035,2.4659093469381266,455.8642699146779,-409.98139381110127,0.18794850553671694,613.1043759884084,91.3296818335564,-73.61236466219108,0.006879945502191731,117.30256184320119,813.8210072062354,-799.3453430583786,0.6506290162189288,1140.7267899191675,722.5122362466318,-725.7122788955432,0.5243412590782981,1024.051875280677,722.5122362466318,-725.7122788955432,0.5243412590782981,1024.051875280677,1269.6843899816183,-1209.3258919031812,1.5372849631045682,1753.4444852890035,1178.3757674423168,-1135.6929607453303,1.3391848719956911,1636.5720119755697
10.0,484.16,8.069333333333335,414.1764784435508,-370.0045765526738,-217.60065203579873,217.60065203579873,555.3787374088286,-74.11225669784471,-92.13735029334202,-58.04323882330209,-800.8626173250377,-821.416440885514,-55.57209442486055,-726.750360627193,-729.279090592172,2.471144398441538,460.08476097682086,-411.01674291908955,0.19030639319961296,616.9382061786378,92.13519916920565,-74.11493045861903,0.00699095892287005,118.24515991293313,821.3940074801819,-800.8852651563325,0.658052878188542,1147.2163368209513,729.2798597028814,-726.749331155301,0.5300069925162632,1029.5696693779066,729.2798597028814,-726.749331155301,0.5300069925162632,1029.5696693779066,1281.4778623393915,-1211.9011511546678,1.5554461657574237,1763.7715021611914,1189.363866341616,-1137.7653524619698,1.3545491194255632,1645.9332926403756
11.0,544.6800000000001,9.078000000000001,417.87578629737254,-370.9388145125558,-218.3845398349149,218.3845398349149,558.7627196633895,-74.59474727511406,-92.91382593801245,-58.3451874263119,-802.418333478272,-828.804390039295,-55.867993069114156,-727.8235862031579,-735.8905641012825,2.4771943571977455,464.19370341412304,-412.0541742183983,0.19263223693943843,620.6967349520417,92.91164954318917,-74.59745759357487,0.007098677645700491,119.15265544779774,828.7817910320098,-802.4413069019434,0.6653958753988221,1153.59928405349,735.8913341920854,-727.8225447822222,0.5356309996651376,1035.0177353225777,735.8913341920854,-727.8225447822222,0.5356309996651376,1035.0177353225777,1292.974569498089,-1214.4946123140696,1.57339143824764,1773.9166836998493,1200.084267754144,-1139.8759877720677,1.36976069675665,1655.1493942271034
12.0,605.2,10.086666666666668,421.4706277707591,-371.8552970894961,-219.17810579452637,219.17810579452637,562.062142513615,-75.05370012950152,-93.65782170789316,-58.64291597390547,-803.9491949602962,-835.9978091903031,-56.15940244751982,-728.8954948307946,-742.3399874824099,2.48351352638565,468.1865881898515,-413.07187588727476,0.19491354696921093,624.3613184766378,93.65562074544097,-75.05644609017985,0.0072024226582811934,120.02018745570241,835.9750466657981,-803.9724888548037,0.6726132468770629,1159.8387997835177,742.3407586796322,-728.8944415368759,0.5411786008213681,1040.363834867594,742.3407586796322,-728.8944415368759,0.5411786008213681,1040.363834867594,1304.1606913076507,-1217.0434842225598,1.5910162413090845,1783.8245292742886,1210.5265616739264,-1141.9655766999683,1.3847309262571272,1664.1694429611996
13.0,665.72,11.095333333333334,424.9665162205929,-372.75425768257264,-219.9812369099164,219.9812369099164,565.2807059586885,-75.4913708078675,-94.37092376174405,-58.93582419957966,-805.4564241319895,-843.0049638263881,-56.44582415698096,-729.965053324122,-748.6340400646441,2.4900000425987012,472.06953999592565,-414.070107265566,0.1971518716059606,627.9360670664507,94.36869890433705,-75.49415149447533,0.00730240912183433,120.85039612168516,842.9820400562148,-805.4800332646458,0.6797086328225177,1165.94030886892,748.634812456465,-729.9639882620335,0.5466509026552657,1045.6105903160799,748.634812456465,-729.9639882620335,0.5466509026552657,1045.6105903160799,1315.050618130468,-1219.5492484650422,1.6083305423020278,1793.504529594775,1220.7035520811985,-1144.0333454262902,1.3994657078741923,1673.0001367336838
14.0,726.24,12.104000000000001,428.3641519577941,-373.6227563422289,-220.79663824570156,220.79663824570156,568.4098967640207,-75.90988388983533,-95.04962508799508,-59.2207106819842,-806.9229661487043,-849.8269016854465,-56.72541010426357,-731.013082258869,-754.7772765974514,2.495300577720634,475.8433355097268,-415.0344929370772,0.199340275064408,631.4115221284444,95.04737707940316,-75.91269811142801,0.007398370804878596,121.64185802687766,849.8038201987123,-806.9468844076505,0.6866651393044876,1171.8915509037256,754.7780497575933,-731.0120060453202,0.5520343809850559,1050.7466190182479,754.7780497575933,-731.0120060453202,0.5520343809850559,1050.7466190182479,1325.6461756792478,-1221.9804739539454,1.6252883515699423,1802.9348468033238,1230.620569918194,-1146.0457396684258,1.4139249118194641,1681.6205946996276
15.0,786.76,13.112666666666666,431.66079012735287,-374.44215001869446,-221.62808409120774,221.62808409120774,571.4350019415971,-76.31022890564054,-95.68867244524881,-59.49395199422725,-808.320997748524,-856.4594318158925,-56.99628673028201,-732.0107688428834,-760.7707593706436,2.4976652639452435,479.5049237824768,-415.94432181966107,0.2014673456951499,634.7713374008443,95.6864021513604,-76.31307511874522,0.007489786568726231,122.39106581262834,856.4361977357867,-808.3452179675838,0.6934527164714765,1177.6692881293932,760.7715322013519,-732.0096827822144,0.5573059052021989,1055.7516279385557,760.7715322013519,-732.0096827822144,0.5573059052021989,1055.7516279385557,1335.9401237154889,-1224.288625376063,1.6418106740800908,1812.075785495233,1240.2756259059806,-1147.9532363125272,1.4280411501088608,1689.99416004224
16.0,847.2800000000001,14.121333333333334,434.86022696015425,-375.21734600431955,-222.47452636747767,222.47452636747767,574.3617968966618,-76.69279148103669,-96.29190026316792,-59.75710882921703,-809.6547098830342,-862.9103540442884,-57.25937080569565,-732.9619184019975,-766.6184537811205,2.4977380235213786,483.0585224827121,-416.80504569883107,0.20353601182243608,638.0219292964667,96.28960849291883,-76.69566830447197,0.007576957172794607,123.10123573867635,862.8869720478098,-809.6792253493478,0.7000774322474257,1183.281189951128,766.6192254207582,-732.960823572635,0.562468461029475,1060.630286988354,766.6192254207582,-732.960823572635,0.562468461029475,1060.630286988354,1345.9444792803608,-1226.483345907927,1.6579153439000294,1820.9414979880012,1249.6769033423188,-1149.7650922330752,1.441827104597948,1698.1319530781402
17.0,907.8000000000001,15.13,437.96421778097283,-375.956870243499,-223.33384367811956,223.33384367811956,577.1968679227101,-77.05557800363749,-96.86506382422522,-60.01131623634137,-810.9162445180118,-869.1740804351866,-57.51302524004132,-733.8606665143743,-772.3090166109614,2.49829099630005,486.50608276003993,-417.6261365725563,0.20554990043386567,641.1706157576455,96.86275141541229,-77.05848426063048,0.007660201362114094,123.775613948426,869.1505561380092,-810.9410475060756,0.7065242854098486,1188.7169855626958,772.3097872120712,-733.85956296385,0.5675062938470532,1065.3695441381115,772.3097872120712,-733.85956296385,0.5675062938470532,1065.3695441381115,1355.6556065431712,-1228.566248504469,1.673589975714762,1829.5292155405114,1258.8150111931188,-1151.4849139793184,1.4552674286738565,1706.0283524980146
