time_s,probe_name,panel,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
0.0,prop_attach,PANEL_PY,106.039,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
0.0,prop_attach,PANEL_PY,106.039,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
59.16,prop_attach,PANEL_PY,106.042,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
118.32,prop_attach,PANEL_PY,106.045,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
177.48,prop_attach,PANEL_PY,106.048,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
236.64,prop_attach,PANEL_PY,106.05,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
295.8,prop_attach,PANEL_PY,106.053,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
354.96,prop_attach,PANEL_PY,106.055,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
414.12,prop_attach,PANEL_PY,106.057,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
473.28,prop_attach,PANEL_PY,106.059,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
532.44,prop_attach,PANEL_PY,106.061,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
591.6,prop_attach,PANEL_PY,106.062,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
650.76,prop_attach,PANEL_PY,106.064,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
709.92,prop_attach,PANEL_PY,106.065,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
769.08,prop_attach,PANEL_PY,106.066,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
828.24,prop_attach,PANEL_PY,106.067,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
887.4,prop_attach,PANEL_PY,106.068,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
946.56,prop_attach,PANEL_PY,106.069,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1005.72,prop_attach,PANEL_PY,106.069,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1064.88,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1124.04,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1183.2,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1242.36,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1301.52,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1360.68,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
1419.84,prop_attach,PANEL_PY,106.07,10760,575.0,600.0,155.0,Rect[PANEL_PY]::794A,576.11,600.0,157.4
