case_id,model,uses_nonthermal_error,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,no_correction,False,1.0,85.26250000000002,87.30000000000001,87.5,590.9702218329743,607.6458200863834,590.9702218329743,607.6458200863834,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,thermal_truth_correction,False,1.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,static_bias_correction,False,1.0,0.15625,0.1,0.4,12.679880620911753,33.52484865632353,12.679880620911753,33.52484865632353,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,fourier_ff_correction,False,1.0,0.184375,0.1,0.4,12.89409988426153,35.63897097275259,12.89409988426153,35.63897097275259,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,fourier_plus_drift_correction,False,1.0,0.184375,0.1,0.4,13.754057059256885,33.46228778997631,13.754057059256885,33.46228778997631,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,thermal_plus_nonthermal_no_correction,True,0.9375,102.50666666666666,97.60000000000001,174.01000000000002,691.7765568689017,890.6874580810843,590.9702218329743,607.6458200863834,297.96319748837504,586.6900981163781,691.7765568689017,890.6874580810843
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,fourier_ff_correction_with_nonthermal,True,1.0,25.771875,13.8,76.49,297.1358441253632,588.098660499593,12.89409988426153,35.63897097275259,297.96319748837504,586.6900981163781,691.7765568689017,890.6874580810843
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,thermal_truth_correction_with_nonthermal,True,0.96875,24.73225806451613,12.9,71.4,297.96319748837504,586.6900981163781,0.0,0.0,297.96319748837504,586.6900981163781,691.7765568689017,890.6874580810843
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,no_correction,False,0.9205298013245033,16.756115107913672,18.400000000000002,46.7,245.32657001178927,417.8642634406336,245.32657001178927,417.8642634406336,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,thermal_truth_correction,False,1.0,0.09999999999999999,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,static_bias_correction,False,1.0,13.43940397350993,3.3000000000000003,75.9,187.00222111013477,558.2036536350893,187.00222111013477,558.2036536350893,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,fourier_ff_correction,False,1.0,16.315231788079473,1.5,87.30000000000001,183.40204633000874,619.1431836476542,183.40204633000874,619.1431836476542,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,fourier_plus_drift_correction,False,1.0,18.637417218543046,9.200000000000001,75.9,225.18815444296897,582.6694385418978,225.18815444296897,582.6694385418978,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,thermal_plus_nonthermal_no_correction,True,0.9701986754966887,31.065870307167238,22.5,97.82,369.8460594099984,699.1447512836706,245.32657001178927,417.8642634406336,314.04991930290413,522.1063457843501,369.8460594099984,699.1447512836706
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,fourier_ff_correction_with_nonthermal,True,0.9867549668874173,41.12147651006712,22.450000000000003,139.3,397.99842209968926,844.9164762408046,183.40204633000874,619.1431836476542,314.04991930290413,522.1063457843501,369.8460594099984,699.1447512836706
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,thermal_truth_correction_with_nonthermal,True,0.9701986754966887,23.663481228668946,19.700000000000003,59.39999999999999,314.04991930290413,522.1063457843501,0.0,0.0,314.04991930290413,522.1063457843501,369.8460594099984,699.1447512836706
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,no_correction,False,0.9602649006622517,121.28758620689656,123.30000000000001,144.9,919.8225738225574,1018.5451125665691,919.8225738225574,1018.5451125665691,0.0,0.0,919.8225738225574,1018.5451125665691
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,thermal_truth_correction,False,1.0,0.09999999999999999,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,919.8225738225574,1018.5451125665691
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,static_bias_correction,False,0.9933774834437086,6.322,4.5,21.200000000000003,130.03806589105218,294.78883206500944,130.03806589105218,294.78883206500944,0.0,0.0,919.8225738225574,1018.5451125665691
