case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,static_bias_correction_success,static_bias_correction_acquisition_time_s,static_bias_correction_residual_x_urad,static_bias_correction_residual_y_urad,static_bias_correction_residual_norm_urad,static_bias_correction_pointing_error_x_urad,static_bias_correction_pointing_error_y_urad,static_bias_correction_pointing_error_norm_urad,static_bias_correction_thermal_residual_norm_urad,static_bias_correction_scan_index,fourier_ff_correction_success,fourier_ff_correction_acquisition_time_s,fourier_ff_correction_residual_x_urad,fourier_ff_correction_residual_y_urad,fourier_ff_correction_residual_norm_urad,fourier_ff_correction_pointing_error_x_urad,fourier_ff_correction_pointing_error_y_urad,fourier_ff_correction_pointing_error_norm_urad,fourier_ff_correction_thermal_residual_norm_urad,fourier_ff_correction_scan_index,fourier_plus_drift_correction_success,fourier_plus_drift_correction_acquisition_time_s,fourier_plus_drift_correction_residual_x_urad,fourier_plus_drift_correction_residual_y_urad,fourier_plus_drift_correction_residual_norm_urad,fourier_plus_drift_correction_pointing_error_x_urad,fourier_plus_drift_correction_pointing_error_y_urad,fourier_plus_drift_correction_pointing_error_norm_urad,fourier_plus_drift_correction_thermal_residual_norm_urad,fourier_plus_drift_correction_scan_index,fourier_ff_correction_with_nonthermal_success,fourier_ff_correction_with_nonthermal_acquisition_time_s,fourier_ff_correction_with_nonthermal_residual_x_urad,fourier_ff_correction_with_nonthermal_residual_y_urad,fourier_ff_correction_with_nonthermal_residual_norm_urad,fourier_ff_correction_with_nonthermal_pointing_error_x_urad,fourier_ff_correction_with_nonthermal_pointing_error_y_urad,fourier_ff_correction_with_nonthermal_pointing_error_norm_urad,fourier_ff_correction_with_nonthermal_thermal_residual_norm_urad,fourier_ff_correction_with_nonthermal_scan_index
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,0.0,-661.0963053405187,-593.5096897226089,888.4267424664297,-133.1388636224308,-99.13376690165342,165.99235147073367,-794.2351689629495,-692.6434566242623,1053.8332228687855,1.0,0.9,7.602765453153211,0.7368718523819098,7.638391366151167,-32.39723454684679,0.7368718523819098,32.40561350152525,32.40561350152525,8.0,1.0,0.8,16.385710176547036,-12.547831812394406,20.638303737999742,56.385710176547036,-12.547831812394406,57.76501012988483,57.76501012988483,7.0,1.0,0.1,-0.7090004701732369,-0.8832628961190494,1.1326230663228087,-0.7090004701732369,-0.8832628961190494,1.1326230663228087,1.1326230663228087,0.0,1.0,2.9000000000000004,3.246846554116246,8.318401285952177,8.929603154682036,-76.75315344588375,-111.68159871404782,135.51319513321567,57.76501012988483,28.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,0.0,-661.0963053405187,-593.5096897226089,888.4267424664297,-126.2978725861461,-74.58390254137623,146.67621190257097,-787.3941779266648,-668.0935922639851,1032.6367412875663,1.0,0.9,7.602765453153211,0.7368718523819098,7.638391366151167,-32.39723454684679,0.7368718523819098,32.40561350152525,32.40561350152525,8.0,1.0,0.8,16.385710176547036,-12.547831812394406,20.638303737999742,56.385710176547036,-12.547831812394406,57.76501012988483,57.76501012988483,7.0,1.0,0.1,-0.7090004701732369,-0.8832628961190494,1.1326230663228087,-0.7090004701732369,-0.8832628961190494,1.1326230663228087,1.1326230663228087,0.0,1.0,1.1,10.087837590400909,-7.131734353770639,12.354193706715868,-69.91216240959909,-87.13173435377064,111.71235197721967,57.76501012988483,10.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,60.5,-668.3396643261038,-593.781819563703,894.0104899585414,-16.694308439617185,-177.7995788894162,178.58160652074673,-685.033972765721,-771.5813984531193,1031.7991075214486,1.0,0.9,0.35940646756807837,0.46474201128773984,0.5875016136024971,-39.64059353243192,0.46474201128773984,39.6433177312462,39.6433177312462,8.0,1.0,0.8,1.6053520475979894,-9.799782871747311,9.930402787909413,41.60535204759799,-9.799782871747311,42.743900890512535,42.743900890512535,7.0,1.0,0.1,-5.293567182350671,-0.2182354874100838,5.298063820116282,-5.293567182350671,-0.2182354874100838,5.298063820116282,5.298063820116282,0.0,1.0,9.5,-15.088956392019213,12.40063823883645,19.53080729849,24.911043607980787,-187.59936176116355,189.24608483885376,42.743900890512535,94.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,121.0,-675.4459946011701,-594.2198815975023,899.6246769117183,-105.94080088369365,-78.70687699089359,131.97812613284856,-781.3867954848638,-672.9267585883958,1031.210815780357,1.0,0.9,-6.746923807498206,0.026679977488470286,6.746976558828767,-46.746923807498206,0.026679977488470286,46.746931421059514,46.746931421059514,8.0,1.0,0.8,-11.275767238873641,-7.2483529435143055,13.40453457673964,28.72423276112636,-7.2483529435143055,29.624654734006896,29.624654734006896,7.0,1.0,0.1,-8.393585383189361,0.3348950117148206,8.400263701441851,-8.393585383189361,0.3348950117148206,8.400263701441851,8.400263701441851,0.0,1.0,1.1,2.7834318774326903,-5.955229934407839,6.573603014175382,-77.21656812256731,-85.95522993440784,115.54522900450715,29.624654734006896,10.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,181.5,-682.3926316871733,-594.8191463149276,905.2455581795282,-157.30803559285002,-125.77912317053062,201.41054065671162,-839.7006672800234,-720.5982694854582,1106.5076035057118,1.0,0.9,-13.693560893501399,-0.5725847399368149,13.705526740276689,-53.6935608935014,-0.5725847399368149,53.696613810449456,53.696613810449456,8.0,1.0,0.1,18.0959711815874,-4.960144111908221,18.763453909548197,18.0959711815874,-4.960144111908221,18.763453909548197,18.763453909548197,0.0,1.0,0.1,-9.92234933431996,0.7640574275012568,9.951723472082593,-9.92234933431996,0.7640574275012568,9.951723472082593,9.951723472082593,0.0,1.0,2.7,-19.212064411262645,-10.739267282438846,22.009890520085875,-139.21206441126265,-130.73926728243885,190.9784147153665,18.763453909548197,26.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,242.0,-689.186327996417,-595.537190944104,910.8470456090744,-90.416296026754,-66.24160759570252,112.08504433714894,-779.6026240231711,-661.7787985398065,1022.6101063360384,1.0,0.9,-20.487257202745127,-1.290629369113276,20.52786963763775,-60.48725720274513,-1.290629369113276,60.501024851480494,60.501024851480494,8.0,1.0,0.1,9.912500469440033,-2.954433058764039,10.343420143036186,9.912500469440033,-2.954433058764039,10.343420143036186,10.343420143036186,0.0,1.0,0.1,-9.923520843659162,1.0981076233847489,9.984092662183858,-9.923520843659162,1.0981076233847489,9.984092662183858,9.984092662183858,0.0,1.0,1.1,-0.5037955573139925,10.803959345533485,10.815699122271738,-80.50379555731399,-69.19604065446651,106.15532554416849,10.343420143036186,10.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,302.5,-695.8278985337853,-596.3559091785728,916.4152087291797,-183.29054201959548,-81.99867260071977,200.796427015316,-879.1184405533808,-678.3545817792926,1110.4117124481204,1.0,2.3000000000000003,12.871172259886634,-2.109347603582023,13.04286865135168,-67.12882774011337,-2.109347603582023,67.1619599257984,67.1619599257984,22.0,1.0,0.1,4.219437483566594,-1.2626945016185118,4.404321750524638,4.219437483566594,-1.2626945016185118,4.404321750524638,4.404321750524638,0.0,1.0,0.1,-8.545288345704876,1.3451657090092795,8.650515805195319,-8.545288345704876,1.3451657090092795,8.650515805195319,8.650515805195319,0.0,1.0,7.1000000000000005,-19.071104536028884,-3.2613671023383404,19.347959675385834,-179.07110453602888,-83.26136710233834,197.4814313587577,4.404321750524638,70.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,363.0,-702.3143965200182,-597.272176016714,921.943362578753,-124.23482851008947,-131.95788011620397,181.23789542944323,-826.5492250301077,-729.230056132918,1102.2522833568958,1.0,2.3000000000000003,6.384674273653673,-3.025614441723178,7.065296053996528,-73.61532572634633,-3.025614441723178,73.67747637199602,73.67747637199602,22.0,1.0,0.1,0.9023641434283718,0.0825064968771585,0.9061282300933791,0.9023641434283718,0.0825064968771585,0.9061282300933791,0.9061282300933791,0.0,1.0,0.1,-6.045860809350756,1.5020434012493524,6.229652261987029,-6.045860809350756,1.5020434012493524,6.229652261987029,6.229652261987029,0.0,1.0,2.7,-3.3324643666610427,-11.875373619326865,12.33409167120425,-123.33246436666104,-131.87537361932687,180.56026953344627,0.9061282300933791,26.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,423.5,-708.6633713232291,-598.2485642810107,927.4185239251453,-81.79395774225242,-79.0215767123568,113.73065158192081,-790.4573290654814,-677.2701409933675,1040.921530642205,1.0,2.3000000000000003,0.03569947044286437,-4.00200270601988,4.002161929655063,-79.96430052955714,-4.00200270601988,80.0643827481379,80.0643827481379,22.0,1.0,0.1,-0.3395494991167425,1.0977684922376056,1.1490820357572633,-0.3395494991167425,1.0977684922376056,1.1490820357572633,1.1490820357572633,0.0,1.0,0.1,-2.814292825386815,1.6033637348159573,3.238984311963656,-2.814292825386815,1.6033637348159573,3.238984311963656,3.238984311963656,0.0,1.0,1.1,-2.1335072413691023,2.076191779880787,2.9769826092570555,-82.1335072413691,-77.92380822011921,113.21675184924689,1.1490820357572633,10.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,484.0,-714.8770130433513,-599.280912094386,932.8380113280457,-193.9642448003556,-126.58298550093022,231.61472422819105,-908.8412578437069,-725.8638975953163,1163.129756214325,1.0,2.3000000000000003,-6.177942249679404,-5.034350519395275,7.9694200286162165,-86.1779422496794,-5.034350519395275,86.32486556920442,86.32486556920442,22.0,1.0,0.1,0.05005079064051188,1.7814131802900874,1.7821161579860567,0.05005079064051188,1.7814131802900874,1.7821161579860567,1.7821161579860567,0.0,1.0,0.1,0.6757182858451642,1.653588001147682,1.786322613461833,0.6757182858451642,1.653588001147682,1.786322613461833,1.786322613461833,0.0,1.0,10.700000000000001,6.085805990284939,-4.801572320640162,7.751911461164001,-193.91419400971506,-124.80157232064016,230.60387484199262,1.7821161579860567,106.0
