case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_minus_opposite_c_urad,coef_t_prop_attach_minus_ref_c_urad,coef_t_pcdu_attach_minus_ref_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,-386.0286569302272,172.02745458673664,147.98077741217435,-144.60929132351237,5.971740329595096,3.863898779324108,5.260022104347038,10.091189962204565
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,6.593990729398186,-27.48027452433716,-2.758685043607058,-2.757046859144854,13.749850162263886,1.7115932012269337,10.562586001115369,27.825008950787574
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,-45.93033848962827,-27.46931841915832,-2.6697441295405144,-2.8472030223461573,14.02278169692825,1.7865825640842778,10.734502962727918,28.530902320320173
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-112.43361782283742,-33.653494808447896,6.654685174904734,-7.102213323725153,4.469069994769916,1.4931948561155786,4.036105734296916,6.799418317477888
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,53.569524622087854,30.459125073911007,-0.3015005334975481,3.592400741304922,13.466128870153756,1.4934378345776913,10.290510381728245,27.85315080670676
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,213.61343859325416,22.64127607890532,-8.276810962216405,5.555424353421157,3.766504291006993,0.0504933365987401,3.295220964184929,6.463111985004188
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,-533.4708364660465,262.3172901669358,239.6290302649744,-235.6821881758956,9.403032405502756,7.758289110353759,8.629618425665363,13.338565987821353
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-554.6790385355763,6.934282190093434,-16.069528547491966,21.766420504991444,4.926953457474872,1.4945149620736495,4.421167060653313,8.447942460797039
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,-391.2042313509227,170.1683055712025,146.01623909190204,-142.74799122614854,5.950055653251298,3.8407086650565248,5.250688158407956,10.034383292567682
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,-158.44509387389186,168.8224344610948,144.12366664431187,-141.48224939934607,5.974773658584277,3.8229384379569606,5.285104154753973,10.05275290924408
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,-167.19352449157282,167.78877455862713,142.94926152450725,-140.4847671918787,5.964883259724533,3.7877035702514794,5.286040021514861,10.015672219498857
