case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_minus_opposite_c_urad,coef_t_prop_attach_minus_ref_c_urad,coef_t_pcdu_attach_minus_ref_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,-386,172,148,-145,5.97,3.86,5.26,10.1
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,6.59,-27.5,-2.76,-2.76,13.7,1.71,10.6,27.8
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,-45.9,-27.5,-2.67,-2.85,14,1.79,10.7,28.5
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-112,-33.7,6.65,-7.1,4.47,1.49,4.04,6.8
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,53.6,30.5,-0.302,3.59,13.5,1.49,10.3,27.9
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,214,22.6,-8.28,5.56,3.77,0.0505,3.3,6.46
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,-533,262,240,-236,9.4,7.76,8.63,13.3
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-555,6.93,-16.1,21.8,4.93,1.49,4.42,8.45
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,-391,170,146,-143,5.95,3.84,5.25,10
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,-158,169,144,-141,5.97,3.82,5.29,10.1
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,-167,168,143,-140,5.96,3.79,5.29,10
