sun_face,dominant_axis,i_prop,i_pcdu,b_emp_urad,b_nd_emp_urad,a_emp_urad_per_c,train_samples,resid_std_urad,power_mode,case_id,b_pred_insample_urad,b_resid_insample_urad,b_nd_pred_insample_urad,b_nd_resid_insample_urad,b_pred_loo_urad,b_resid_loo_urad,b_nd_pred_loo_urad,b_nd_resid_loo_urad,a_shared_urad_per_c,a_shared_loo_urad_per_c
MY,y,1,1,-34.1,19.2,28.6,101,6.55,,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,-30.3,-3.81,16.6,2.53,-29.6,-4.44,16.3,2.85,28.6,28.6
PX,x,1,1,-10.5,-703,-28.1,101,5.31,,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,-12,1.53,-704,0.917,-12.6,2.05,-705,1.83,-28.1,-28.1
PX,x,0,0,-13.5,-594,-28.1,101,5.31,,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,-12,-1.47,-596,1.14,-11.6,-1.96,-597,2.28,-28.1,-28.1
PY,y,1,1,-58.8,27.1,-28.7,101,3.07,,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,-57.1,-1.76,25.1,1.98,-55.8,-2.99,24.5,2.64,-28.7,-28.7
MX,x,1,1,15.3,-704,30.6,101,2.89,,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,15.7,-0.427,-702,-1.97,15.8,-0.57,-700,-3.95,30.6,30.6
MY,y,1,1,-26.7,16.6,28.3,101,0.0612,,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,-30.3,3.51,16.6,-0.0849,-30.8,4.09,16.7,-0.0955,28.6,28.6
MY,y,1,1,-33.4,17.6,28.7,101,13,,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,-30.3,-3.13,16.6,0.996,-29.7,-3.65,16.5,1.12,28.6,28.6
MY,y,1,1,-32.7,15.7,28.7,101,2.21,,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,-30.3,-2.42,16.6,-0.993,-29.9,-2.82,16.8,-1.12,28.6,28.6
MY,y,1,0,-22.8,20.5,28.6,101,6.55,,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,-20.1,-2.71,16.6,3.89,-18.2,-4.61,16.2,4.38,28.6,28.6
MY,y,0,1,-8.43,14.5,28.6,101,6.6,,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,-7.39,-1.04,16.6,-2.1,-6.67,-1.76,16.9,-2.36,28.6,28.6
MY,y,0,0,3.02,15.9,28.6,101,6.55,,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,2.8,0.221,16.6,-0.744,2.58,0.442,16.7,-0.837,28.6,28.6
PY,y,0,0,-22.4,22.7,-28.7,101,3.04,,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,-24,1.55,25.1,-2.42,-25.1,2.63,25.9,-3.23,-28.7,-28.7
MX,x,0,0,15.2,-596,30.6,101,2.84,,17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,15.7,-0.526,-594,-2.19,15.9,-0.702,-592,-4.39,30.6,30.6
PY,y,1,0,-45.9,29.1,-28.7,101,3.07,,18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,-46.9,0.945,25.1,4.01,-47.8,1.89,23.8,5.34,-28.7,-28.7
PY,y,0,1,-34.9,21.6,-28.7,101,2.98,,19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,-34.2,-0.734,25.1,-3.57,-33.5,-1.47,26.3,-4.76,-28.7,-28.7
PX,x,1,0,-10.4,-728,-28.1,101,5.32,,20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,-12,1.64,-726,-1.41,-12.6,2.19,-725,-2.83,-28.1,-28.1
PX,x,0,1,-13.8,-574,-28.1,101,5.32,,21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,-12,-1.71,-574,-0.642,-11.5,-2.27,-573,-1.28,-28.1,-28.1
MY,y,1,1,-19,16,28.6,101,6.97,,22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,-30.3,11.3,16.6,-0.682,-32.1,13.2,16.7,-0.767,28.6,28.6
MX,x,1,0,16.9,-722,30.6,101,3.5,,23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,15.7,1.24,-724,2.47,15.3,1.66,-727,4.94,30.6,30.6
MX,x,0,1,15.4,-570,30.6,101,3.46,,24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,15.7,-0.291,-572,1.7,15.8,-0.388,-573,3.39,30.6,30.6
MY,y,1,1,-32.2,13.8,28.8,103,0.0981,,25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,-30.3,-1.91,16.6,-2.81,-29.9,-2.23,17,-3.16,28.6,28.6
