case_id,sun_face,i_prop,i_pcdu,model,rmse_dom_train_urad,rmse_dom_test_urad,rmse_dom_all_urad
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,oracle_b_emp_a_emp,6.477914044994518,6.711742365074164,6.63420050608446
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,b_emp_a_shared,6.480042429994466,6.749236918932291,6.660122248267731
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_insample_a_shared,7.458541720317026,6.842289923670526,7.055075358812924
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_loo_a_shared,7.785705233320842,7.055483834941943,7.308646004698711
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,oracle_b_emp_a_emp,5.158065866884417,5.624565856349185,5.4724675438848305
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,b_emp_a_shared,5.1645107998145265,5.724976965388303,5.543234361393922
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,b_pred_insample_a_shared,5.316051435948555,5.309766130095618,5.311875982063842
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,b_pred_loo_a_shared,5.4174707203901855,5.274391978469452,5.322830548088643
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,oracle_b_emp_a_emp,5.152541692446529,5.647612295539002,5.4864745209191
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,b_emp_a_shared,5.1627412081477555,5.533830493688059,5.412149357669786
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,b_pred_insample_a_shared,5.280897135058113,6.15501081434086,5.876216762268895
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,b_pred_loo_a_shared,5.363738878919741,6.329329641614552,6.022610198169832
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,oracle_b_emp_a_emp,3.291548772841129,2.967731588832784,3.080185190097657
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,b_emp_a_shared,3.311167793384563,3.036349035976981,3.1312539501537198
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,b_pred_insample_a_shared,3.914241422286614,3.8613477914072503,3.879176553348857
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,b_pred_loo_a_shared,4.794530421100453,4.860892812148275,4.838726495674812
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,oracle_b_emp_a_emp,2.9553595106265735,2.9519485895418853,2.9530935570714054
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,b_emp_a_shared,2.9932186510208503,3.1475693046988273,3.0966350040020156
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,b_pred_insample_a_shared,2.9579825736652485,2.9802352833385304,2.9727869964070237
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,b_pred_loo_a_shared,2.9589471263641194,2.955169115516856,2.956437358356347
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,oracle_b_emp_a_emp,0.05823420347105297,0.0628534866915195,0.06134228421646355
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,b_emp_a_shared,2.2610252046312844,2.2503172241367784,2.25391593851325
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_insample_a_shared,1.2466922772064213,1.2575766457923794,1.2539349480643782
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_loo_a_shared,1.7387790638800933,1.749776280420966,1.7460939057496605
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,oracle_b_emp_a_emp,12.920855708135164,13.276064433557693,13.157943813361682
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,b_emp_a_shared,12.9702856738738,13.500369709473846,13.324851986006985
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,b_pred_insample_a_shared,13.212456493110123,13.052278847638743,13.10624439544823
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,b_pred_loo_a_shared,13.322525861418582,13.051792003004298,13.143257954356608
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,oracle_b_emp_a_emp,2.1759562565213932,2.26957555243108,2.238598269814325
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,b_emp_a_shared,2.33480590503776,2.623258242832953,2.530137247437678
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,b_pred_insample_a_shared,2.6982634880460776,2.4351432337963277,2.5264893800005925
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,b_pred_loo_a_shared,2.939043359712244,2.616854581208518,2.7292078017320334
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,oracle_b_emp_a_emp,6.477675398715911,6.7157294580166536,6.636802798274536
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,b_emp_a_shared,6.477764622140994,6.708993574538667,6.632303869823957
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,b_pred_insample_a_shared,7.031492277388852,6.611112924232257,6.755087431343862
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,b_pred_loo_a_shared,7.988048213427138,7.1983610694823525,7.472647966630998
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,oracle_b_emp_a_emp,6.522456881750842,6.775204479407478,6.691459814398527
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,b_emp_a_shared,6.522741144566765,6.7604944760082,6.681659945537764
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,b_pred_insample_a_shared,6.612622771476152,6.593812604007135,6.600130297479312
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,b_pred_loo_a_shared,6.7983331516982535,6.57407116718844,6.6501649968392815
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,oracle_b_emp_a_emp,6.471937567960808,6.727803418843298,6.643046806470854
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,b_emp_a_shared,6.477658249300309,6.6668178796663975,6.603949745356004
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,b_pred_insample_a_shared,6.47366452335215,6.716916052973638,6.636287493594864
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,b_pred_loo_a_shared,6.476509630371928,6.745191275861429,6.656244774973698
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,oracle_b_emp_a_emp,3.260581068947786,2.944164917929746,3.053994547975835
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,b_emp_a_shared,3.2636757352192354,2.927735527086464,3.0445946727285853
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,b_pred_insample_a_shared,3.6725520066407076,3.1903529498619716,3.359877514837624
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,b_pred_loo_a_shared,4.370856071437133,3.851191520467307,4.033035462667389
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,oracle_b_emp_a_emp,2.910635324048685,2.910170336906144,2.9103263707740523
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,b_emp_a_shared,2.9113162958703946,2.9322846231969124,2.9252654945653336
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,b_pred_insample_a_shared,2.947629501243966,2.798604726241143,2.849478689913041
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,b_pred_loo_a_shared,2.967929758168188,2.783540961570634,2.846743998294622
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,oracle_b_emp_a_emp,3.2904208457593285,2.969774201093331,3.0810887991480285
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,b_emp_a_shared,3.29372532457286,2.9930242120885437,3.0971801904230523
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,b_pred_insample_a_shared,3.385938421697122,2.9748805677509353,3.118855611011882
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,b_pred_loo_a_shared,3.6575543794878715,3.1859804629481325,3.3516210239718887
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,oracle_b_emp_a_emp,3.2011204208944566,2.88011342747556,2.9916689626909445
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,b_emp_a_shared,3.262256816888106,2.8651542617676933,3.004258363226396
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,b_pred_insample_a_shared,3.20361804348228,2.893485817198002,3.0011249608857207
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,b_pred_loo_a_shared,3.279242382166381,3.049273211657235,3.128324100265404
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,oracle_b_emp_a_emp,5.162744084396779,5.6381655414644944,5.483235915971424
