case_id,sun_face,i_prop,i_pcdu,model,rmse_dom_train_urad,rmse_dom_test_urad,rmse_dom_all_urad
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,oracle_b_emp_a_emp,6.48,6.71,6.63
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,b_emp_a_shared,6.48,6.75,6.66
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_insample_a_shared,7.46,6.84,7.06
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_loo_a_shared,7.79,7.06,7.31
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,oracle_b_emp_a_emp,5.16,5.62,5.47
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,b_emp_a_shared,5.16,5.72,5.54
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,b_pred_insample_a_shared,5.32,5.31,5.31
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,b_pred_loo_a_shared,5.42,5.27,5.32
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,oracle_b_emp_a_emp,5.15,5.65,5.49
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,b_emp_a_shared,5.16,5.53,5.41
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,b_pred_insample_a_shared,5.28,6.16,5.88
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,b_pred_loo_a_shared,5.36,6.33,6.02
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,oracle_b_emp_a_emp,3.29,2.97,3.08
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,b_emp_a_shared,3.31,3.04,3.13
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,b_pred_insample_a_shared,3.91,3.86,3.88
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,b_pred_loo_a_shared,4.79,4.86,4.84
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,oracle_b_emp_a_emp,2.96,2.95,2.95
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,b_emp_a_shared,2.99,3.15,3.1
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,b_pred_insample_a_shared,2.96,2.98,2.97
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,b_pred_loo_a_shared,2.96,2.96,2.96
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,oracle_b_emp_a_emp,0.0582,0.0629,0.0613
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,b_emp_a_shared,2.26,2.25,2.25
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_insample_a_shared,1.25,1.26,1.25
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_loo_a_shared,1.74,1.75,1.75
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,oracle_b_emp_a_emp,12.9,13.3,13.2
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,b_emp_a_shared,13,13.5,13.3
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,b_pred_insample_a_shared,13.2,13.1,13.1
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,b_pred_loo_a_shared,13.3,13.1,13.1
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,oracle_b_emp_a_emp,2.18,2.27,2.24
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,b_emp_a_shared,2.33,2.62,2.53
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,b_pred_insample_a_shared,2.7,2.44,2.53
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,b_pred_loo_a_shared,2.94,2.62,2.73
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,oracle_b_emp_a_emp,6.48,6.72,6.64
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,b_emp_a_shared,6.48,6.71,6.63
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,b_pred_insample_a_shared,7.03,6.61,6.76
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,b_pred_loo_a_shared,7.99,7.2,7.47
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,oracle_b_emp_a_emp,6.52,6.78,6.69
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,b_emp_a_shared,6.52,6.76,6.68
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,b_pred_insample_a_shared,6.61,6.59,6.6
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,b_pred_loo_a_shared,6.8,6.57,6.65
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,oracle_b_emp_a_emp,6.47,6.73,6.64
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,b_emp_a_shared,6.48,6.67,6.6
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,b_pred_insample_a_shared,6.47,6.72,6.64
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,b_pred_loo_a_shared,6.48,6.75,6.66
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,oracle_b_emp_a_emp,3.26,2.94,3.05
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,b_emp_a_shared,3.26,2.93,3.04
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,b_pred_insample_a_shared,3.67,3.19,3.36
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,b_pred_loo_a_shared,4.37,3.85,4.03
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,oracle_b_emp_a_emp,2.91,2.91,2.91
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,b_emp_a_shared,2.91,2.93,2.93
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,b_pred_insample_a_shared,2.95,2.8,2.85
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,b_pred_loo_a_shared,2.97,2.78,2.85
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,oracle_b_emp_a_emp,3.29,2.97,3.08
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,b_emp_a_shared,3.29,2.99,3.1
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,b_pred_insample_a_shared,3.39,2.97,3.12
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,b_pred_loo_a_shared,3.66,3.19,3.35
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,oracle_b_emp_a_emp,3.2,2.88,2.99
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,b_emp_a_shared,3.26,2.87,3
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,b_pred_insample_a_shared,3.2,2.89,3
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,b_pred_loo_a_shared,3.28,3.05,3.13
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,oracle_b_emp_a_emp,5.16,5.64,5.48
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,b_emp_a_shared,5.16,5.7,5.52
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,b_pred_insample_a_shared,5.38,5.29,5.32
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,b_pred_loo_a_shared,5.5,5.27,5.35
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,0,1,oracle_b_emp_a_emp,5.16,5.65,5.49
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,0,1,b_emp_a_shared,5.16,5.59,5.45
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,0,1,b_pred_insample_a_shared,5.39,6.37,6.06
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,0,1,b_pred_loo_a_shared,5.52,6.61,6.27
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,oracle_b_emp_a_emp,6.46,7.33,7.05
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,b_emp_a_shared,6.46,7.33,7.05
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,b_pred_insample_a_shared,13,14.8,14.2
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,b_pred_loo_a_shared,14.6,16.4,15.8
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,oracle_b_emp_a_emp,3.17,3.75,3.57
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,b_emp_a_shared,3.17,3.73,3.56
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,b_pred_insample_a_shared,3.39,4.23,3.96
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,b_pred_loo_a_shared,3.53,4.42,4.14
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,oracle_b_emp_a_emp,3.13,3.71,3.53
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,b_emp_a_shared,3.16,3.62,3.47
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,b_pred_insample_a_shared,3.21,3.58,3.46
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,b_pred_loo_a_shared,3.25,3.57,3.47
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,oracle_b_emp_a_emp,0.0941,0.1,0.0982
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,b_emp_a_shared,1.01,1,1.01
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_insample_a_shared,0.91,0.919,0.916
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,b_pred_loo_a_shared,1.21,1.22,1.21
