case_id,sun_face,i_prop,i_pcdu,raw_rms_dom_urad,raw_peak_dom_urad,rmse_bcase_test_urad,b_emp_urad,b_pred_insample_urad,a_emp_urad_per_c
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,1,1,160,257,6.84,-34.1,-30.3,28.6
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,1,1,602,761,5.31,-10.5,-12,-28.1
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,0,0,666,830,6.16,-13.5,-12,-28.1
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,1,1,1.25e+03,1.42e+03,3.86,-58.8,-57.1,-28.7
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,1,1,667,838,2.98,15.3,15.7,30.6
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,1,1,161,163,1.26,-26.7,-30.3,28.3
11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,1,1,265,531,13.1,-33.4,-30.3,28.7
12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,1,1,180,220,2.44,-32.7,-30.3,28.7
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,1,0,156,266,6.61,-22.8,-20.1,28.6
14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,0,1,258,363,6.59,-8.43,-7.39,28.6
15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,0,0,253,358,6.72,3.02,2.8,28.6
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,0,0,1.22e+03,1.39e+03,3.19,-22.4,-24,-28.7
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,0,0,726,903,2.8,15.2,15.7,30.6
18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,1,0,1.28e+03,1.46e+03,2.97,-45.9,-46.9,-28.7
19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,0,1,1.18e+03,1.36e+03,2.89,-34.9,-34.2,-28.7
20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,1,0,615,775,5.29,-10.4,-12,-28.1
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,0,1,654,817,6.37,-13.8,-12,-28.1
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,204,294,14.8,-19,-30.3,28.6
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,682,848,4.23,16.9,15.7,30.6
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,709,878,3.58,15.4,15.7,30.6
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,151,152,0.919,-32.2,-30.3,28.8
