case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,0.0,20.187667920483022,100.91131868914776,102.91081661152262,31.487806151286303,28.90862081993118,42.745646490976625,51.67547407176933,129.81993950907895,139.7267737932964,1.0,0.1,20.187667920483022,100.91131868914776,102.91081661152262,20.187667920483022,100.91131868914776,102.91081661152262,102.91081661152262,0.0,1.0,0.1,3.3821865669347346,-0.5268746878790722,3.42297866050629,3.3821865669347346,-0.5268746878790722,3.42297866050629,3.42297866050629,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,51.67547407176933,129.81993950907895,139.7267737932964,51.67547407176933,129.81993950907895,139.7267737932964,102.91081661152262,0.0,1.0,0.1,34.86999271822104,28.381746132052115,44.96042599523545,34.86999271822104,28.381746132052115,44.96042599523545,3.42297866050629,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,60.5,19.77715107927749,107.97087825139344,109.76723671109605,38.51262217442108,117.3908008011021,123.54684204573479,58.28977325369857,225.36167905249556,232.77797157662408,1.0,0.1,19.77715107927749,107.97087825139344,109.76723671109605,19.77715107927749,107.97087825139344,109.76723671109605,109.76723671109605,0.0,1.0,0.1,2.9716697257292033,-0.8957175739887617,3.1037285530741556,2.9716697257292033,-0.8957175739887617,3.1037285530741556,3.1037285530741556,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,58.28977325369857,105.36167905249556,120.41088438645683,58.28977325369857,225.36167905249556,232.77797157662408,109.76723671109605,3.0,1.0,0.1,41.48429190015028,116.49508322711335,123.66103222336832,41.48429190015028,116.49508322711335,123.66103222336832,3.1037285530741556,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,121.0,19.35360951120465,114.75865986989253,116.37917432361287,-47.26335960968688,23.791621832671634,52.91376409804389,-27.90975009848223,138.55028170256415,141.33341682142836,1.0,0.1,19.35360951120465,114.75865986989253,116.37917432361287,19.35360951120465,114.75865986989253,116.37917432361287,116.37917432361287,0.0,1.0,0.1,2.548128157656361,-1.1905510273425506,2.8125377964656053,2.548128157656361,-1.1905510273425506,2.8125377964656053,2.8125377964656053,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-27.90975009848223,138.55028170256415,141.33341682142836,-27.90975009848223,138.55028170256415,141.33341682142836,116.37917432361287,0.0,1.0,0.1,-44.71523145203052,22.601070805329073,50.10249819476228,-44.71523145203052,22.601070805329073,50.10249819476228,2.8125377964656053,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,181.5,18.91857660964879,121.2718332015207,122.73862500856286,54.114414336682934,70.41242653113491,88.80472762755745,73.03299094633172,191.68425973265562,205.1259934669986,1.0,0.1,18.91857660964879,121.2718332015207,122.73862500856286,18.91857660964879,121.2718332015207,122.73862500856286,122.73862500856286,0.0,1.0,0.1,2.113095256100504,-1.425448477517108,2.5489360375282657,2.113095256100504,-1.425448477517108,2.5489360375282657,2.5489360375282657,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,73.03299094633172,71.68425973265562,102.33499333065792,73.03299094633172,191.68425973265562,205.1259934669986,122.73862500856286,3.0,1.0,0.1,56.227509592783434,68.9869780536178,88.9985167066109,56.227509592783434,68.9869780536178,88.9985167066109,2.5489360375282657,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,242.0,18.48722413564938,127.5286327024175,128.86166852555436,-11.842460940887236,106.55380034918875,107.20987011460845,6.644763194762145,234.08243305160624,234.17672459335958,1.0,0.1,18.48722413564938,127.5286327024175,128.86166852555436,18.48722413564938,127.5286327024175,128.86166852555436,128.86166852555436,0.0,1.0,0.1,1.681742782101093,-1.599567714518571,2.320964381131104,1.681742782101093,-1.599567714518571,2.320964381131104,2.320964381131104,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,6.644763194762145,114.08243305160624,114.27578225017183,6.644763194762145,234.08243305160624,234.17672459335958,128.86166852555436,3.0,1.0,0.1,-10.160718158786143,104.95423263467018,105.44491994133597,-10.160718158786143,104.95423263467018,105.44491994133597,2.320964381131104,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,302.5,18.065277123955564,133.54103460100814,134.75741968393785,-30.16514433277552,26.87790467415654,40.40244661267712,-12.099867208819955,160.4189392751647,160.8746184599673,1.0,0.1,18.065277123955564,133.54103460100814,134.75741968393785,18.065277123955564,133.54103460100814,134.75741968393785,134.75741968393785,0.0,1.0,0.1,1.2597957704072762,-1.7151032736664433,2.1280659347110027,1.2597957704072762,-1.7151032736664433,2.1280659347110027,2.1280659347110027,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,107.90013279118004,40.41893927516469,115.22208689519444,-12.099867208819955,160.4189392751647,160.8746184599673,134.75741968393785,1.0,1.0,0.1,-28.905348562368243,25.16280140049011,38.323436038963294,-28.905348562368243,25.16280140049011,38.323436038963294,2.1280659347110027,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,363.0,17.652633004930543,139.31701880788194,140.43093384836013,14.057177434347505,40.63586237315861,42.998576118646255,31.709810439278048,179.95288118104054,182.7253445022136,1.0,0.1,17.652633004930543,139.31701880788194,140.43093384836013,17.652633004930543,139.31701880788194,140.43093384836013,140.43093384836013,0.0,1.0,0.1,0.847151651382255,-1.7783602010092636,1.969830176683612,0.847151651382255,-1.7783602010092636,1.969830176683612,1.969830176683612,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,31.709810439278048,59.95288118104054,67.82226802461646,31.709810439278048,179.95288118104054,182.7253445022136,140.43093384836013,3.0,1.0,0.1,14.90432908572976,38.85750217214934,41.61783872997636,14.90432908572976,38.85750217214934,41.61783872997636,1.969830176683612,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,423.5,17.254036207059617,144.8884976806834,145.91222884186206,-59.51775988553111,-115.92495210557013,130.31100591458292,-42.26372367847149,28.963545575113272,51.23582058923088,1.0,0.1,17.254036207059617,144.8884976806834,145.91222884186206,17.254036207059617,144.8884976806834,145.91222884186206,145.91222884186206,0.0,1.0,0.1,0.44855485351132884,-1.7888258335901526,1.844206962227416,0.44855485351132884,-1.7888258335901526,1.844206962227416,1.844206962227416,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-42.26372367847149,28.963545575113272,51.23582058923088,-42.26372367847149,28.963545575113272,51.23582058923088,145.91222884186206,0.0,1.0,0.1,-59.06920503201978,-117.71377793916028,131.7030922181584,-59.06920503201978,-117.71377793916028,131.7030922181584,1.844206962227416,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,484.0,16.86891402133893,150.2645006829795,151.20840064548156,-41.25167634406494,28.24771506880763,49.996341944226565,-24.38276232272601,178.51221575178712,180.16972628912757,1.0,0.2,136.86891402133892,30.264500682979502,140.1750321097546,16.86891402133893,150.2645006829795,151.20840064548156,151.20840064548156,1.0,1.0,0.1,0.06343266779064294,-1.7574046621931245,1.758549075243898,0.06343266779064294,-1.7574046621931245,1.758549075243898,1.758549075243898,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,95.61723767727399,58.512215751787124,112.09966785506543,-24.38276232272601,178.51221575178712,180.16972628912757,151.20840064548156,1.0,1.0,0.1,-41.1882436762743,26.490310406614498,48.97150153482062,-41.1882436762743,26.490310406614498,48.97150153482062,1.758549075243898,0.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,544.5,16.496485983891127,155.4531605157262,156.3260028406818,-236.9321785719629,80.05828630435278,250.09235583849068,-220.4356925880718,235.511446820079,322.57950361123346,1.0,0.2,136.49648598389112,35.45316051572621,141.02559085678186,16.496485983891127,155.4531605157262,156.3260028406818,156.3260028406818,1.0,1.0,0.1,-0.30899536965716123,-1.6904422810608537,1.7184508267820142,-0.30899536965716123,-1.6904422810608537,1.7184508267820142,1.7184508267820142,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.564307411928212,-4.488553179921013,20.072599088244857,-220.4356925880718,235.511446820079,322.57950361123346,156.3260028406818,9.0,1.0,0.2,-117.24117394162008,-41.63215597670808,124.41354137905634,-237.24117394162008,78.36784402329192,249.8497420251961,1.7184508267820142,1.0
