case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,0.0,-596.236386617962,-702.5714037463084,921.4686137298992,-151.774770514108,711.3549361253894,727.3660880977109,-748.01115713207,8.783532379080953,748.0627257356917,1.0,8.3,3.7636133820379882,-102.57140374630842,102.64042893605652,-596.236386617962,-702.5714037463084,921.4686137298992,921.4686137298992,82.0,1.0,0.1,-0.2787624503831694,2.4283314976252086,2.4442795188157835,-0.2787624503831694,2.4283314976252086,2.4442795188157835,2.4442795188157835,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-148.01115713207002,8.783532379080953,148.27155181162937,-748.01115713207,8.783532379080953,748.0627257356917,921.4686137298992,112.0,1.0,8.8,87.94646703550882,113.78326762301458,143.80964173169474,-152.05353296449118,713.7832676230146,729.7991710228038,2.4442795188157835,87.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,60.5,-603.4876322306473,-702.8758452524495,926.4079965623669,-112.64397165955404,588.0929990175365,598.7838005863874,-716.1316038902013,-114.782846234913,725.2720702468418,1.0,8.3,-3.4876322306472503,-102.8758452524495,102.93494603380421,-603.4876322306473,-702.8758452524495,926.4079965623669,926.4079965623669,82.0,1.0,0.1,-0.08326314910618748,2.123889991484134,2.125521453179326,-0.08326314910618748,2.123889991484134,2.125521453179326,2.125521453179326,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.100000000000001,-116.13160389020129,5.217153765087005,116.24873382329451,-716.1316038902013,-114.782846234913,725.2720702468418,926.4079965623669,110.0,1.0,5.6000000000000005,7.272765191339772,110.21688900902063,110.45657851099288,-112.72723480866023,590.2168890090206,600.8855178310536,2.125521453179326,55.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,121.0,-610.5889346948884,-703.3347296712318,931.3960431167525,-108.72484663461537,696.1111197882343,704.550767062637,-719.3137813295037,-7.2236098829974935,719.3500514702775,1.0,8.3,-10.588934694888394,-103.3347296712318,103.87584846440083,-610.5889346948884,-703.3347296712318,931.3960431167525,931.3960431167525,82.0,1.0,0.1,0.08519551363531264,1.6650055727018298,1.667183802905886,0.08519551363531264,1.6650055727018298,1.667183802905886,1.667183802905886,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-119.31378132950374,-7.2236098829974935,119.53225068945358,-719.3137813295037,-7.2236098829974935,719.3500514702775,931.3960431167525,112.0,1.0,9.0,11.360348879019966,97.77612536093613,98.43387738604301,-108.63965112098003,697.7761253609361,706.1827631140604,1.667183802905886,89.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,181.5,-617.5205688478972,-703.9458123935602,936.4140962932265,-164.86269078884675,695.5398522355543,714.81143867596,-782.3832596367439,-8.405960158005882,782.4284153365052,1.0,8.3,-17.520568847897152,-103.94581239356023,105.41205930495393,-617.5205688478972,-703.9458123935602,936.4140962932265,936.4140962932265,82.0,1.0,0.1,0.24053007248755875,1.0539228503733966,1.0810217806825426,0.24053007248755875,1.0539228503733966,1.0810217806825426,1.0810217806825426,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.700000000000001,-62.3832596367439,111.59403984199412,127.8471775643169,-782.3832596367439,-8.405960158005882,782.4284153365052,936.4140962932265,156.0,1.0,8.8,75.37783928364081,96.59377508592775,122.5241855325763,-164.6221607163592,696.5937750859277,715.7816310072416,1.0810217806825426,87.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,242.0,-624.2864636209672,-704.672520955354,941.43345513634,-214.83197973478065,781.1309067173742,810.1347251820973,-839.1184433557478,76.45838576202016,842.5945921575258,1.0,8.3,-24.286463620967197,-104.672520955354,107.45310120402104,-624.2864636209672,-704.672520955354,941.43345513634,941.43345513634,82.0,1.0,0.1,0.37345525056912265,0.32721428857962565,0.49652594577556236,0.37345525056912265,0.32721428857962565,0.49652594577556236,0.49652594577556236,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.9,-119.11844335574779,76.45838576202016,141.5453577509004,-839.1184433557478,76.45838576202016,842.5945921575258,941.43345513634,158.0,1.0,13.0,25.541475515788534,61.458121005953785,66.55424561292902,-214.45852448421147,781.4581210059538,810.351314930815,0.49652594577556236,129.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,302.5,-630.8872520343433,-705.4991647735162,946.4395365133338,-175.83530061556155,807.3108524907111,826.2377778169209,-806.7225526499049,101.8116877171949,813.1216985850286,1.0,8.3,-30.887252034343305,-105.49916477351621,109.92768580363442,-630.8872520343433,-705.4991647735162,946.4395365133338,946.4395365133338,82.0,1.0,0.1,0.48602041252138406,-0.499429529582585,0.6968828426690805,0.48602041252138406,-0.499429529582585,0.6968828426690805,0.6968828426690805,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.9,-86.72255264990486,101.8116877171949,133.7401244725723,-806.7225526499049,101.8116877171949,813.1216985850286,946.4395365133338,158.0,1.0,13.0,64.65071979695983,86.81142296112853,108.24018997951254,-175.34928020304017,806.8114229611285,825.6464390332495,0.6968828426690805,129.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,363.0,-637.3211587916796,-706.4229353031496,951.4260995820365,-178.1157801795733,813.7964333385438,833.0605416555949,-815.436938971253,107.37349803539416,822.4758169813649,1.0,8.3,-37.321158791679636,-106.42293530314964,112.77725857677221,-637.3211587916796,-706.4229353031496,951.4260995820365,951.4260995820365,82.0,1.0,0.1,0.5771985651919067,-1.4232000592160148,1.5357918453397466,0.5771985651919067,-1.4232000592160148,1.5357918453397466,1.5357918453397466,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.9,-95.43693897125297,107.37349803539416,143.65680422646,-815.436938971253,107.37349803539416,822.4758169813649,951.4260995820365,158.0,1.0,13.0,62.46141838561857,92.37323327932779,111.50893692086031,-177.53858161438143,812.3732332793278,831.546882689338,1.5357918453397466,129.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,423.5,-643.6154399696092,-707.3991725041574,956.3756708672802,-233.32000590443403,769.9999135061519,804.5732359174809,-876.9354458740431,62.60074100199449,879.167008596379,1.0,8.3,-43.615439969609156,-107.39917250415738,115.91759511963804,-643.6154399696092,-707.3991725041574,956.3756708672802,956.3756708672802,82.0,1.0,0.1,0.6309468248952044,-2.399437260223749,2.481006461417501,0.6309468248952044,-2.399437260223749,2.481006461417501,2.481006461417501,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.3,-36.935445874043126,62.60074100199449,72.68479852013874,-876.9354458740431,62.60074100199449,879.167008596379,956.3756708672802,212.0,1.0,12.8,127.31094092046123,47.60047624592812,135.91865588245176,-232.68905907953877,767.6004762459281,802.0939404759873,2.481006461417501,127.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,484.0,-649.7716889648302,-708.4220738437939,961.2830397387389,-13.50303968319879,782.5159002166748,782.632395299734,-663.274728648029,74.09382637288093,667.4003751644819,1.0,8.3,-49.77168896483022,-108.4220738437939,119.30032321415102,-649.7716889648302,-708.4220738437939,961.2830397387389,961.2830397387389,82.0,1.0,0.1,0.6540024099920174,-3.422338599860268,3.484267590809998,0.6540024099920174,-3.422338599860268,3.484267590809998,3.484267590809998,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-63.274728648029054,74.09382637288093,97.4350367786472,-663.274728648029,74.09382637288093,667.4003751644819,961.2830397387389,112.0,1.0,13.200000000000001,107.15096272679318,59.093561616814554,122.36575435079408,-12.849037273206818,779.0935616168146,779.1995094400544,3.484267590809998,131.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,544.5,-655.7914046291412,-709.4824789024334,966.1406493130304,-211.97228856952765,838.9375174673352,865.3024958565984,-867.7636931986689,129.45503856490177,877.3667615334158,1.0,8.3,-55.7914046291412,-109.4824789024334,122.87837082706757,-655.7914046291412,-709.4824789024334,966.1406493130304,966.1406493130304,82.0,1.0,0.1,0.6450927493480094,-4.482743658499771,4.528922097263464,0.6450927493480094,-4.482743658499771,4.528922097263464,4.528922097263464,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.1,-147.76369319866888,9.45503856490177,148.06588662475272,-867.7636931986689,129.45503856490177,877.3667615334158,966.1406493130304,160.0,1.0,13.0,28.672804179820332,114.4547738088354,117.99163083526727,-211.32719582017967,834.4547738088354,860.7984393721769,4.528922097263464,129.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,605.0,-661.6779995157743,-710.5462160825293,970.9241475174039,-47.65749931690062,778.59498923966,780.0521742231391,-709.335498832675,68.04877315713065,712.5920890891158,1.0,8.3,-61.67799951577433,-110.54621608252933,126.58847307094403,-661.6779995157743,-710.5462160825293,970.9241475174039,970.9241475174039,82.0,1.0,0.1,0.6091044518506123,-5.5464808385956985,5.5798259763341616,0.6091044518506123,-5.5464808385956985,5.5798259763341616,5.5798259763341616,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-109.33549883267494,68.04877315713065,128.7823234500003,-709.335498832675,68.04877315713065,712.5920890891158,970.9241475174039,112.0,1.0,13.200000000000001,72.95160513495,53.04850840106428,90.20022691403526,-47.04839486505,773.0485084010643,774.4788878984939,5.5798259763341616,131.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,665.5,-667.435548101174,-711.6135764798286,975.6352254298363,-53.37138371305589,769.6932169696266,771.5414135666982,-720.80693181423,58.07964048979807,723.1430547207573,1.0,8.3,-67.43554810117405,-111.61357647982857,130.40377142676627,-667.435548101174,-711.6135764798286,975.6352254298363,975.6352254298363,82.0,1.0,0.1,0.5503895102318666,-6.613841235894938,6.636702833982968,0.5503895102318666,-6.613841235894938,6.636702833982968,6.636702833982968,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-120.80693181422998,58.07964048979807,134.04312520152686,-720.80693181423,58.07964048979807,723.1430547207573,975.6352254298363,112.0,1.0,13.200000000000001,67.17900579717593,43.079375733731695,79.80508400788153,-52.82099420282407,763.0793757337317,764.9053478037373,6.636702833982968,131.0
