case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,0.0,660.245175064845,-703.6262566782626,964.8904602510443,230.28599349101782,520.9837788368721,569.6101619610487,890.5311685558628,-182.64247784139047,909.0676745333723,1.0,10.3,60.24517506484494,-103.62625667826262,119.86610109510939,660.245175064845,-703.6262566782626,964.8904602510443,964.8904602510443,102.0,1.0,0.1,1.5046097149009938,1.1239705902061132,1.8780735560202984,1.5046097149009938,1.1239705902061132,1.8780735560202984,1.8780735560202984,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.8,50.53116855586279,57.35752215860953,76.44137847917447,890.5311685558628,-182.64247784139047,909.0676745333723,964.8904602510443,207.0,1.0,6.0,111.79060320591884,42.10774942707826,119.45794878096979,231.79060320591884,522.1077494270783,571.2472194648938,1.8780735560202984,59.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,60.5,668.2998475652249,-703.985932075643,970.6806265791621,137.90696946867848,663.9430257461529,678.1140565310468,806.2068170339035,-40.04290632949005,807.2006356410097,1.0,10.3,68.29984756522492,-103.98593207564295,124.41038239260095,668.2998475652249,-703.985932075643,970.6806265791621,970.6806265791621,102.0,1.0,0.1,1.4570864962234964,0.7642951928257844,1.6453717510804262,1.4570864962234964,0.7642951928257844,1.6453717510804262,1.6453717510804262,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.600000000000001,86.20681703390346,79.95709367050995,117.578706113614,806.2068170339035,-40.04290632949005,807.2006356410097,970.6806265791621,155.0,1.0,9.4,19.364055964902036,64.70732093897868,67.54260911833246,139.36405596490204,664.7073209389787,679.1598947264648,1.6453717510804262,93.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,121.0,676.1701033338511,-704.4924805998252,976.4812665198477,152.9586455197173,512.4571009543394,534.7977445331576,829.1287488535684,-192.03537964548582,851.0770054531314,1.0,10.3,76.1701033338511,-104.49248059982517,129.30801654883734,676.1701033338511,-704.4924805998252,976.4812665198477,976.4812665198477,102.0,1.0,0.1,1.402555235853356,0.25774666864356277,1.4260415613917141,1.402555235853356,0.25774666864356277,1.4260415613917141,1.4260415613917141,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.4,109.12874885356837,47.96462035451418,119.20439854341733,829.1287488535684,-192.03537964548582,851.0770054531314,976.4812665198477,153.0,1.0,6.0,34.36120075557062,32.714847622982916,47.444213265261524,154.36120075557062,512.7148476229829,535.4473786206822,1.4260415613917141,59.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,181.5,683.8393679384341,-705.1456547196311,982.2762724979232,209.50027559047746,590.8130654093292,626.8575944589443,893.3396435289116,-114.33258931030196,900.6262597097427,1.0,10.3,83.83936793843407,-105.14565471963112,134.47917430864905,683.8393679384341,-705.1456547196311,982.2762724979232,982.2762724979232,102.0,1.0,0.1,1.3460586576538844,-0.39542745116239075,1.4029386226694887,1.3460586576538844,-0.39542745116239075,1.4029386226694887,1.4029386226694887,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.8,53.33964352891155,125.66741068969804,136.51892059800574,893.3396435289116,-114.33258931030196,900.6262597097427,982.2762724979232,207.0,1.0,6.0,90.84633424813137,110.41763795816678,142.98640221567925,210.84633424813137,590.4176379581668,626.9363315983335,1.4029386226694887,59.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,242.0,691.3187378767838,-705.9045555903259,988.0398974447969,168.11071996160314,604.1603725548083,627.113203442228,859.429457838387,-101.74418303551761,865.4310323659238,1.0,10.3,91.31873787678376,-105.90455559032591,139.83878854664457,691.3187378767838,-705.9045555903259,988.0398974447969,988.0398974447969,102.0,1.0,0.1,1.301474039694881,-1.1543283218571787,1.7396288542793612,1.301474039694881,-1.1543283218571787,1.7396288542793612,1.7396288542793612,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.600000000000001,139.42945783838695,18.255816964482392,140.61951701718795,859.429457838387,-101.74418303551761,865.4310323659238,988.0398974447969,155.0,1.0,6.0,49.412194001298076,123.00604423295113,132.55961615009545,169.41219400129808,603.0060442329511,626.3519624442836,1.7396288542793612,59.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,302.5,698.6114365655693,-706.7528703223155,993.7593063760662,56.895438640746846,544.4586303813222,547.4233198675666,755.5068752063162,-162.2942399409933,772.7419095675068,1.0,10.3,98.6114365655693,-106.75287032231552,145.32856134834066,698.6114365655693,-706.7528703223155,993.7593063760662,993.7593063760662,102.0,1.0,0.1,1.272157781505257,-2.002643053846782,2.372543913643147,1.272157781505257,-2.002643053846782,2.372543913643147,2.372543913643147,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.4,35.50687520631618,77.7057600590067,85.43373650534566,755.5068752063162,-162.2942399409933,772.7419095675068,993.7593063760662,153.0,1.0,5.800000000000001,58.16759642225213,62.45598732747544,85.34763984195328,58.16759642225213,542.4559873274754,545.5657315676712,2.372543913643147,57.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,363.0,705.7164016134083,-707.6886417712711,999.4292637291766,168.01447675119076,574.5747082090238,598.6359158215128,873.730878364599,-133.11393356224733,883.8127443730307,1.0,14.5,105.71640161340827,12.311358228728864,106.43085601235913,705.7164016134083,-707.6886417712711,999.4292637291766,999.4292637291766,144.0,1.0,0.1,1.2631572173473842,-2.9384145028024022,3.1984130355562703,1.2631572173473842,-2.9384145028024022,3.1984130355562703,3.1984130355562703,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.8,33.73087836459899,106.88606643775267,112.08212771795087,873.730878364599,-133.11393356224733,883.8127443730307,999.4292637291766,207.0,1.0,6.0,49.27763396853811,91.63629370622141,104.04564158940103,169.2776339685381,571.6362937062214,596.173606967108,3.1984130355562703,59.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,423.5,712.6442041971476,-708.67293702556,1005.0269118029721,107.02660586630228,640.0680230144968,648.9543654595038,819.6708100634498,-68.60491401106322,822.5368509048925,1.0,14.5,112.64420419714759,11.327062974439968,113.21227448839463,712.6442041971476,-708.67293702556,1005.0269118029721,1005.0269118029721,144.0,1.0,0.1,1.2484104803836544,-3.9227097570912974,4.116573886851906,1.2484104803836544,-3.9227097570912974,4.116573886851906,4.116573886851906,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.600000000000001,99.67081006344984,51.395085988936785,112.14154110994953,819.6708100634498,-68.60491401106322,822.5368509048925,1005.0269118029721,155.0,1.0,9.200000000000001,108.2750163466859,36.14531325740552,114.1488626108516,108.2750163466859,636.1453132574055,645.2939940401102,4.116573886851906,91.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,484.0,719.3991517027385,-709.7032313089238,1010.5512436294102,68.64062126005052,648.3371322330319,651.960560094794,788.0397729627891,-61.36609907589195,790.4255068550334,1.0,14.5,119.39915170273855,10.296768691076181,119.84231670328766,719.3991517027385,-709.7032313089238,1010.5512436294102,1010.5512436294102,144.0,1.0,0.1,1.2322630489234143,-4.953004040455085,5.103990717713584,1.2322630489234143,-4.953004040455085,5.103990717713584,5.103990717713584,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.600000000000001,68.03977296278913,58.63390092410805,89.8184003554172,788.0397729627891,-61.36609907589195,790.4255068550334,1010.5512436294102,155.0,1.0,9.200000000000001,69.872884308974,43.38412819257678,82.24598799142241,69.872884308974,643.3841281925768,647.1671780705333,5.103990717713584,91.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,544.5,725.9869705095823,-710.7720956566487,1015.9990419846986,121.8252895147449,660.7972612746546,671.9333461537949,847.8122600243272,-49.97483438199413,849.283882055385,1.0,14.5,125.9869705095823,9.22790434335127,126.32446697592832,725.9869705095823,-710.7720956566487,1015.9990419846986,1015.9990419846986,144.0,1.0,0.1,1.2293689970215382,-6.021868388179996,6.146075741104993,1.2293689970215382,-6.021868388179996,6.146075741104993,6.146075741104993,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.600000000000001,127.8122600243272,70.02516561800587,145.73777009531668,847.8122600243272,-49.97483438199413,849.283882055385,1015.9990419846986,155.0,1.0,9.200000000000001,123.05465851176643,54.775392886474606,134.6951842023875,123.05465851176643,654.7753928864746,666.2381436926923,6.146075741104993,91.0
