case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,0.0,17.264109989458376,160.75078113078428,161.675177834711,8.535625757457051,57.20862095624918,57.84188118299021,25.799735746915427,217.95940208703345,219.48104091868115,1.0,0.2,137.26410998945838,40.750781130784276,143.18541145650002,17.264109989458376,160.75078113078428,161.675177834711,161.675177834711,1.0,1.0,0.1,0.022979877492005585,4.406753485788158,4.406813401912501,0.022979877492005585,4.406753485788158,4.406813401912501,4.406813401912501,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,25.799735746915427,97.95940208703345,101.29990533983613,25.799735746915427,217.95940208703345,219.48104091868115,161.675177834711,3.0,1.0,0.1,8.558605634949057,61.615374442037336,62.206945737972454,8.558605634949057,61.615374442037336,62.206945737972454,4.406813401912501,0.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,60.5,17.144896673255445,160.78534375537114,161.69685911751492,-106.15556791051537,-9.541367907147265,106.58349919168343,-89.01067123725993,151.24397584822387,175.4925634449668,1.0,0.2,137.14489667325546,40.785343755371144,143.0809803878968,17.144896673255445,160.78534375537114,161.69685911751492,161.69685911751492,1.0,1.0,0.1,-0.09623343871092516,4.384096107219932,4.385152169773256,-0.09623343871092516,4.384096107219932,4.385152169773256,4.385152169773256,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,30.989328762740072,31.24397584822387,44.005960095986836,-89.01067123725993,151.24397584822387,175.4925634449668,161.69685911751492,1.0,1.0,0.1,-106.2518013492263,-5.157271799927344,106.37689007662225,-106.2518013492263,-5.157271799927344,106.37689007662225,4.385152169773256,0.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,121.0,17.00807142956387,160.81075322929414,161.70767714591068,17.042825579955753,-5.791303525353509,17.999919451807724,34.05089700951962,155.01944970394064,158.71513278092135,1.0,0.2,137.00807142956387,40.810753229294136,142.95708872242335,17.00807142956387,160.81075322929414,161.70767714591068,161.70767714591068,1.0,1.0,0.1,-0.2330586824025005,4.38088394655739,4.387078811994086,-0.2330586824025005,4.38088394655739,4.387078811994086,4.387078811994086,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,34.05089700951962,35.01944970394064,48.844912168205816,34.05089700951962,155.01944970394064,158.71513278092135,161.70767714591068,3.0,1.0,0.1,16.809766897553253,-1.410419578796109,16.86883358558998,16.809766897553253,-1.410419578796109,16.86883358558998,4.387078811994086,0.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,181.5,16.854782518942052,160.82800089915028,161.70878011715357,-161.45162810914712,22.968080147151916,163.07716248678213,-144.59684559020508,183.7960810463022,233.85732223434118,1.0,0.2,136.85478251894205,40.82800089915028,142.81511529151229,16.854782518942052,160.82800089915028,161.70878011715357,161.70878011715357,1.0,1.0,0.1,-0.3863475930243183,4.369521992543724,4.386568921829333,-0.3863475930243183,4.369521992543724,4.386568921829333,4.386568921829333,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-24.596845590205078,63.79608104630219,68.37356777187182,-144.59684559020508,183.7960810463022,233.85732223434118,161.70878011715357,1.0,1.0,0.2,-41.837975702171434,-92.66239786030437,101.66974076920245,-161.83797570217143,27.337602139695633,164.13066401536588,4.386568921829333,1.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,242.0,16.690824411895576,160.8475168530377,161.71118482447952,-149.50234213322497,25.872790402816005,151.72459123869112,-132.81151772132938,186.7203072558537,229.13614376864118,1.0,0.2,136.69082441189556,40.84751685303769,142.6635942049087,16.690824411895576,160.8475168530377,161.71118482447952,161.71118482447952,1.0,1.0,0.1,-0.550305700070794,4.360427850882303,4.395016200912172,-0.550305700070794,4.360427850882303,4.395016200912172,4.395016200912172,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-12.81151772132938,66.7203072558537,67.93919624663998,-132.81151772132938,186.7203072558537,229.13614376864118,161.71118482447952,1.0,1.0,0.2,-30.052647833295737,-89.76678174630169,94.66380906597968,-150.05264783329574,30.23321825369831,153.06810447561838,4.395016200912172,1.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,302.5,16.5185730683758,160.87263165826357,161.7184803072012,-196.3522172468879,-14.802354225590037,196.90937740084627,-179.8336441785121,146.07027743267355,231.68225121442063,1.0,0.2,136.51857306837582,40.87263165826357,142.5057641335871,16.5185730683758,160.87263165826357,161.7184803072012,161.7184803072012,1.0,1.0,0.1,-0.7225570435905695,4.385496785375665,4.4446226764240215,-0.7225570435905695,4.385496785375665,4.4446226764240215,4.4446226764240215,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-59.83364417851209,26.07027743267355,65.26656372981009,-179.8336441785121,146.07027743267355,231.68225121442063,161.7184803072012,1.0,1.0,0.30000000000000004,-77.07477429047844,109.58314255978564,133.97382567205617,-197.07477429047844,-10.416857440214358,197.34988619346294,4.4446226764240215,2.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,363.0,16.338570750864992,160.90253404787117,161.7299426736044,-125.7470147224672,-36.99765379917542,131.07684043436515,-109.40844397160221,123.90488024869575,165.29557453764713,1.0,0.2,136.338570750865,40.90253404787117,142.34192343061085,16.338570750864992,160.90253404787117,161.7299426736044,161.7299426736044,1.0,1.0,0.1,-0.9025593611013782,4.386846299056543,4.478731277031233,-0.9025593611013782,4.386846299056543,4.478731277031233,4.478731277031233,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,10.59155602839779,3.904880248695747,11.288452013422553,-109.40844397160221,123.90488024869575,165.29557453764713,161.7299426736044,1.0,1.0,0.1,-126.64957408356858,-32.61080750011888,130.7806536967878,-126.64957408356858,-32.61080750011888,130.7806536967878,4.478731277031233,0.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,423.5,16.154576553596694,160.93951412504606,161.7482536240559,-126.59326369829877,80.6951102162725,150.12513189537378,-110.43868714470207,241.63462434131856,265.6764861609238,1.0,0.2,136.15457655359668,40.93951412504606,142.1763430859159,16.154576553596694,160.93951412504606,161.7482536240559,161.7482536240559,1.0,1.0,0.1,-1.0865535583696762,4.366674753645839,4.499827445506522,-1.0865535583696762,4.366674753645839,4.499827445506522,4.499827445506522,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,9.561312855297928,121.63462434131856,122.00983789092817,-110.43868714470207,241.63462434131856,265.6764861609238,161.7482536240559,1.0,1.0,0.2,-7.679817256668443,-34.938215030081665,35.772314191061874,-127.67981725666844,85.06178496991834,153.4198259579409,4.499827445506522,1.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,484.0,15.96737866304424,160.9831225997641,161.7730600048714,-188.99797020760113,51.94799919095562,196.0072125268272,-173.0305915445569,212.93112179071971,274.3706402611504,1.0,0.2,135.96737866304423,40.9831225997641,142.00966304631157,15.96737866304424,160.9831225997641,161.7730600048714,161.7730600048714,1.0,1.0,0.1,-1.2737514489221304,4.353063978883,4.535593539756392,-1.2737514489221304,4.353063978883,4.535593539756392,4.535593539756392,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-53.0305915445569,92.93112179071971,106.99736929872253,-173.0305915445569,212.93112179071971,274.3706402611504,161.7730600048714,1.0,1.0,0.2,-70.27172165652325,-63.69893683016139,94.84550288687794,-190.27172165652325,56.30106316983861,198.42665591142642,4.535593539756392,1.0
10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,544.5,15.777861096363804,161.03359594169115,161.80469684989987,-159.96898588461391,-95.06107848298,186.08246851140785,-144.1911247882501,65.97251745871115,158.56687399182928,1.0,0.2,135.7778610963638,41.033595941691146,141.8428128591979,15.777861096363804,161.03359594169115,161.80469684989987,161.80469684989987,1.0,1.0,0.1,-1.4632690156025667,4.374835486258178,4.613062078906627,-1.4632690156025667,4.374835486258178,4.613062078906627,4.613062078906627,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-24.191124788250107,-54.02748254128885,59.196109570392885,-144.1911247882501,65.97251745871115,158.56687399182928,161.80469684989987,1.0,1.0,0.30000000000000004,-41.43225490021649,29.313757003278184,50.75360180089443,-161.4322549002165,-90.68624299672182,185.16038342752736,4.613062078906627,2.0
