case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,0.0,721.0991031431686,-595.2472056814205,935.0417918068804,-29.205145761844403,703.8692352346482,704.4748688553617,691.8939573813242,108.62202955322766,700.368469853585,1.0,10.3,121.09910314316858,4.752794318579504,121.19233406414163,721.0991031431686,-595.2472056814205,935.0417918068804,935.0417918068804,102.0,1.0,0.1,0.42645811518957544,0.39169553855731465,0.5790439697784184,0.42645811518957544,0.39169553855731465,0.5790439697784184,0.5790439697784184,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.200000000000001,91.89395738132419,108.62202955322766,142.2787570491916,691.8939573813242,108.62202955322766,700.368469853585,935.0417918068804,111.0,1.0,9.0,91.22131235334518,104.26093077320547,138.534001289076,-28.778687646654816,704.2609307732055,704.848686936569,0.5790439697784184,89.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,60.5,729.1587813048867,-595.6026927364676,941.4962007087222,-103.1813400433881,635.7953391032422,644.1134233646711,625.9774412614986,40.192646366774625,627.2664551769508,1.0,10.3,129.1587813048867,4.3973072635324115,129.23361443267564,729.1587813048867,-595.6026927364676,941.4962007087222,941.4962007087222,102.0,1.0,0.1,0.3724733810346379,0.03620848351022232,0.37422917291077745,0.3724733810346379,0.03620848351022232,0.37422917291077745,0.37422917291077745,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.200000000000001,25.977441261498598,40.192646366774625,47.85683103235327,625.9774412614986,40.192646366774625,627.2664551769508,941.4962007087222,111.0,1.0,8.8,137.19113333764653,35.831547586752436,141.793183436051,-102.80886666235347,635.8315475867524,644.0896055448824,0.37422917291077745,87.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,121.0,737.0458298026855,-596.1062825372834,947.9342041038233,94.18592335019265,585.403473671694,592.9318806947507,831.2317531528781,-10.702808865589418,831.3006541361679,1.0,10.3,137.0458298026855,3.8937174627166087,137.10113238768707,737.0458298026855,-596.1062825372834,947.9342041038233,947.9342041038233,102.0,1.0,0.1,0.31419945724348963,-0.4673813173055805,0.5631754564062635,0.31419945724348963,-0.4673813173055805,0.5631754564062635,0.5631754564062635,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.8,111.23175315287813,-10.702808865589418,111.74548325134289,831.2317531528781,-10.702808865589418,831.3006541361679,947.9342041038233,157.0,1.0,5.800000000000001,94.50012280743613,104.93609235438839,141.21563896831412,94.50012280743613,584.9360923543884,592.520468295773,0.5631754564062635,57.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,181.5,744.7428738135569,-596.7577129874851,954.3383656262223,-15.350152732770848,533.2910466003849,533.511918866911,729.392721080786,-63.46666638710019,732.1487275874518,1.0,10.3,144.7428738135569,3.2422870125149075,144.77918339622855,744.7428738135569,-596.7577129874851,954.3383656262223,954.3383656262223,102.0,1.0,0.1,0.24977250340191404,-1.1188117675072817,1.1463533811911695,0.24977250340191404,-1.1188117675072817,1.1463533811911695,1.1463533811911695,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,129.39272108078603,56.53333361289981,141.20373252176273,729.392721080786,-63.46666638710019,732.1487275874518,954.3383656262223,109.0,1.0,5.6000000000000005,104.89961977063103,52.17223483287762,117.15746803119251,-15.100380229368966,532.1722348328776,532.3864282737595,1.1463533811911695,55.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,242.0,752.260165739681,-597.5162597932434,960.6877940704769,1.1295014967589765,660.2473430614056,660.2483091938036,753.38966723644,62.73108326816214,755.9968118362874,1.0,14.700000000000001,32.26016573968104,122.48374020675658,126.66090520988679,752.260165739681,-597.5162597932434,960.6877940704769,960.6877940704769,146.0,1.0,0.1,0.19528355714771806,-1.8773585732656102,1.8874879814997905,0.19528355714771806,-1.8773585732656102,1.8874879814997905,1.8874879814997905,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.8,33.389667236440005,62.73108326816214,71.06376493092162,753.38966723644,62.73108326816214,755.9968118362874,960.6877940704769,157.0,1.0,9.0,121.32478505390668,58.36998448813995,134.63565113862805,1.3247850539066803,658.36998448814,658.3713173660839,1.8874879814997905,89.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,302.5,759.6001358860942,-598.3655591309034,966.9714105350848,61.945931497736574,658.3266923252135,661.2347028529117,821.5460673838307,59.96113319431004,823.7313144028116,1.0,14.700000000000001,39.60013588609422,121.63444086909658,127.91836446630671,759.6001358860942,-598.3655591309034,966.9714105350848,966.9714105350848,146.0,1.0,0.1,0.15941475545560024,-2.72665791092561,2.7313140477561677,0.15941475545560024,-2.72665791092561,2.7313140477561677,2.7313140477561677,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.8,101.54606738383075,59.96113319431004,117.92769519950471,821.5460673838307,59.96113319431004,823.7313144028116,966.9714105350848,157.0,1.0,9.200000000000001,62.105346253192124,55.60003441428785,83.35729038361839,62.105346253192124,655.6000344142878,658.5351009302726,2.7313140477561677,91.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,363.0,766.7610597881525,-599.303792080818,973.184236416671,131.82501610813273,692.0906238836192,704.53336793904,898.5860758962851,92.7868318028012,903.3638978566089,1.0,14.700000000000001,46.761059788152465,120.69620791918203,129.4379052618729,766.7610597881525,-599.303792080818,973.184236416671,973.184236416671,146.0,1.0,0.1,0.13739238026357725,-3.66489086084016,3.667465294726621,0.13739238026357725,-3.66489086084016,3.667465294726621,3.667465294726621,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.200000000000003,58.58607589628514,92.7868318028012,109.73479140603769,898.5860758962851,92.7868318028012,903.3638978566089,973.184236416671,211.0,1.0,9.4,11.96240848839625,88.42573302277901,89.23121358279874,131.96240848839625,688.425733022779,700.9593905084722,3.667465294726621,93.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,423.5,773.7527156507845,-600.2919530634313,979.3077626005385,14.873040899916354,596.7770453408556,596.9623515694873,788.6257565507008,-3.5149077225756855,788.6335894897347,1.0,14.700000000000001,53.75271565078447,119.70804693656873,131.22260072564418,773.7527156507845,-600.2919530634313,979.3077626005385,979.3077626005385,146.0,1.0,0.1,0.11148946406092364,-4.653051843453454,4.654387323640156,0.11148946406092364,-4.653051843453454,4.654387323640156,4.654387323640156,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.600000000000001,68.62575655070077,116.48509227742431,135.19715671949655,788.6257565507008,-3.5149077225756855,788.6335894897347,979.3077626005385,155.0,1.0,5.800000000000001,14.984530363977228,112.12399349740213,113.12084718580581,14.984530363977228,592.1239934974021,592.3135654579763,4.654387323640156,57.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,484.0,780.5789306542423,-601.3275827735807,985.3417319821779,29.993249417974987,682.9589225020264,683.6172063631648,810.5721800722173,81.63133972844571,814.6722867097469,1.0,14.700000000000001,60.5789306542423,118.67241722641927,133.24019457195652,780.5789306542423,-601.3275827735807,985.3417319821779,985.3417319821779,146.0,1.0,0.1,0.08864526285492502,-5.688681553602919,5.68937217985682,0.08864526285492502,-5.688681553602919,5.68937217985682,5.68937217985682,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.8,90.5721800722173,81.63133972844571,121.93028921845087,810.5721800722173,81.63133972844571,814.6722867097469,985.3417319821779,157.0,1.0,9.200000000000001,30.08189468082992,77.27024094842352,82.91930127428698,30.08189468082992,677.2702409484235,677.9379762647349,5.68937217985682,91.0
17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,544.5,787.2447326500416,-602.4031867557826,991.2839494810545,-12.603791055799245,708.6851791722556,708.7972479682679,774.6409415942423,106.28199241647303,781.8979794743235,1.0,14.700000000000001,67.24473265004156,117.5968132442174,135.46536293226734,787.2447326500416,-602.4031867557826,991.2839494810545,991.2839494810545,146.0,1.0,0.1,0.07366686975717585,-6.764285535804788,6.76468666071073,0.07366686975717585,-6.764285535804788,6.76468666071073,6.76468666071073,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.8,54.64094159424235,106.28199241647303,119.50520662431673,774.6409415942423,106.28199241647303,781.8979794743235,991.2839494810545,157.0,1.0,9.0,107.46987581395797,101.92089363645084,148.11361438814555,-12.53012418604203,701.9208936364508,702.0327235503423,6.76468666071073,89.0
