case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,0.0,-649.5837491992121,-573.6314077253109,866.6095078826603,52.06866449866261,665.1421484777527,667.1770555889007,-597.5150847005494,91.51074075244185,604.4820031380301,1.0,8.3,-49.58374919921209,26.36859227468915,56.15915636117731,-649.5837491992121,-573.6314077253109,866.6095078826603,866.6095078826603,82.0,1.0,0.1,-3.9239547780804287,-3.5977548512036037,5.323651103310517,-3.9239547780804287,-3.5977548512036037,5.323651103310517,5.323651103310517,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,-117.51508470054944,91.51074075244185,148.9429783683606,-597.5150847005494,91.51074075244185,604.4820031380301,866.6095078826603,74.0,1.0,9.200000000000001,48.14470972058223,61.544393626549095,78.13850178329977,48.14470972058223,661.5443936265491,663.2939754081879,5.323651103310517,91.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,60.5,-656.838887591676,-573.9359967445198,872.2613442150213,16.254423122086997,637.028257426798,637.2355977432951,-640.584464469589,63.09226068227815,643.6839981526578,1.0,8.3,-56.838887591675984,26.064003255480202,62.529924103271235,-656.838887591676,-573.9359967445198,872.2613442150213,872.2613442150213,82.0,1.0,0.1,-3.7256933790470157,-3.902343870412551,5.395283017379271,-3.7256933790470157,-3.902343870412551,5.395283017379271,5.395283017379271,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-40.584464469588966,63.09226068227815,75.01821188407433,-640.584464469589,63.09226068227815,643.6839981526578,872.2613442150213,112.0,1.0,9.0,132.52872974304,33.1259135563854,136.6059674986743,12.528729743040003,633.1259135563854,633.2498649708358,5.395283017379271,89.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,121.0,-663.9517080831665,-574.3953961616852,877.9304880218557,-4.693681320816047,579.7884223268683,579.8074208809511,-668.6453894039826,5.393026165183073,668.6671380458455,1.0,8.3,-63.95170808316652,25.6046038383148,68.88698501510711,-663.9517080831665,-574.3953961616852,877.9304880218557,877.9304880218557,82.0,1.0,0.1,-3.553754673510298,-4.361743287577951,5.626186700264007,-3.553754673510298,-4.361743287577951,5.626186700264007,5.626186700264007,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.100000000000001,-68.64538940398256,125.39302616518307,142.95314091438036,-668.6453894039826,5.393026165183073,668.6671380458455,877.9304880218557,110.0,1.0,5.6000000000000005,111.75256400567366,95.42667903929032,146.95198751398337,-8.247435994326338,575.4266790392903,575.485780146362,5.626186700264007,55.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,181.5,-670.9019179908714,-575.0074123120452,883.5965752410001,-19.55965068556247,727.2884130503271,727.5513835408497,-690.4615686764339,152.28100073828193,707.0549349272477,1.0,8.3,-70.90191799087142,24.992587687954824,75.17786518733003,-670.9019179908714,-575.0074123120452,883.5965752410001,883.5965752410001,82.0,1.0,0.1,-3.393657956687548,-4.973759437937929,6.021228883995802,-3.393657956687548,-4.973759437937929,6.021228883995802,6.021228883995802,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,-90.4615686764339,32.28100073828193,96.04872938288213,-690.4615686764339,152.28100073828193,707.0549349272477,883.5965752410001,114.0,1.0,9.200000000000001,-22.953308642250022,122.31465361238918,124.44970416174215,-22.953308642250022,722.3146536123892,722.6792602536841,6.021228883995802,91.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,242.0,-677.6931115768883,-575.7358074200475,889.2354431894732,-0.1022224722164573,663.8576221450521,663.8576300152893,-677.7953340491048,88.12181472500458,683.4997945055767,1.0,8.3,-77.69311157688833,24.264192579952464,81.39392254987985,-677.6931115768883,-575.7358074200475,889.2354431894732,889.2354431894732,82.0,1.0,0.1,-3.2515468612917857,-5.702154545940289,6.56407826407973,-3.2515468612917857,-5.702154545940289,6.56407826407973,6.56407826407973,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-77.79533404910478,88.12181472500458,117.54815281509036,-677.7953340491048,88.12181472500458,683.4997945055767,889.2354431894732,112.0,1.0,9.0,116.64623066649176,58.15546759911183,130.33956245274015,-3.3537693335082395,658.1554675991118,658.1640124614441,6.56407826407973,89.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,302.5,-684.325368875001,-576.5649673123405,894.8342706992096,-111.96571596581856,613.372661815478,623.5080944256803,-796.2910848408196,36.80769450313744,797.141328856813,1.0,8.3,-84.325368875001,23.435032687659486,87.5212465232109,-684.325368875001,-576.5649673123405,894.8342706992096,894.8342706992096,82.0,1.0,0.1,-3.130431765985122,-6.531314438233267,7.242766828537493,-3.130431765985122,-6.531314438233267,7.242766828537493,7.242766828537493,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.9,-76.29108484081962,36.80769450313744,84.7061745141724,-796.2910848408196,36.80769450313744,797.141328856813,894.8342706992096,158.0,1.0,5.6000000000000005,4.90385226819626,126.84134737724469,126.93610665032685,-115.09614773180374,606.8413473772447,617.659731655975,7.242766828537493,55.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,363.0,-690.7965871640745,-577.4920543379187,900.3871376585532,33.08903189618338,706.159846580722,706.9346596077572,-657.707555267891,128.66779224280333,670.175073407765,1.0,8.3,-90.79658716407448,22.507945662081283,93.54479065437359,-690.7965871640745,-577.4920543379187,900.3871376585532,900.3871376585532,82.0,1.0,0.1,-3.031020472876321,-7.4584014638114695,8.0507662680257,-3.031020472876321,-7.4584014638114695,8.0507662680257,8.0507662680257,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,-57.70755526789105,128.66779224280333,141.01617884354226,-657.707555267891,128.66779224280333,670.175073407765,900.3871376585532,112.0,1.0,9.200000000000001,30.058011423307107,98.70144511691058,103.17683518547257,30.058011423307107,698.7014451169106,699.3476913947617,8.0507662680257,91.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,423.5,-697.1335349624075,-578.472615795872,905.8839510637666,-58.261256095247646,634.7019397655367,637.3703211665343,-755.3947910576551,56.22932396966473,757.4846712845904,1.0,8.3,-97.13353496240745,21.527384204127998,99.49046127627196,-697.1335349624075,-578.472615795872,905.8839510637666,905.8839510637666,82.0,1.0,0.1,-2.96886252168008,-8.438962921764755,8.945962210268771,-2.96886252168008,-8.438962921764755,8.945962210268771,8.945962210268771,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.9,-35.394791057655084,56.22932396966473,66.44191529524547,-755.3947910576551,56.22932396966473,757.4846712845904,905.8839510637666,158.0,1.0,9.0,58.76988138307229,26.26297684377198,64.37113414005451,-61.23011861692771,626.262976843772,629.2491109179781,8.945962210268771,89.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,484.0,-703.3373909534758,-579.500885524555,911.3203398569495,-114.03731161498064,763.0723943703672,771.5464908160087,-817.3747025684565,183.57150884581222,837.7349839052926,1.0,8.3,-103.33739095347585,20.499114475445026,105.35098510858316,-703.3373909534758,-579.500885524555,911.3203398569495,911.3203398569495,82.0,1.0,0.1,-2.93680256295886,-9.467232650447727,9.912280431439843,-2.93680256295886,-9.467232650447727,9.912280431439843,9.912280431439843,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.1,-97.37470256845654,63.57150884581222,116.28916302574612,-817.3747025684565,183.57150884581222,837.7349839052926,911.3203398569495,160.0,1.0,13.0,123.02588582206045,33.605161719919465,127.5330368042908,-116.97411417793955,753.6051617199195,762.6294533773395,9.912280431439843,129.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,544.5,-709.409282909127,-580.5676667305145,916.6898855832083,-88.36841937860902,743.1892293672918,748.4244839601539,-797.777702287736,162.6215626367773,814.1836616525334,1.0,8.3,-109.409282909127,19.432333269485525,111.12158549528415,-709.409282909127,-580.5676667305145,916.6898855832083,916.6898855832083,82.0,1.0,0.1,-2.9385439000490123,-10.534013856407228,10.9362008110447,-2.9385439000490123,-10.534013856407228,10.9362008110447,10.9362008110447,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.1,-77.77770228773602,42.6215626367773,88.69029583195913,-797.777702287736,162.6215626367773,814.1836616525334,916.6898855832083,160.0,1.0,9.0,28.69303672134197,132.65521551088455,135.72286674886993,-91.30696327865803,732.6552155108845,738.3228469703961,10.9362008110447,89.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,605.0,-715.3523978006582,-581.6387659829875,921.9721834921938,-30.809603944083825,729.3692320282244,730.0196629712334,-746.162001744742,147.73046604523688,760.6457936817,1.0,8.3,-115.3523978006582,18.36123401701252,116.80458292802038,-715.3523978006582,-581.6387659829875,921.9721834921938,921.9721834921938,82.0,1.0,0.1,-2.9633737885021674,-11.605113108880232,11.97748865498463,-2.9633737885021674,-11.605113108880232,11.97748865498463,11.97748865498463,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,-146.16200174474204,27.73046604523688,148.76931639661456,-746.162001744742,147.73046604523688,760.6457936817,921.9721834921938,114.0,1.0,9.0,86.22702226741399,117.76411891934413,145.9571412228759,-33.772977732586014,717.7641189193441,718.5582401120929,11.97748865498463,89.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,665.5,-721.170278978196,-582.7144452679526,927.1691841327703,-53.31911836217117,807.6728121673907,809.4308493610188,-774.4893973403672,224.95836689943815,806.4986630061499,1.0,8.3,-121.17027897819605,17.285554732047444,122.39700531487063,-721.170278978196,-582.7144452679526,927.1691841327703,927.1691841327703,82.0,1.0,0.1,-3.0119894514807584,-12.680792393845309,13.03359413943968,-3.0119894514807584,-12.680792393845309,13.03359413943968,13.03359413943968,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.1,-54.48939734036719,104.95836689943815,118.25968545837372,-774.4893973403672,224.95836689943815,806.4986630061499,927.1691841327703,160.0,1.0,13.200000000000001,63.6688921863481,74.9920197735454,98.37444211761833,-56.3311078136519,794.9920197735454,796.9852603474762,13.03359413943968,131.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,726.0,-726.8624971082991,-583.7778535602758,932.2690984956838,-51.17019741275893,845.5564719681553,847.1033799900072,-778.032694521058,261.77861840787943,820.8915389984454,1.0,8.3,-126.86249710829907,16.222146439724156,127.89546984809526,-726.8624971082991,-583.7778535602758,932.2690984956838,932.2690984956838,82.0,1.0,0.1,-3.075550680469405,-13.744200686168597,14.084106804828382,-3.075550680469405,-13.744200686168597,14.084106804828382,14.084106804828382,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.3,-58.03269452105803,21.778618407879435,61.98469047378122,-778.032694521058,261.77861840787943,820.8915389984454,932.2690984956838,162.0,1.0,13.200000000000001,65.75425190677163,111.81227128198668,129.71355231068094,-54.24574809322837,831.8122712819867,833.579183906059,14.084106804828382,131.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,786.5,-732.4264327903318,-584.8027102160129,937.2527350325335,20.30503534192575,895.9745051837286,896.2045572298014,-712.121397448406,311.17179496771575,777.138836172341,1.0,8.3,-132.42643279033177,15.197289783987117,133.2956027719997,-732.4264327903318,-584.8027102160129,937.2527350325335,937.2527350325335,82.0,1.0,0.1,-3.154293637180217,-14.769057341905636,15.102139686748112,-3.154293637180217,-14.769057341905636,15.102139686748112,15.102139686748112,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.700000000000001,-112.12139744840601,71.17179496771575,132.8029825143622,-712.121397448406,311.17179496771575,777.138836172341,937.2527350325335,116.0,1.0,18.2,137.15074170474554,41.205447841823,143.20689537172092,17.150741704745542,881.205447841823,881.3723329258361,15.102139686748112,181.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,847.0,-737.8668518126132,-585.7895718061085,942.1236189803548,54.881481764966225,748.9289136984124,750.9370777995999,-682.9853700476469,163.13934189230395,702.1990177806967,1.0,8.3,-137.86685181261316,14.210428193891516,138.5972766621869,-737.8668518126132,-585.7895718061085,942.1236189803548,942.1236189803548,82.0,1.0,0.1,-3.241622336431192,-15.755918932001236,16.085928532846484,-3.241622336431192,-15.755918932001236,16.085928532846484,16.085928532846484,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,-82.98537004764694,43.139341892303946,93.5284687185992,-682.9853700476469,163.13934189230395,702.1990177806967,942.1236189803548,114.0,1.0,9.200000000000001,51.63985942853503,133.1729947664112,142.8345953081866,51.63985942853503,733.1729947664112,734.9893300834692,16.085928532846484,91.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,907.5,-743.1821244421354,-586.7197172230184,946.868362904044,43.33338206100239,881.2539652449296,882.3187254392578,-699.8487423811331,294.53424802191125,759.3014457185541,1.0,8.3,-143.18212444213543,13.280282776981608,143.79668518571543,-743.1821244421354,-586.7197172230184,946.868362904044,946.868362904044,82.0,1.0,0.1,-3.355522512888342,-16.686064348911145,17.020113830127695,-3.355522512888342,-16.686064348911145,17.020113830127695,17.020113830127695,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.700000000000001,-99.84874238113309,54.53424802191125,113.77062697554767,-699.8487423811331,294.53424802191125,759.3014457185541,946.868362904044,116.0,1.0,13.4,39.977859548114,144.5679008960185,149.9936906124046,39.977859548114,864.5679008960185,865.4917010080434,17.020113830127695,133.0
21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,968.0,-748.3724471832044,-587.5824143822058,951.4801171828028,189.59900515969082,818.1051878570356,839.7879977447523,-558.7734420235136,230.52277347482982,604.4572016291414,1.0,8.3,-148.37244718320437,12.417585617794202,148.89116668126428,-748.3724471832044,-587.5824143822058,951.4801171828028,951.4801171828028,82.0,1.0,0.1,-3.5046808638818447,-17.54876150809855,17.895301574038392,-3.5046808638818447,-17.54876150809855,17.895301574038392,17.895301574038392,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,-78.77344202351355,110.52277347482982,135.7222849232962,-558.7734420235136,230.52277347482982,604.4572016291414,951.4801171828028,76.0,1.0,13.600000000000001,66.09432429580897,80.55642634893707,104.20075590047938,186.09432429580897,800.5564263489371,821.9012649361812,17.895301574038392,135.0
