sun_face,dominant_axis,i_prop,i_pcdu,b_emp_urad,b_nd_emp_urad,a_emp_urad_per_c,train_samples,resid_std_urad,power_mode,case_id,b_pred_insample_urad,b_resid_insample_urad,b_nd_pred_insample_urad,b_nd_resid_insample_urad,b_pred_loo_urad,b_resid_loo_urad,b_nd_pred_loo_urad,b_nd_resid_loo_urad,a_shared_urad_per_c,a_shared_loo_urad_per_c
MY,y,1,1,-34.0591739542483,19.173891963908495,28.63827593995231,101,6.547305464749106,,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,-32.12843878147161,-1.9307351727766928,17.143825726456967,2.0300662374515284,-31.64575498827741,-2.413418965970891,16.805481353548288,2.3684106103602076,28.60461521681464,28.604210197589403
PX,x,1,1,-10.51097558075904,-703.1648385059437,-28.142683140205545,101,5.308738851380261,,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,-12.044924691555433,1.533949110796394,-704.0822868749392,0.9174483689954513,-12.556241061820906,2.0452654810618665,-704.9997352439336,1.8348967379898795,-28.13003215289743,-28.122776941968976
PX,x,0,0,-13.514984170150916,-594.4962539989737,-28.115629376067645,101,5.312329109902662,,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,-12.044924691555433,-1.4700594785954824,-595.635073138729,1.1388191397553555,-11.554904865356937,-1.9600793047939788,-596.7738922784833,2.277638279509688,-28.13003215289743,-28.137287363825887
PY,y,1,1,-58.81205672952264,27.106940910236286,-28.71461233146085,101,3.070109778396729,,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,-57.9894315595939,-0.8226251699287346,25.124332819682735,1.9826080905535512,-57.38140426008141,-1.4306524694412275,24.463463456164874,2.6434774540714123,-28.70588243536526,-28.702437796229127
MX,x,1,1,15.273781041029288,-704.307485726948,30.641405666408193,101,2.887185390109456,,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,15.224096190576887,0.04968485045240101,-704.4181711123283,0.11068538538029316,15.174411340124493,0.09936970090479491,-704.7502272684687,0.4427415415207179,30.631312197286018,30.621218728163843
MY,y,1,1,-26.748596183985065,16.559999413400384,28.270730199549252,101,0.061152534169295836,,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,-32.12843878147161,5.379842597486544,17.143825726456967,-0.5838263130565835,-33.473399430843244,6.72480324685818,17.24113011196637,-0.6811306985659868,28.60461521681464,28.621445578383476
MY,y,1,1,-33.37942014308101,17.64094132412171,28.73120946906477,101,13.02269425927636,,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,-32.12843878147161,-1.250981361609405,17.143825726456967,0.49711559766474167,-31.81569344106925,-1.5637267020117633,17.06097312684618,0.5799681972755302,28.60461521681464,28.604210197589403
MY,y,1,1,-32.671467089335785,15.651673046336485,28.7274555235675,101,2.208161251631957,,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,-32.12843878147161,-0.5430283078641764,17.143825726456967,-1.4921526801204816,-31.99268170450557,-0.6787853848302134,17.392517839810438,-1.7408447934739524,28.60461521681464,28.604210197589403
MY,y,1,0,-22.775705068101736,20.535563037856754,28.60461521681464,101,6.548797006788361,,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,-20.997949825579127,-1.777755242522609,17.143825726456967,3.391737311399787,-19.68395682023636,-3.0917482478653753,16.5785361745571,3.957026863299653,28.60461521681464,28.62104055915824
MY,y,0,1,-8.42703014937433,14.543814201974794,28.603805178364162,101,6.601159149076977,,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,-8.328641780794309,-0.09838836858002153,17.143825726456967,-2.6000115244821735,-8.255919943148271,-0.171110206226059,17.577160980537315,-3.033346778562521,28.60461521681464,28.621445578383476
MY,y,0,0,3.0228930309645268,15.900897097600255,28.578062010698922,101,6.551571436324628,,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,2.801847175098173,0.22104585586635395,17.143825726456967,-1.2429286288567116,2.5808013192318064,0.4420917117327203,17.35098049793315,-1.450083400332895,28.60461521681464,28.621445578383476
PY,y,0,0,-22.44771887358291,22.702424866677916,-28.702437796229127,101,3.0424858248028555,,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,-23.05914560302412,0.6114267294412095,25.124332819682735,-2.421907953004819,-23.511069707393673,1.0633508338107625,25.931635470684316,-3.2292106040064006,-28.70588243536526,-28.7093270745014
MX,x,0,0,15.174411340124493,-596.0816427614982,30.621218728163843,101,2.844416651710931,,17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,15.224096190576887,-0.0496848504523939,-595.9709573761181,-0.11068538538006578,15.273781041029288,-0.09936970090479491,-595.6389012199778,-0.4427415415203768,30.631312197286018,30.641405666408193
PY,y,1,0,-45.91365994648636,29.132908675016782,-28.7093270745014,101,3.070647070475079,,18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,-46.85894260370142,0.9452826572150599,25.124332819682735,4.008575855334048,-47.80422526091656,1.890565314430198,23.78814086790473,5.344767807112053,-28.70588243536526,-28.702437796229127
PY,y,0,1,-34.92371877564413,21.555056826799966,-28.69001057435618,101,2.98114760927583,,19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,-34.1896345589166,-0.7340842167275312,25.124332819682735,-3.569275992882769,-33.455550342189106,-1.468168433455027,26.314091483976995,-4.759034657177029,-28.70588243536526,-28.7093270745014
PX,x,1,0,-10.402905018879238,-727.62743963081,-28.137287363825887,101,5.31677488895931,,20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,-12.044924691555433,1.642019672676195,-726.5993058764357,-1.0281337543743803,-12.592264582447509,2.1893595635682708,-723.51490461331,-4.112535017500022,-28.13003215289743,-28.122776941968976
PX,x,0,1,-13.750833996432544,-574.146187891607,-28.122776941968976,101,5.318656553356467,,21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,-12.044924691555433,-1.7059093048771103,-573.1180541372327,-1.0281337543743803,-11.476288256596408,-2.2745457398361353,-570.0336528741072,-4.112535017499795,-28.13003215289743,-28.137287363825887
