case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,static_bias_correction_success,static_bias_correction_acquisition_time_s,static_bias_correction_residual_x_urad,static_bias_correction_residual_y_urad,static_bias_correction_residual_norm_urad,static_bias_correction_pointing_error_x_urad,static_bias_correction_pointing_error_y_urad,static_bias_correction_pointing_error_norm_urad,static_bias_correction_thermal_residual_norm_urad,static_bias_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,0.0,20.187667920483022,100.91131868914776,102.91081661152262,0.5555013260423323,-52.92643260743872,52.929347721967886,20.743169246525355,47.98488608170904,52.27646088503496,0.0,nan,nan,nan,nan,20.187667920483022,100.91131868914776,102.91081661152262,102.91081661152262,nan,1.0,0.1,1.0137759565745341,20.536947589181892,20.56195413794449,1.0137759565745341,20.536947589181892,20.56195413794449,20.56195413794449,0.0,1.0,0.1,1.0137759565745341,-2.582727389161633,2.7745670755731022,1.0137759565745341,-2.582727389161633,2.7745670755731022,2.7745670755731022,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,20.743169246525355,7.984886081709043,22.22695382025765,20.743169246525355,47.98488608170904,52.27646088503496,102.91081661152262,3.0,1.0,0.5,1.5692772826168664,-15.509159996600353,15.588350618005936,1.5692772826168664,-55.50915999660035,55.531337771729525,2.7745670755731022,4.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,60.5,19.77715107927749,107.97087825139344,109.76723671109605,25.132526858480404,29.662012823223115,38.87774313173659,44.90967793775789,137.63289107461657,144.77462442717788,1.0,3.2,19.77715107927749,-12.029121748606556,23.148120330933267,19.77715107927749,107.97087825139344,109.76723671109605,109.76723671109605,31.0,1.0,0.4,0.6032591153690028,-12.403492848572427,12.418154307499288,0.6032591153690028,27.596507151427573,27.603099980238976,27.603099980238976,3.0,1.0,0.1,0.6032591153690028,-2.953247858870597,3.014231987787197,0.6032591153690028,-2.953247858870597,3.014231987787197,3.014231987787197,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4000000000000004,4.909677937757891,17.632891074616566,18.303654965656428,44.90967793775789,137.63289107461657,144.77462442717788,109.76723671109605,33.0,1.0,0.6000000000000001,-14.264214026150597,-13.291235035647475,19.496787698404432,25.735785973849403,26.708764964352525,37.09027912557155,3.014231987787197,5.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,121.0,19.35360951120465,114.75865986989253,116.37917432361287,-42.61339087977949,-69.13560770420514,81.21350463378995,-23.25978136857484,45.62305216568738,51.2101583499498,1.0,3.2,19.35360951120465,-5.241340130107474,20.050781717221554,19.35360951120465,114.75865986989253,116.37917432361287,116.37917432361287,31.0,1.0,0.4,0.17971754729616052,-5.6157112300733445,5.618586211528486,0.17971754729616052,34.384288769926656,34.384758434668555,34.384758434668555,3.0,1.0,0.1,0.17971754729616052,-3.249680805381516,3.2546464836708773,0.17971754729616052,-3.249680805381516,3.2546464836708773,3.2546464836708773,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,16.74021863142516,5.623052165687383,17.65937811719189,-23.25978136857484,45.62305216568738,51.2101583499498,116.37917432361287,1.0,1.0,1.3,-2.4336733324833233,7.614711490413342,7.99416017924794,-42.43367333248332,-72.38528850958666,83.90617751455494,3.2546464836708773,12.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,181.5,18.91857660964879,121.2718332015207,122.73862500856286,77.21727796420778,-26.76449913546593,81.72420957203614,96.13585457385658,94.50733406605478,134.81000974304015,1.0,3.2,18.91857660964879,1.2718332015207068,18.961278981852484,18.91857660964879,121.2718332015207,122.73862500856286,122.73862500856286,31.0,1.0,0.4,-0.25531535425969665,0.8974621015548365,0.9330724269037094,-0.25531535425969665,40.89746210155484,40.898259037252856,40.898259037252856,3.0,1.0,0.1,-0.25531535425969665,-3.4861021973388233,3.4954390940783573,-0.25531535425969665,-3.4861021973388233,3.4954390940783573,3.4954390940783573,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,16.135854573856577,14.507334066054781,21.698583929205192,96.13585457385658,94.50733406605478,134.81000974304015,122.73862500856286,17.0,1.0,2.0,-3.0380373900519118,9.749398667195251,10.211779744748805,76.96196260994809,-30.25060133280475,82.69366704755168,3.4954390940783573,19.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,242.0,18.48722413564938,127.5286327024175,128.86166852555436,30.05550282772378,6.333844242598126,30.71564476153489,48.54272696337316,133.86247694501563,142.3922718229309,1.0,3.2,18.48722413564938,7.528632702417497,19.961406929614135,18.48722413564938,127.5286327024175,128.86166852555436,128.86166852555436,31.0,1.0,0.4,-0.6866678282591074,7.154261602451626,7.187139332354688,-0.6866678282591074,47.154261602451626,47.15926102027903,47.15926102027903,3.0,1.0,0.1,-0.6866678282591074,-3.6616737525039866,3.7255022985018686,-0.6866678282591074,-3.6616737525039866,3.7255022985018686,3.7255022985018686,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4000000000000004,8.542726963373163,13.86247694501563,16.28331818217137,48.54272696337316,133.86247694501563,142.3922718229309,128.86166852555436,33.0,1.0,0.8,-10.631165000535326,2.672170490094146,10.961850409339531,29.368834999464674,2.672170490094146,29.490150293850846,3.7255022985018686,7.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,302.5,18.065277123955564,133.54103460100814,134.75741968393785,30.78167649533531,-74.91523571160045,80.99261787094014,48.84695361929087,58.62579888940769,76.30864415848593,1.0,3.2,18.065277123955564,13.541034601008135,22.576843349569746,18.065277123955564,133.54103460100814,134.75741968393785,134.75741968393785,31.0,1.0,0.4,-1.1086148399529243,13.166663501042265,13.213252991335722,-1.1086148399529243,53.166663501042265,53.178220492006155,53.178220492006155,3.0,1.0,0.1,-1.1086148399529243,-3.778593206432447,3.9378666157021227,-1.1086148399529243,-3.778593206432447,3.9378666157021227,3.9378666157021227,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001,8.846953619290872,18.62579888940769,20.62011087774614,48.84695361929087,58.62579888940769,76.30864415848593,134.75741968393785,5.0,1.0,1.7000000000000002,-10.326938344617616,1.3061710819671077,10.409214113894514,29.673061655382384,-78.69382891803289,84.1023739128971,3.9378666157021227,16.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,363.0,17.652633004930543,139.31701880788194,140.43093384836013,94.23431332543386,-61.02105110256446,112.26608786974731,111.8869463303644,78.29596770531748,136.56114864062164,0.0,nan,nan,nan,nan,17.652633004930543,139.31701880788194,140.43093384836013,140.43093384836013,nan,1.0,0.4,-1.5212589589779455,18.942647707916066,19.003634678831535,-1.5212589589779455,58.942647707916066,58.96227563145587,58.96227563145587,3.0,1.0,0.1,-1.5212589589779455,-3.8431688311973744,4.13330079783188,-1.5212589589779455,-3.8431688311973744,4.13330079783188,4.13330079783188,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.800000000000001,-8.113053669635605,-1.70403229468252,8.290076351138675,111.8869463303644,78.29596770531748,136.56114864062164,140.43093384836013,47.0,1.0,1.9000000000000001,12.713054366455907,15.13578006623817,19.76647640673462,92.7130543664559,-64.86421993376183,113.15068483033072,4.13330079783188,18.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,423.5,17.254036207059617,144.8884976806834,145.91222884186206,39.97824538808486,-215.5331354810427,219.2094719545655,57.23228159514447,-70.6446378003593,90.91863893905291,1.0,5.800000000000001,17.254036207059617,-15.1115023193166,22.93598194499715,17.254036207059617,144.8884976806834,145.91222884186206,145.91222884186206,57.0,1.0,0.4,-1.9198557568488717,24.51412658071753,24.589189660144303,-1.9198557568488717,64.51412658071753,64.54268645322993,64.54268645322993,3.0,1.0,0.1,-1.9198557568488717,-3.8548950549510153,4.306513904748427,-1.9198557568488717,-3.8548950549510153,4.306513904748427,4.306513904748427,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7000000000000002,17.23228159514447,9.355362199640695,19.608017004807518,57.23228159514447,-70.6446378003593,90.91863893905291,145.91222884186206,16.0,1.0,9.5,-1.9416103687640174,-19.38803053599372,19.485009081052976,38.05838963123598,-219.38803053599372,222.66465584772337,4.306513904748427,94.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,484.0,16.86891402133893,150.2645006829795,151.20840064548156,77.49756878875303,-67.21210528075824,102.58333326832013,94.36648281009195,83.05239540222126,125.70892354958053,1.0,5.800000000000001,16.86891402133893,-9.735499317020498,19.476658009294916,16.86891402133893,150.2645006829795,151.20840064548156,151.20840064548156,57.0,1.0,1.4000000000000001,-2.3049779425695576,-10.109870416986368,10.369300996884425,-2.3049779425695576,69.89012958301363,69.92812836367186,69.92812836367186,13.0,1.0,0.1,-2.3049779425695576,-3.8246808702360795,4.465546671448189,-2.3049779425695576,-3.8246808702360795,4.465546671448189,4.465546671448189,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,14.366482810091952,3.052395402221265,14.687169435400719,94.36648281009195,83.05239540222126,125.70892354958053,151.20840064548156,17.0,1.0,1.9000000000000001,-4.807409153816536,8.963213849005683,10.171056251698065,75.19259084618346,-71.03678615099432,103.44153278458151,4.465546671448189,18.0
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,544.5,16.496485983891127,155.4531605157262,156.3260028406818,-99.19846123167146,-8.984890409609015,99.60453286072934,-82.70197524778033,146.4682701061172,168.20395612994056,1.0,5.800000000000001,16.496485983891127,-4.546839484273789,17.111627599748292,16.496485983891127,155.4531605157262,156.3260028406818,156.3260028406818,57.0,1.0,1.4000000000000001,-2.6774059800173617,-4.92121058423966,5.602393809459058,-2.6774059800173617,75.07878941576034,75.12651411397923,75.12651411397923,13.0,1.0,0.1,-2.6774059800173617,-3.7588751409822123,4.614937172630498,-2.6774059800173617,-3.7588751409822123,4.614937172630498,4.614937172630498,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4,-2.701975247780325,-13.531729893882812,13.798854451026697,-82.70197524778033,146.4682701061172,168.20395612994056,156.3260028406818,53.0,1.0,4.5,18.124132788311186,-12.743765550591235,22.155986769646994,-101.87586721168881,-12.743765550591235,102.66983919604671,4.614937172630498,44.0
