case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,no_correction_success,no_correction_acquisition_time_s,no_correction_residual_x_urad,no_correction_residual_y_urad,no_correction_residual_norm_urad,no_correction_pointing_error_x_urad,no_correction_pointing_error_y_urad,no_correction_pointing_error_norm_urad,no_correction_thermal_residual_norm_urad,no_correction_scan_index,static_bias_correction_success,static_bias_correction_acquisition_time_s,static_bias_correction_residual_x_urad,static_bias_correction_residual_y_urad,static_bias_correction_residual_norm_urad,static_bias_correction_pointing_error_x_urad,static_bias_correction_pointing_error_y_urad,static_bias_correction_pointing_error_norm_urad,static_bias_correction_thermal_residual_norm_urad,static_bias_correction_scan_index,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,thermal_truth_correction_success,thermal_truth_correction_acquisition_time_s,thermal_truth_correction_residual_x_urad,thermal_truth_correction_residual_y_urad,thermal_truth_correction_residual_norm_urad,thermal_truth_correction_pointing_error_x_urad,thermal_truth_correction_pointing_error_y_urad,thermal_truth_correction_pointing_error_norm_urad,thermal_truth_correction_thermal_residual_norm_urad,thermal_truth_correction_scan_index,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,0.0,28.45410561201044,-1257.3225558871973,1257.6444830193045,64.27864103028844,127.55977133944124,142.83990673782736,92.73274664229888,-1129.762784547756,1133.56222222202,1.0,378.70000000000005,-11.54589438798956,-17.322555887197268,20.81774770919471,28.45410561201044,-1257.3225558871973,1257.6444830193045,1257.6444830193045,3786.0,1.0,0.1,1.3471647017741581,-20.378812240289562,20.423291631338028,1.3471647017741581,-20.378812240289562,20.423291631338028,20.423291631338028,0.0,1.0,0.1,1.3471647017741581,-3.646246315284543,3.8871538335178304,1.3471647017741581,-3.646246315284543,3.8871538335178304,3.8871538335178304,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308.70000000000005,12.732746642298878,-9.762784547755928,16.044774824935228,92.73274664229888,-1129.762784547756,1133.56222222202,1257.6444830193045,3086.0,1.0,3.6,-14.374194267937412,3.9135250241567974,14.897420547433915,65.62580573206259,123.9135250241568,140.21878640857918,3.8871538335178304,35.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,60.5,28.011929996925566,-1265.8441622631333,1266.1540630420163,57.783448783977676,51.478486133980454,77.38838083341057,85.79537878090323,-1214.365676129153,1217.3926410081397,1.0,403.70000000000005,-11.988070003074434,14.155837736866715,18.54997478249264,28.011929996925566,-1265.8441622631333,1266.1540630420163,1266.1540630420163,4036.0,1.0,0.5,0.9049890866892838,11.09958138377442,11.136413791793945,0.9049890866892838,-28.90041861622558,28.914584580106016,28.914584580106016,4.0,1.0,0.1,0.9049890866892838,-3.473448075151282,3.589407580339526,0.9049890866892838,-3.473448075151282,3.589407580339526,3.589407580339526,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.70000000000005,5.795378780903235,-14.365676129152916,15.490612184864013,85.79537878090323,-1214.365676129153,1217.3926410081397,1266.1540630420163,3546.0,1.0,0.6000000000000001,18.688437870666952,8.005038058829086,20.330724147680545,58.68843787066695,48.005038058829086,75.82094973507496,3.589407580339526,5.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,121.0,27.566641597443,-1274.335348668293,1274.6334769628882,37.37648103475763,103.86334845406377,110.38385971976096,64.94312263220063,-1170.4720002142292,1172.2722859740052,1.0,403.70000000000005,-12.433358402557001,5.664651331707091,13.662967315932718,27.566641597443,-1274.335348668293,1274.6334769628882,1274.6334769628882,4036.0,1.0,0.5,0.4597006872067162,2.608394978614797,2.6485937941257083,0.4597006872067162,-37.3916050213852,37.39443074572867,37.39443074572867,4.0,1.0,0.1,0.4597006872067162,-3.3160654125256315,3.3477775526410225,0.4597006872067162,-3.3160654125256315,3.3477775526410225,3.3477775526410225,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,331.3,-15.056877367799373,-10.472000214229183,18.34045649802003,64.94312263220063,-1170.4720002142292,1172.2722859740052,1274.6334769628882,3312.0,1.0,1.6,-2.163818278035656,20.547283041538094,20.66090389913859,37.836181721964344,100.5472830415381,107.43059515023029,3.3477775526410225,15.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,181.5,27.116588068888102,-1282.7747447441889,1283.0613216452348,19.973131777119757,61.32030673026789,64.49113125446264,47.08971984600786,-1221.454438013921,1222.3618064464706,1.0,403.70000000000005,-12.883411931111898,-2.7747447441888653,13.178828149047249,27.116588068888102,-1282.7747447441889,1283.0613216452348,1283.0613216452348,4036.0,1.0,0.5,0.009647158651819865,-5.83100109728116,5.831009077695227,0.009647158651819865,-45.83100109728116,45.83100211261649,45.83100211261649,4.0,1.0,0.1,0.009647158651819865,-3.1672917425696596,3.1673064345307678,0.009647158651819865,-3.1672917425696596,3.1673064345307678,3.1673064345307678,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.5,7.08971984600786,-21.454438013920935,22.595509243831028,47.08971984600786,-1221.454438013921,1222.3618064464706,1283.0613216452348,3544.0,0.0,nan,nan,nan,nan,19.982778935771577,58.15301498769827,61.49052452333917,3.1673064345307678,nan
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,242.0,26.67244701299104,-1291.1452056172257,1291.420675619687,-90.85624573756924,87.81951351857519,126.36108714380697,-64.1837987245782,-1203.3256920986505,1205.036215755947,1.0,403.70000000000005,-13.32755298700896,-11.145205617225656,17.37352229318424,26.67244701299104,-1291.1452056172257,1291.420675619687,1291.420675619687,4036.0,1.0,0.5,-0.43449389724524323,-14.20146197031795,14.208107088600169,-0.43449389724524323,-54.20146197031795,54.203203453915584,54.203203453915584,4.0,1.0,0.1,-0.43449389724524323,-3.0326027299372527,3.0635705091226866,-0.43449389724524323,-3.0326027299372527,3.0635705091226866,3.0635705091226866,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.90000000000003,15.816201275421804,-3.3256920986505065,16.162068268624555,-64.1837987245782,-1203.3256920986505,1205.036215755947,1291.420675619687,3538.0,1.0,1.0,-11.290739634814486,4.786910788637897,12.263576819164491,-91.29073963481449,84.7869107886379,124.59060712650826,3.0635705091226866,9.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,302.5,26.237997934790936,-1299.438909641061,1299.7037787222039,-9.220540980014455,32.907480909482366,34.17485443673568,17.01745695477648,-1266.5314287315787,1266.645749136696,1.0,403.70000000000005,-13.762002065209064,-19.438909641060945,23.81730272042052,26.237997934790936,-1299.438909641061,1299.7037787222039,1299.7037787222039,4036.0,1.0,0.5,-0.8689429754453464,-22.49516599415324,22.511942497240973,-0.8689429754453464,-62.49516599415324,62.50120666460243,62.50120666460243,4.0,1.0,0.1,-0.8689429754453464,-2.9243916802945478,3.0507586915965317,-0.8689429754453464,-2.9243916802945478,3.0507586915965317,3.0507586915965317,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,403.5,17.01745695477648,13.468571268421329,21.702448092789325,17.01745695477648,-1266.5314287315787,1266.645749136696,1299.7037787222039,4034.0,1.0,0.4,-10.089483955459801,-10.016910770812274,14.217460669117242,-10.089483955459801,29.983089229187726,31.63515965208511,3.0507586915965317,3.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,363.0,25.81260864681525,-1307.6531692661626,1307.907910312111,46.932628445657066,57.509951633911065,74.22981981490248,72.74523709247231,-1250.1432176322517,1252.2579343376344,1.0,429.5,-14.18739135318475,12.34683073383735,18.807612888892944,25.81260864681525,-1307.6531692661626,1307.907910312111,1307.907910312111,4294.0,1.0,1.5,-1.2943322634210332,9.290574380745056,9.380302145042505,-1.2943322634210332,-70.70942561925494,70.72127096859248,70.72127096859248,14.0,1.0,0.1,-1.2943322634210332,-2.8457228736026536,3.126249299316668,-1.2943322634210332,-2.8457228736026536,3.126249299316668,3.126249299316668,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378.90000000000003,-7.254762907527692,-10.143217632251663,12.470623431876238,72.74523709247231,-1250.1432176322517,1252.2579343376344,1307.907910312111,3788.0,1.0,0.6000000000000001,5.638296182236026,14.664228760308333,15.710823943169608,45.638296182236026,54.66422876030833,71.21117878800224,3.126249299316668,5.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,423.5,25.400374455989866,-1315.7945037415177,1316.039647996553,141.1325734211767,64.21387581040808,155.0542651044412,166.53294787716655,-1251.5806279311096,1262.6112984371277,1.0,429.5,-14.599625544010134,4.205496258482299,15.193263797006285,25.400374455989866,-1315.7945037415177,1316.039647996553,1316.039647996553,4294.0,1.0,1.5,-1.706566454246417,1.1492399053900044,2.057455084054088,-1.706566454246417,-78.85076009461,78.86922553544252,78.86922553544252,14.0,1.0,0.1,-1.706566454246417,-2.76018616873057,3.245149726716894,-1.706566454246417,-2.76018616873057,3.245149726716894,3.245149726716894,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,379.3,6.532947877166549,-11.580627931109575,13.296253278445404,166.53294787716655,-1251.5806279311096,1262.6112984371277,1316.039647996553,3792.0,0.0,nan,nan,nan,nan,139.42600696693026,61.453689641677556,152.36852492991494,3.245149726716894,nan
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,484.0,25.00071325426445,-1323.862818483047,1324.0988625571351,18.207323266729055,71.94449520736909,74.21264724548186,43.2080365209935,-1251.918323275678,1252.6637308445488,1.0,429.5,-14.99928674573555,-3.862818483047022,15.488704578297302,25.00071325426445,-1323.862818483047,1324.0988625571351,1324.0988625571351,4294.0,1.0,1.5,-2.106227655971832,-6.919074836139316,7.232550831268101,-2.106227655971832,-86.91907483613932,86.94459020151379,86.94459020151379,14.0,1.0,0.1,-2.106227655971832,-2.6763195151615946,3.4057130069950685,-2.106227655971832,-2.6763195151615946,3.4057130069950685,3.4057130069950685,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378.70000000000005,3.2080365209935024,-11.918323275677949,12.342525188290882,43.2080365209935,-1251.918323275678,1252.6637308445488,1324.0988625571351,3786.0,1.0,1.4000000000000001,16.10109561075722,-10.731824307792522,19.34986648119495,16.10109561075722,69.26817569220748,71.11487498121099,3.4057130069950685,13.0
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,544.5,24.61280825120573,-1331.8542699737743,1332.08167421423,79.03543976935673,55.72785870110242,96.70674730827034,103.64824802056246,-1276.126411272672,1280.3286987587994,1.0,429.5,-15.387191748794269,-11.854269973774308,19.42393849159561,24.61280825120573,-1331.8542699737743,1332.08167421423,1332.08167421423,4294.0,1.0,1.5,-2.4941326590305515,-14.910526326866602,15.117688085981431,-2.4941326590305515,-94.9105263268666,94.94329205037964,94.94329205037964,14.0,1.0,0.1,-2.4941326590305515,-2.6100523400591555,3.6101344765383856,-2.4941326590305515,-2.6100523400591555,3.6101344765383856,3.6101344765383856,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,403.90000000000003,23.648248020562463,3.8735887273280696,23.963395503778663,103.64824802056246,-1276.126411272672,1280.3286987587994,1332.08167421423,4038.0,1.0,2.4000000000000004,-3.458692889673813,13.117806361043222,13.566112200291807,76.54130711032619,53.11780636104322,93.16690961262242,3.6101344765383856,23.0
