case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_minus_opposite_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,-34.05917395424834,28.63827593995232,8.110453400543118,6.711742365074157,7.509132855247271,12.10753430292512
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,-10.510975580756933,-28.142683140205648,14.756848216019252,5.624565856349149,12.305084944784936,28.242623255878637
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,-13.514984170157025,-28.115629376067364,15.011397466663157,5.647612295539149,12.465733500652066,28.89491624011775
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-58.81205672955252,-28.714612331460124,5.152706718141395,2.967731588832909,4.693960515519668,7.534921464786346
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,15.273781041025018,30.641405666408403,13.704753578854968,2.9519485895417783,10.808227978464233,27.9365475155188
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,-26.748596183385303,28.27073019945904,3.766690265727007,0.0628534866922352,3.2958613003124992,6.463079783942967
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,-33.37942014308101,28.731209469064765,14.299645287316638,13.276064433557698,12.894113294133309,23.73796978078439
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-32.671467089334854,28.72745552356737,5.2146206562370825,2.2695755524310885,4.75557230317684,8.575483179770739
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,-22.775705068101736,28.60461521681464,8.108831073602417,6.7157294580166536,7.509198560651705,12.14119766035058
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,-8.427030149375199,28.60380517836425,8.184525502965151,6.775204479407482,7.582937703524917,12.258491782343103
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,3.022893030964568,28.57806201069892,8.15453694630454,6.727803418843302,7.560121859842096,12.15077206616543
16,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,y,-22.44771887362761,-28.702437796228057,5.169753651602019,2.944164917929875,4.707231808769978,7.542681104941096
17,17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,x,15.174411340124704,30.621218728163843,13.999393333674666,2.9101703369060714,10.968916019708978,28.62409075121975
18,18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,y,-45.91365994648593,-28.7093270745014,5.162773694575033,2.969774201093389,4.70172123301534,7.527422221593335
19,19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,y,-34.923718775712004,-28.690010574354464,5.119519861470328,2.880113427475896,4.660033569625812,7.478687193574677
20,20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,x,-10.40290501887798,-28.13728736382594,14.786437776170528,5.638165541464539,12.31124407707523,28.37787251651565
21,21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,x,-13.75083399643394,-28.12277694196892,14.99409898466912,5.650149932636698,12.47469253376677,28.776731166682303
