case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_minus_opposite_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,-34.1,28.6,8.11,6.71,7.51,12.1
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,-10.5,-28.1,14.8,5.62,12.3,28.2
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,-13.5,-28.1,15,5.65,12.5,28.9
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-58.8,-28.7,5.15,2.97,4.69,7.53
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,15.3,30.6,13.7,2.95,10.8,27.9
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,-26.7,28.3,3.77,0.0629,3.3,6.46
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,-33.4,28.7,14.3,13.3,12.9,23.7
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-32.7,28.7,5.21,2.27,4.76,8.58
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,-22.8,28.6,8.11,6.72,7.51,12.1
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,-8.43,28.6,8.18,6.78,7.58,12.3
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,3.02,28.6,8.15,6.73,7.56,12.2
16,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,y,-22.4,-28.7,5.17,2.94,4.71,7.54
17,17_LTAN06_800km_1213COLD_MX_STTLCT_HEAT_MX_0p5,MX,x,15.2,30.6,14,2.91,11,28.6
18,18_LTAN06_800km_1213COLD_PY_STTLCT_PROP_HEAT_PY_0p5,PY,y,-45.9,-28.7,5.16,2.97,4.7,7.53
19,19_LTAN06_800km_1213COLD_PY_STTLCT_PCDU_HEAT_PY_0p5,PY,y,-34.9,-28.7,5.12,2.88,4.66,7.48
20,20_LTAN06_800km_1213COLD_PX_STTLCT_PROP_HEAT_PX_0p5,PX,x,-10.4,-28.1,14.8,5.64,12.3,28.4
21,21_LTAN06_800km_1213COLD_PX_STTLCT_PCDU_HEAT_PX_0p5,PX,x,-13.8,-28.1,15,5.65,12.5,28.8
