case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,sunface_correction_success,sunface_correction_acquisition_time_s,sunface_correction_residual_x_urad,sunface_correction_residual_y_urad,sunface_correction_residual_norm_urad,sunface_correction_pointing_error_x_urad,sunface_correction_pointing_error_y_urad,sunface_correction_pointing_error_norm_urad,sunface_correction_thermal_residual_norm_urad,sunface_correction_scan_index,sunface_correction_with_nonthermal_success,sunface_correction_with_nonthermal_acquisition_time_s,sunface_correction_with_nonthermal_residual_x_urad,sunface_correction_with_nonthermal_residual_y_urad,sunface_correction_with_nonthermal_residual_norm_urad,sunface_correction_with_nonthermal_pointing_error_x_urad,sunface_correction_with_nonthermal_pointing_error_y_urad,sunface_correction_with_nonthermal_pointing_error_norm_urad,sunface_correction_with_nonthermal_thermal_residual_norm_urad,sunface_correction_with_nonthermal_scan_index
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,0.0,-596.236386617962,-702.5714037463084,921.4686137298992,-154.6549382021908,-45.679823811186345,161.26002670762674,-750.8913248201528,-748.2512275574948,1060.0555085614442,1.0,137.1,9.108675179847182,11.748772442505242,14.866123147536976,-750.8913248201528,-748.2512275574948,1060.0555085614442,921.4686137298992,1370.0,1.0,0.1,3.2534578742959184,0.5934347596351017,3.307136669955036,3.2534578742959184,0.5934347596351017,3.307136669955036,3.307136669955036,0.0,1.0,7.300000000000001,8.598519672105112,-5.086389051551237,9.990289992553715,-151.4014803278949,-45.08638905155124,157.9721200819492,3.307136669955036,72.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,60.5,-603.4876322306473,-702.8758452524495,926.4079965623669,-107.47868309679609,-186.34424493605738,215.11821155125585,-710.9663153274433,-889.2200901885069,1138.501414283328,1.0,185.9,9.03368467255666,-9.220090188506902,12.908040976359905,-710.9663153274433,-889.2200901885069,1138.501414283328,926.4079965623669,1858.0,1.0,0.1,3.426060327855339,0.28899325349402716,3.438227227899473,3.426060327855339,0.28899325349402716,3.438227227899473,3.438227227899473,0.0,1.0,8.700000000000001,15.94737723105925,13.94474831743662,21.184306601500047,-104.05262276894075,-186.05525168256338,213.17482258408822,3.438227227899473,86.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,121.0,-610.5889346948884,-703.3347296712318,931.3960431167525,-95.90939765097752,-97.88060308726004,137.0373125046572,-706.498332345866,-801.2153327584919,1068.2162248602997,1.0,152.70000000000002,13.501667654134053,-1.2153327584918543,13.556255499087984,-706.498332345866,-801.2153327584919,1068.2162248602997,931.3960431167525,1526.0,1.0,0.1,3.578359765800542,-0.16989116528827708,3.5823904898186516,3.578359765800542,-0.16989116528827708,3.5823904898186516,3.5823904898186516,0.0,1.0,1.1,-12.331037885177011,-18.050494252548333,21.860348535349367,-92.33103788517701,-98.05049425254833,134.6808077645921,3.5823904898186516,10.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,181.5,-617.5205688478972,-703.9458123935602,936.4140962932265,-145.03565603971705,-119.9844662415394,188.23287083327986,-762.5562248876142,-823.9302786350996,1122.654488329585,1.0,152.5,-2.556224887614235,-23.930278635099626,24.066418953171326,-762.5562248876142,-823.9302786350996,1122.654488329585,936.4140962932265,1524.0,1.0,0.1,3.7230080966152173,-0.7809738876167103,3.804038577696291,3.7230080966152173,-0.7809738876167103,3.804038577696291,3.804038577696291,0.0,1.0,2.7,-21.312647943101865,-0.7654401291561044,21.326388839602608,-141.31264794310187,-120.7654401291561,185.88586820487416,3.804038577696291,26.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,242.0,-624.2864636209672,-704.672520955354,941.43345513634,-188.88523016479428,-57.72068680789282,197.50774126596195,-813.1716937857615,-762.3932077632468,1114.6710756173488,1.0,160.5,-13.171693785761477,-2.393207763246778,13.387343298202678,-813.1716937857615,-762.3932077632468,1114.6710756173488,941.43345513634,1604.0,1.0,0.1,3.850713010000618,-1.5076824494104812,4.135347271227461,3.850713010000618,-1.5076824494104812,4.135347271227461,4.135347271227461,0.0,1.0,11.100000000000001,14.965482845206338,-19.228369257303257,24.365874929609447,-185.03451715479366,-59.22836925730326,194.28271220977717,4.135347271227461,110.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,302.5,-630.8872520343433,-705.4991647735162,946.4395365133338,-144.91714799656623,-56.51954326817359,155.54883012964652,-775.8044000309095,-762.0187080416898,1087.44883949216,1.0,137.1,-15.804400030909505,-2.0187080416898198,15.932803974649143,-775.8044000309095,-762.0187080416898,1087.44883949216,946.4395365133338,1370.0,1.0,0.1,3.9628981403889156,-2.334326267572692,4.59930873007866,3.9628981403889156,-2.334326267572692,4.59930873007866,4.59930873007866,0.0,0.0,nan,nan,nan,nan,-140.95424985617728,-58.8538695357463,152.74776106983796,4.59930873007866,nan
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,363.0,-637.3211587916796,-706.4229353031496,951.4260995820365,-143.62121123049522,-76.57511206470632,162.75994624918275,-780.9423700221748,-782.998047367856,1105.873829818631,0.0,nan,nan,nan,nan,-780.9423700221748,-782.998047367856,1105.873829818631,951.4260995820365,nan,1.0,0.1,4.057275240490867,-3.2580967972061217,5.203525450794395,4.057275240490867,-3.2580967972061217,5.203525450794395,5.203525450794395,0.0,1.0,4.1000000000000005,-19.563935990004325,0.16679113808754664,19.564646960901978,-139.56393599000432,-79.83320886191245,160.78380971419904,5.203525450794395,40.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,423.5,-643.6154399696092,-707.3991725041574,956.3756708672802,-196.8936859045126,-148.3678359673703,246.53628191141638,-840.5091258741218,-855.7670084715277,1199.4968793064816,1.0,168.3,-0.5091258741217644,-15.767008471527674,15.77522631523636,-840.5091258741218,-855.7670084715277,1199.4968793064816,956.3756708672802,1682.0,1.0,0.1,4.118439909648828,-4.234333998213856,5.906871566050677,4.118439909648828,-4.234333998213856,5.906871566050677,5.906871566050677,0.0,1.0,10.5,7.224754005136219,7.397830034415847,10.340452584526318,-192.77524599486378,-152.60216996558415,245.8652430633197,5.906871566050677,104.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,484.0,-649.7716889648302,-708.4220738437939,961.2830397387389,22.941025344268485,-165.15201526135118,166.73775453907234,-626.8306636205617,-873.574089105145,1075.1968982520725,1.0,186.3,13.169336379438278,6.425910894854951,14.653455275238397,-626.8306636205617,-873.574089105145,1075.1968982520725,961.2830397387389,1862.0,1.0,0.1,4.1518829895518365,-5.257235337850375,6.6990040869126695,4.1518829895518365,-5.257235337850375,6.6990040869126695,6.6990040869126695,0.0,1.0,6.1000000000000005,-12.907091666179667,-10.409250599201528,16.58148103506264,27.092908333820333,-170.40925059920153,172.54952440318766,6.6990040869126695,60.0
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,544.5,-655.7914046291412,-709.4824789024334,966.1406493130304,-177.7096154904353,-139.18094348738776,225.725591078632,-833.5010201195765,-848.6634223898211,1189.5182029051841,1.0,168.3,6.498979880423462,-8.663422389821108,10.83012589911136,-833.5010201195765,-848.6634223898211,1189.5182029051841,966.1406493130304,1682.0,1.0,0.1,4.156957190527805,-6.317640396489878,7.562596991989036,4.156957190527805,-6.317640396489878,7.562596991989036,7.562596991989036,0.0,1.0,5.1000000000000005,-13.552658299907534,14.501416116122414,19.84856711117927,-173.55265829990753,-145.4985838838776,226.47375811598621,7.562596991989036,50.0
