case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,sunface_correction_success,sunface_correction_acquisition_time_s,sunface_correction_residual_x_urad,sunface_correction_residual_y_urad,sunface_correction_residual_norm_urad,sunface_correction_pointing_error_x_urad,sunface_correction_pointing_error_y_urad,sunface_correction_pointing_error_norm_urad,sunface_correction_thermal_residual_norm_urad,sunface_correction_scan_index,sunface_correction_with_nonthermal_success,sunface_correction_with_nonthermal_acquisition_time_s,sunface_correction_with_nonthermal_residual_x_urad,sunface_correction_with_nonthermal_residual_y_urad,sunface_correction_with_nonthermal_residual_norm_urad,sunface_correction_with_nonthermal_pointing_error_x_urad,sunface_correction_with_nonthermal_pointing_error_y_urad,sunface_correction_with_nonthermal_pointing_error_norm_urad,sunface_correction_with_nonthermal_thermal_residual_norm_urad,sunface_correction_with_nonthermal_scan_index
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,0.0,-661.8191111880021,-593.7566338310122,889.1296171830134,-173.09952466124312,-55.844171768787405,181.88462540437592,-834.9186358492452,-649.6008055997996,1057.8612078738274,1.0,177.70000000000002,5.08136415075478,-9.600805599799628,10.862583937430346,-834.9186358492452,-649.6008055997996,1057.8612078738274,889.1296171830134,1776.0,1.0,0.1,3.1896223365351943,0.7396201679614478,3.2742523791820863,3.1896223365351943,0.7396201679614478,3.2742523791820863,3.2742523791820863,0.0,1.0,7.300000000000001,-9.9099023247079,-15.104551600825971,18.06526067199877,-169.9099023247079,-55.10455160082597,178.62218931342173,3.2742523791820863,72.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,60.5,-669.0755955505911,-594.0612876018166,894.7463137607812,-152.73145181166475,-41.63708079327213,158.30522060085175,-821.8070473622558,-635.6983683950888,1038.9799029213448,1.0,161.10000000000002,-21.807047362255844,4.301631604911222,22.227265894032957,-821.8070473622558,-635.6983683950888,1038.9799029213448,894.7463137607812,1610.0,1.0,0.1,3.359200319191814,0.4349663971570408,3.3872440938193638,3.359200319191814,0.4349663971570408,3.3872440938193638,3.3872440938193638,0.0,1.0,7.300000000000001,10.62774850752703,-1.202114396115121,10.695518564360976,-149.37225149247297,-41.20211439611512,154.95058485414359,3.3872440938193638,72.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,121.0,-676.1922867872621,-594.5209918866253,900.383928390797,-24.593868740027588,-152.24451989204147,154.21819677573694,-700.7861555272897,-746.7655117786668,1024.0898228967872,1.0,137.3,19.21384447271032,13.234488221333208,23.330741477760803,-700.7861555272897,-746.7655117786668,1024.0898228967872,900.383928390797,1372.0,1.0,0.1,3.506939701222791,-0.024737887651667734,3.507026950437944,3.506939701222791,-0.024737887651667734,3.507026950437944,3.507026950437944,0.0,1.0,5.7,18.913070961195217,7.730742220306865,20.43204905191941,-21.086929038804783,-152.26925777969313,153.7224298567591,3.507026950437944,56.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,181.5,-683.1488994766916,-595.1337349371182,906.0223955931879,-93.60686717548785,-68.01535630899511,115.70796980436994,-776.7557666521794,-663.1490912461134,1021.3306214189219,1.0,145.1,-16.75576665217943,16.850908753886642,23.7636033028264,-776.7557666521794,-663.1490912461134,1021.3306214189219,906.0223955931879,1450.0,1.0,0.1,3.64604648443094,-0.637480938144563,3.7013560911007857,3.64604648443094,-0.637480938144563,3.7013560911007857,3.7013560911007857,0.0,1.0,1.1,-9.960820691056938,11.3471627528603,15.098875831640187,-89.96082069105694,-68.6528372471397,113.16431116518471,3.7013560911007857,10.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,242.0,-689.9486349818893,-595.863151640154,911.6369970530537,-126.5306915363893,-134.7785310569595,184.8655412307786,-816.4793265182786,-730.6416826971135,1095.6622468289265,1.0,160.70000000000002,-16.47932651827864,-10.641682697113538,19.616666717923493,-816.4793265182786,-730.6416826971135,1095.6622468289265,911.6369970530537,1606.0,1.0,0.1,3.772943812485323,-1.3668976411803442,4.0129184110364955,3.772943812485323,-1.3668976411803442,4.0129184110364955,4.0129184110364955,0.0,1.0,2.7,-2.7577477239040036,-16.14542869813988,16.379256404227164,-122.757747723904,-136.14542869813988,183.316781505802,4.0129184110364955,26.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,302.5,-696.5915078460096,-596.6936969502303,917.2148585709406,-46.14534130475221,-96.26476240640021,106.75344025038609,-742.7368491507618,-692.9584593566306,1015.7999081907403,1.0,145.1,17.263150849238173,-12.958459356630556,21.585598118676227,-742.7368491507618,-692.9584593566306,1015.7999081907403,917.2148585709406,1450.0,1.0,0.1,3.8890368046311323,-2.1974429512566758,4.466918713364189,3.8890368046311323,-2.1974429512566758,4.466918713364189,4.466918713364189,0.0,1.0,1.3,-2.256304500121132,-18.4622053576569,18.59956818492198,-42.25630450012113,-98.4622053576569,107.14663388973243,4.466918713364189,12.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,363.0,-703.0752043548981,-597.6224822737886,922.7498980210003,-132.7783364670599,-130.66939451113478,186.291645805351,-835.853540821958,-728.2918767849234,1108.629874888599,1.0,177.3,4.1464591780420506,-8.291876784923375,9.270832990164388,-835.853540821958,-728.2918767849234,1108.629874888599,922.7498980210003,1772.0,1.0,0.1,3.980435381707707,-3.1262282748149346,5.061340638032866,3.980435381707707,-3.1262282748149346,5.061340638032866,5.061340638032866,0.0,1.0,2.7,-8.797901085352123,-13.795622785949718,16.362220862702443,-128.79790108535212,-133.79562278594972,185.71528747163575,5.061340638032866,26.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,423.5,-709.4264348127123,-598.6051713300033,928.2316615770537,-75.78562126558731,-193.5716698186275,207.87845426350174,-785.2120560782996,-792.1768411486307,1115.3932583008263,1.0,152.3,14.78794392170039,7.823158851369271,16.729766879580627,-785.2120560782996,-792.1768411486307,1115.3932583008263,928.2316615770537,1522.0,1.0,0.1,4.040041107660045,-4.108917331029602,5.76238958981588,4.040041107660045,-4.108917331029602,5.76238958981588,5.76238958981588,0.0,1.0,8.9,8.254419842072707,2.3194128503429283,8.574096039789822,-71.7455801579273,-197.68058714965707,210.29751022784538,5.76238958981588,88.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,484.0,-715.6461596312558,-599.6358924463735,933.6555196135906,-43.30110257653734,-145.5004303800793,151.80698509993573,-758.9472622077932,-745.1363228264529,1063.5925377737626,1.0,137.1,1.0527377922068126,14.863677173547103,14.900911246583735,-758.9472622077932,-745.1363228264529,1063.5925377737626,933.6555196135906,1370.0,1.0,0.1,4.073343324842085,-5.139638447399875,6.558049192559214,4.073343324842085,-5.139638447399875,6.558049192559214,6.558049192559214,0.0,1.0,5.7,0.7722407483047391,9.35993117252076,9.3917339894009,-39.22775925169526,-150.64006882747924,155.66389251286455,6.558049192559214,56.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,544.5,-721.7354992994691,-600.7054051807963,939.0149704677124,-171.53221116791244,-188.8990759450778,255.15908833717364,-893.2677104673816,-789.6044811258741,1192.2258339667442,1.0,194.3,-13.267710467381562,10.395518874125855,16.855235201817067,-893.2677104673816,-789.6044811258741,1192.2258339667442,939.0149704677124,1942.0,1.0,0.1,4.080711317627447,-6.209151181822676,7.430058092406995,4.080711317627447,-6.209151181822676,7.430058092406995,7.430058092406995,0.0,1.0,8.5,-7.451499850285018,4.891772873099512,8.913713696366397,-167.45149985028502,-195.1082271269005,257.1132534404094,7.430058092406995,84.0
