case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_c_urad,coef_t_sunface_minus_ref_c_urad,coef_t_sunface_minus_opposite_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,-652,3.92,3.92,20.8,6.15,4.14,5.68,8.67
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,106,-3.15,-3.15,-21.9,14.1,3.72,11.1,28
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,55.1,-3.18,-3.18,-21.8,14.5,3.92,11.3,28.7
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-74.9,-0.972,-0.972,-26.3,4.54,1.68,4.14,6.93
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,-48.6,1.76,1.76,27.1,13.5,2.01,10.4,27.9
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,130,-0.776,-0.776,29,3.77,0.0455,3.29,6.46
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,-817,4.53,4.53,19.7,9.46,7.83,8.43,16.2
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-669,3.01,3.01,22.5,4.89,1.35,4.34,8.47
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,-625,3.92,3.92,20.8,6.18,4.19,5.71,8.72
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,-560,3.93,3.93,20.8,6.31,4.32,5.83,8.89
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,-528,3.92,3.92,20.8,6.34,4.35,5.87,8.96
